premise,hypothesis,ground_truth,y_pred_original,counterfactual_hypothesis,noisy_cf
A man and a woman running in the street.,The man and woman are outdoors.,entailment,null,Hypothesis: The man and woman are indoors.,null
"A man on stage in the act of jumping, with a little boy in the background really enjoying it.",A boy happily watches an acrobat jumping on a stage.,neutral,null,Hypothesis: A boy unhappily watches an acrobat jumping on a stage.,null
A man in an Alaska sweatshirt stands behind a counter.,The person behind the counter is a man.,entailment,null,Hypothesis: The person behind the counter is a woman.,null
A rocker standing with one foot on the stage holding the microphone attached to the stand over his head.,A man is sound checking his guitar in the back room before a gig.,contradiction,null,Hypothesis: A man is standing on the stage holding a microphone over his head.,null
"Two girls walking, both with a white shirt and blue shorts on.",Two girls are walking together.,entailment,null,Hypothesis: Two girls are sitting on a bench.,null
An old woman and a young man examine their bingo cards.,A woman and man are checking their bingo cards to see if they won,neutral,null,Hypothesis: A woman and man are arguing over the rules of the bingo game.,null
A little boy in flannel pajama pants and an orange shirt is playing the guitar on the couch.,The child practices guitar indoors,entailment,null,Hypothesis: The child practices guitar outdoors,null
A group of men and boys look upwards at something.,A snake eating a mouse.,contradiction,null,Hypothesis: A group of men and boys are looking up at a snake eating a mouse.,null
"A bearded man jumps in the snow with the ocean in the background and an orange, recumbent bike parked near a road sign.",A human jumping.,entailment,null,Hypothesis: A human flying.,null
A wet child stands in chest deep ocean water.,The child s playing on the beach.,entailment,null,Hypothesis: The child is playing in a desert.,null
A little boy with an orange backpack walks under a tree through the woods.,A boy walks to school through the woods.,neutral,null,Hypothesis: A boy walks to school through the woods in the desert.,null
A rugby player swings his leg back to punt the ball.,The rugby player is tall.,neutral,null,Hypothesis: The rugby player is not tall.,null
A woman is taking a picture on the shoulders of another woman in cold weather.,A woman is taking a picture in cold weather.,entailment,null,Hypothesis: A man is taking a picture in cold weather.,null
A woman in a blue jacket dragging a child on a sled through the snow.,There is a child on a sled.,entailment,null,Hypothesis: There is no child on a sled.,null
A young girl jumps off her swing in front of building.,a boy drinks coffee,contradiction,null,Hypothesis: a young girl jumps off her swing in front of building,null
A dog is on the beach near a ball.,A dog is on the beach.,entailment,null,Hypothesis: A dog is not on the beach.,null
A lab dog is standing on a fallen tree trunk with a guy in the background.,there is a guy carrying his pet with him near fallen tree,contradiction,null,Hypothesis: there is a guy standing near a fallen tree with his pet,null
"A man in a black shirt is about to cross the road while on his cellphone, another man is laying on the ground while a lady in the background watches.",A child is upset and crying on the ground.,contradiction,null,Hypothesis: A man is laying on the ground.,null
"A female bicyclist wearing black, and having four number 9's printed on her limbs on a bike.",A woman riding a bike.,entailment,null,Hypothesis: A man riding a bike.,null
A woman plays guitar for tips.,music can be learn by litsen,contradiction,null,Hypothesis: A woman is playing guitar for tips.,null
Two girls holding bags walking down the sidewalk.,Two females are holding sacks.,entailment,null,"Hypothesis: Two males are holding sacks.
<new>",null
A small dog looking up to his loving owner.,Some people are shopping.,contradiction,null,Hypothesis: The small dog is looking up at its loving owner.,null
a ballerina striking a pose in the studio.,The ballerina is wearing pink.,neutral,null,Hypothesis: The ballerina is wearing a helmet.,null
a small brown and white dog swimming through the pool next to a man.,A man teaches his puppy how to swim.,entailment,null,Hypothesis: A man teaches his large black and white dog how to swim.,null
Two girls playing basketball.,The girl threw the basketball.,neutral,null,Hypothesis: The girl did not throw the basketball.,null
A woman taping a paper notice to a board.,A woman taping a job notice on a bulletin board.,neutral,null,Hypothesis: A man tearing down a job notice from a bulletin board.,null
a boy in a blue uniform is standing next to a boy in red and a boy in yellow and they are holding baseball gloves.,Three boys hold baseball gloves.,entailment,null,Hypothesis: Three boys hold basketball gloves.,null
Two people are sitting on a rock looking off into the distance.,Two people are outdoors.,entailment,null,Hypothesis: Two people are indoors.,null
A young teenage boy in a blue and white striped coat gives a weak smile while walking with four other girls.,the boy is fifteen,neutral,null,Hypothesis: the boy is fifty,null
A man juggles a flaming staff in the dark.,A man juggling balls.,contradiction,null,Hypothesis: A man juggling a flaming staff.,null
Two men pouring concrete onto another truck.,The men are eating lunch,contradiction,null,Hypothesis: The men are pouring concrete onto another truck.,null
Two people climb a rock overhanging water.,The two people are racing each other on the rock.,neutral,null,Hypothesis: The two people are sitting on the beach doing nothing.,null
A man and woman sitting on the sidewalk.,The man and woman are sitting.,entailment,null,Hypothesis: The man and woman are standing.,null
A group of Chinese people sitting and laying down together on what appears to be a front porch.,A group of African American people are eating dinner at KFC.,contradiction,null,Hypothesis: A group of Chinese people are sitting and laying down together on what appears to be a front porch.,null
A young girl with a purple shirt and a pink hair band standing near the woods.,A little girl is standing outside.,entailment,null,Hypothesis: A little girl is standing inside a building.,null
A person throws a red toy for a dog to run for.,A dog is looking for a cat.,contradiction,null,Hypothesis: A dog is running to fetch a red toy.,null
Two men are fixing the side of an old brick building.,People fixing a building,entailment,null,Hypothesis: People are demolishing a building,null
An Indian woman stands in an outdoor marketplace.,An Indian woman visits the outdoor bazaar to buy rice.,neutral,null,Hypothesis: An Indian woman visits the outdoor bazaar to sell rice.,null
A statue at a museum that no seems to be looking at.,Tons of people are gathered around the statue.,contradiction,null,Hypothesis: A few people are looking at the statue.,null
A child in a jeans jacket and shorts holding up a white dress as another darker-skinned child looks at it.,a child holds a dress,entailment,null,Hypothesis: a child holds a dress made of jeans,null
A dark-haired man wearing a black and white t-shirt eats in a park surrounded by people.,A man sits in the cafeteria.,contradiction,null,Hypothesis: A dark-haired man wearing a black and white t-shirt sits in a park eating surrounded by people.,null
Two men stand in hula grass skirts stand in the back of a truck at the top of a silver ramp.,The two men are wearing hula grass skirts.,entailment,null,Hypothesis: The two men are not wearing hula grass skirts.,null
A man wearing a brown shirt and backpack is pushing a stroller while a small toddler is walking along aside him on a rain-covered street.,The man's shirt is white.,contradiction,null,Hypothesis: The man is wearing a brown shirt.,null
A young man is playing a blue guitar.,The man is playing the guitar.,entailment,null,Hypothesis: The man is not playing the guitar.,null
"Five people standing on a stage, getting ready to perform, who are unrecognizable due to the lack of lighting.","In a dim room, several actors who can barely see each other, are getting ready to act.",entailment,null,"Hypothesis: In a brightly lit room, five people who clearly see each other are getting ready to act.",null
A small child dressed for winter stares across a lake while leaning on a mesh fence in a scenic park setting.,A small child dressed for winter stares across a floating lake while leaning on a mesh fence,entailment,null,Hypothesis: A small child dressed for winter stares across a frozen lake while leaning on a mesh fence,null
Workers wearing orange vests stand near rail tracks.,Workers wearing orange are about to repair rail tracks.,neutral,null,Hypothesis: Workers wearing orange are not about to repair rail tracks.,null
A kid slides down a yellow slide into a swimming pool.,The kid is playing at the waterpark.,neutral,null,Hypothesis: The kid is playing at the waterpark.,null
Bubbles surround a statue in the middle of a street.,There are bubbles around the statue.,entailment,null,Hypothesis: There are no bubbles around the statue.,null
"A man in a black shirt, in a commercial kitchen, holding up meat he took out of a bag.","A woman in a black shirt, in a commercial kitchen, holding up meat he took out of a bag.",contradiction,null,"Hypothesis: A man in a black shirt, in a commercial kitchen, holding up meat he took out of a bag.",null
A man wearing a blue shirt and headphones around his neck raises his arm.,A man is raising his arm.,entailment,null,Hypothesis: A man is not raising his arm.,null
A man in a white striped shirt and blue jeans using a water hose to spray water on the ground of concrete ruins.Fo.,A man is riding a motorcycle through a grassy field.,contradiction,null,Hypothesis: A man is using a water hose to spray water on the ground near concrete ruins.,null
A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.,A young boy is playing in the field because his mother kicked him out of the house.,neutral,null,Hypothesis: A young boy is playing in the field because his mother kicked him out of the house and he is flying a real airplane.,null
A dog standing near snow looking at water.,The dog is thinking about going to for a swim.,neutral,null,Hypothesis: The dog is not thinking about going for a swim.,null
A man in purple tie is singing.,A man is talking to others.,contradiction,null,Hypothesis: A man is singing.,null
"A golfer is getting ready to putt on the green, with a crowd of people watching in the background.","The golfer is getting ready to putt on the green, with a crowd watching in the background.",entailment,null,"Hypothesis: The golfer is getting ready to putt on the green, with no one watching in the background.",null
A man in a suit stands on a walkway with is suitcase with a large display in front of him announcing airline flights.,A man is sitting on a beach in Mexico.,contradiction,null,Hypothesis: A man is standing on a walkway with a suitcase and a large display announcing airline flights.,null
A boy hits a tennis ball on a court.,A boy is hitting a ball.,entailment,null,Hypothesis: A boy is not hitting a ball.,null
A bearded man sits near a white van.,A man waiting for someone near a white van.,neutral,null,Hypothesis: A man is driving the white van.,null
Passengers in a rusty yellow car driving down the street.,An old taxi drives on a street.,neutral,null,Hypothesis: An old taxi is parked on a mountain top.,null
a young boy using a field microscope to identify a field specimen during a field trip.,The boy is on a science field trip.,neutral,null,Hypothesis: The boy is on a field trip to a music festival.,null
A man and two kids standing in front of an ancient building.,A man is standing with his sons.,neutral,null,Hypothesis: A woman is standing with her sons.,null
A child with blond-hair looking out of a screen door.,A child is being held by his mother at the mall.,contradiction,null,Hypothesis: A child with blond-hair is looking out of a screen door.,null
Two people are running in the grass by a hill.,The people are running outside.,entailment,null,Hypothesis: The people are running inside a building.,null
A golden dog bounds across the snow-covered hill.,A golden dog bounds across the snow-covered land form.,entailment,null,Hypothesis: A golden dog bounds across the snow-covered hill.,null
"Two woman, one wearing a blue striped shirt and the other wearing a flowered shirt, are riding horses.",Women are outside riding horses.,entailment,null,Hypothesis: Women are inside riding horses.,null
A short-haired man is jumping while on top of a huge boulder.,The man is sitting down on the rock.,contradiction,null,Hypothesis: The man is on top of a huge boulder.,null
A man wearing a blue apron and long rubber boots is dragging a flotation device from a long row of flotation devices.,A worker pulls up his long boots before climbing onto the flotation device.,neutral,null,Hypothesis: A worker pulls up his long boots before climbing onto the flotation device.,null
3 people on plain boats smiling towards the camera.,3 boating people being attacked by lions.,contradiction,null,Hypothesis: 3 boating people are smiling on plain boats.,null
Bearded black dressed male performer is displaying his skill by swinging a fire line in each hand in arcs.,A sideshow man in a black costume is performing a trick with fire for the audience.,entailment,null,Hypothesis: A sideshow man in a black costume is performing a trick with water for the audience.,null
A bald man with a white shirt and watch eating food and drinking wine.,There is a bald man.,entailment,null,Hypothesis: There is a man with hair.,null
A man is doing a task by a body of water on a farm.,The man is doing something by the water.,entailment,null,Hypothesis: The man is doing something by the fire.,null
An older women looking off into the distance with three older women walking towards her from behind.,An older woman is trying to see a billboard that is far away,neutral,null,Hypothesis: An older woman is sitting quietly at home and has no intention of going outside.,null
Two men fixing a bicycle.,Two men work on a motorcycle.,contradiction,null,Hypothesis: Two men fix a bicycle.,null
Two belly dancers perform with each other in the streets while passersby look on and watch the display.,Two dancers are making money,neutral,null,"Hypothesis: Two dancers are not performing at all.
<new>",null
Two gondola operators sit along a road in Italy.,The gondola operators are in uniform.,neutral,null,Hypothesis: The gondola operators are dressed in casual clothing.,null
Someone in a white and black polka dot outfit handing out small cartons of orange juice behind caution tape on a street.,A monkey is passing out orange juice in the middle of the forest.,contradiction,null,Hypothesis: A person in a white and black polka dot outfit is handing out small cartons of orange juice behind caution tape on a street.,null
Men wearing life vests speed across a body of water in an orange boat.,The men are outside.,entailment,null,Hypothesis: The men are wearing space suits and floating in zero gravity.,null
"An old man, likely a blacksmith, is welding a tool, seen by the red hot scorching look of it.",A farmer is milking the cow.,contradiction,null,"Hypothesis: An old man is welding a tool, seen by the red hot scorching look of it.",null
The indian's are performing a sacred dance.,The people are dancing.,entailment,null,Hypothesis: The people are not dancing.,null
A boy in red and a girl pink are walking through a low cut field.,Kids are playing in the field.,neutral,null,Hypothesis: Kids are sitting on a bench inside a building.,null
Men wearing painted clothes are standing in the rain.,Men are getting wet with the rain.,entailment,null,Hypothesis: Men are staying completely dry in the rain.,null
"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.",A lady sitting on a bench in the park.,contradiction,null,Hypothesis: A lady is pushing a baby stroller down the street.,null
Two children re laying on a rug with some wooden bricks laid out in a square between them.,Two children are playing catch at a park.,contradiction,null,Hypothesis: Two children are laying on a rug with wooden bricks between them.,null
"A young middle eastern mother in high heels, holding her young child as he lays his head on her shoulder asleep, is gazing out the window.",A woman holding her sleeping son is thinking about the future.,neutral,null,Hypothesis: A woman holding her awake son is thinking about the future.,null
A woman poses for a picture with a child.,The woman and child take a picture together.,entailment,null,"Hypothesis: The woman and child take a picture together, but the picture is not taken.",null
A young girl chasing a duck with bread in her hands.,A child is chasing an animal.,entailment,null,Hypothesis: A man is chasing a duck.,null
A man in the bucket of a chery-picker cuts down branches using a chainsaw at the end of a long pole.,A man is trimming trees.,entailment,null,Hypothesis: A man is cutting down the entire tree.,null
Two adults hold either side of a boat at the edge of the water.,Two people are hiking.,contradiction,null,Hypothesis: Two people are holding either side of a boat at the edge of the water.,null
Four women competitively rollerskating around an area.,four men are rollerskating.,contradiction,null,Hypothesis: four women are rollerskating.,null
A young boy in a cowboy hat rides a large horse.,A boy is sleeping.,contradiction,null,Hypothesis: A boy is riding a horse.,null
Two men are standing in a boat.,A few men are fishing on a boat.,neutral,null,Hypothesis: A few men are fishing on a train.,null
Two young boys are playing in a fountain in a city plaza.,Kids are are standing in a fountain.,entailment,null,Hypothesis: Kids are not standing in a fountain.,null
Military personnel are shopping,Military personnel are in the mall.,neutral,null,Military personnel are not in the mall.,null
An older women looking off into the distance with three older women walking towards her from behind.,4 older woman are walking,entailment,null,Hypothesis: 4 older women are walking away from her.,null
A man wearing a wife-beater sings into a microphone as a blue light shines on him.,A naked man drinks a soda in the dark.,contradiction,null,Hypothesis: A man wearing a wife-beater sings into a microphone as a blue light shines on him.,null
"A lady is helping another woman work in a silver compartment, which is most likely related to nurse-work.",A lady is sleeping on a couch,contradiction,null,Hypothesis: A lady is helping another woman work in a silver compartment.,null
Men sitting at a table in a church.,The men pray at the alters.,contradiction,null,Hypothesis: The men are sitting at a table in a church.,null
A young girl with a white long-sleeved shirt on helps a young boy brown long-sleeved shirt on with tying his shoelaces.,A girl helps a boy tie his shoes,entailment,null,Hypothesis: A boy helps a girl tie her shoes,null
"A dark-skinned person, crouched while painting a sign.",A black man is painting a protest sign.,neutral,null,Hypothesis: A white man is painting a protest sign.,null
Six men in airport standing on moving walkway,There is a group of people at the airport.,entailment,null,Hypothesis: There is a group of people at the train station.,null
A young man with glasses and his companion are attempting to do laundry in a public place.,A tall person with glasses,neutral,null,Hypothesis: A tall person with glasses is not present.,null
Man on phone in business suit walking down a busy street.,A man is talking to his wife on the phone while walking down the street.,neutral,null,Hypothesis: A man is not talking to anyone on the phone while walking down the street.,null
A person is walking a bicycle down a city street.,The bike has a flat tire.,neutral,null,Hypothesis: The bike has no wheels.,null
An older woman is holding a small child.,a woman holding a child,entailment,null,Hypothesis: a man holding a child,null
A woman plays guitar for tips.,there is no way one can learn music,contradiction,null,null,"<think>

</think>

<Hypothesis: The woman is learning to play the guitar.>"
A man and a woman sitting down laughing.,The man and woman are mad at each other.,contradiction,null,Hypothesis: The man and woman are happy with each other.,null
Family sitting down in a field of grass while others walk by.,No one is sitting in the field of grass.,contradiction,null,Hypothesis: The family is sitting in the field of grass.,null
A man and woman look through CD's at a street vendor.,A man and women taking a break,neutral,null,Hypothesis: A man and woman are not looking through CD's at a street vendor.,null
A woman swings on a rope overlooking a red farmhouse and gated pastures and tall trees.,the woman cooked a apple pie,contradiction,null,Hypothesis: The woman is on a rope swing near a red farmhouse.,null
A lady digs through a garbage can looking to add to the shopping cart beside her.,Lady is searching for food in garbage,neutral,null,Hypothesis: Lady is giving food to the garbage.,null
A wet black lab with a red collar is standing in the water.,A wet dog is outside.,entailment,null,Hypothesis: A dry dog is outside.,null
A crowd of people is looking at something outside of a Gap store.,People are looking outside,entailment,null,Hypothesis: People are looking inside the Gap store,null
A older man with gray hair wearing a gray suit next to a green and yellow taxi.,A older woman sits in a green and yellow taxi.,contradiction,null,Hypothesis: An older man with gray hair wearing a gray suit is next to a green and yellow taxi.,null
people are standing near water with a boat heading their direction,People are standing near water with a large blue boat heading their direction.,neutral,null,Hypothesis: People are standing near water with a small red boat heading their direction.,null
Five boys in blue shirts drawing at a table.,The boys are wearing red shirts.,contradiction,null,Hypothesis: The boys are wearing blue shirts.,null
A man in glasses and an orange shirt is sitting outside next to a table with drinks on it.,A woman sits on a table,contradiction,null,Hypothesis: A man sits on a table,null
An elderly man talking to a young boy by a table of produce.,the boy was listening,neutral,null,Hypothesis: the boy was not listening,null
A man takes a drink in the doorway of a home.,A man is looking out onto his front lawn from the doorway of his home.,neutral,null,Hypothesis: A man is looking out onto his front lawn from the doorway of his home while holding a drink.,null
Two dogs run together near the leaves.,The two dogs are running to play in the leaves.,neutral,null,Hypothesis: The two dogs are not running at all.,null
Man jumping over a rusty fence on a blue bicycle.,The man attending a meeting in his office.,contradiction,null,Hypothesis: The man is riding a blue bicycle.,null
A man is sitting on the floor and is surrounded by pictures.,A man sitting on the floor with photographs around him.,entailment,null,Hypothesis: A man standing on the floor with photographs around him.,null
A man with no shirt on is holding a football.,A man rolls on the ground on fire.,contradiction,null,Hypothesis: A man is holding a football and is shirtless.,null
Fireworks light up the night as a man stands on stage.,The fireworks were shot into the sky.,entailment,null,Hypothesis: The fireworks were not shot into the sky.,null
A woman teaching a ballet class composed of small children holding colourful scarves.,A woman is teaching a ballet class composed of small children holding green and red scarves.,neutral,null,Hypothesis: A woman is teaching a ballet class composed of small children holding only grey scarves.,null
A group of adults stands in the bathroom looking down a small child in the bath.,The child is sleeping.,contradiction,null,Hypothesis: The child is in the bath.,null
A smiling woman and man are seated in front of a microphone in a music studio.,the woman is happy.,neutral,null,Hypothesis: the woman is sad.,null
"Two workers, one in a ditch and one standing on the ground, are working in front of a house.",The workers are working infront of the house,entailment,null,Hypothesis: The workers are working in front of a school.,null
Young boy smiles at the camera from the tire swing.,He is barefoot.,neutral,null,Hypothesis: He is wearing shoes.,null
A woman in a green suit walking towards an escalator.,A woman is walking to the escalator at a sporting event.,neutral,null,Hypothesis: A man is walking to the escalator at a sporting event.,null
Three people are outside.,Three people enjoying the great outdoors.,neutral,null,Hypothesis: Three people are inside a building.,null
A soldier using binoculars in a desert.,A soldier using binoculars outside in the heat.,entailment,null,Hypothesis: A soldier using binoculars inside a cold room.,null
Three bridesmaids in blue dresses hold the train of a bride's wedding dress.,The bridesmaids are assisting the bride.,entailment,null,Hypothesis: The bridesmaids are ignoring the bride.,null
A man in colorful shorts is surfing under a wave.,A man is sunbathing.,contradiction,null,Hypothesis: A man is surfing under a wave.,null
The cyclist rides on a wooded path.,The cyclist rides quickly alone on a wooded path,neutral,null,Hypothesis: The cyclist rides slowly with a group on a wooded path.,null
"A boy wearing jeans, standing on rocks in a river and throwing a stone.",A boy with no shirt on throws rocks.,neutral,null,Hypothesis: A boy with no shirt on throws rocks while wearing a dress.,null
A man in a suit cheering in a library in front of children.,A lawyer is encouraging some children at a contest.,neutral,null,Hypothesis: A lawyer is not encouraging any children at a contest.,null
"A female runner dressed in blue athletic wear is running in a competition, while spectators line the street.",There are children in the streets.,contradiction,null,Hypothesis: There are spectators in the streets.,null
a green and white trolley car with an advertisement of coffee on the side and front of it in a city.,A taxi cab with two women in the backseat talking on their cellphones.,contradiction,null,Hypothesis: A green and white trolley car with an advertisement of coffee on the side and front of it in a city.,null
"Two men stand in the road, it almost appears to be some sort of movie set on a sunny day in California.",Everybody is sitting,contradiction,null,Hypothesis: The two men are standing in the road on a sunny day in California.,null
A woman in red blouse is standing with small blond child in front of a small folding chalkboard.,a woman stands with her child,neutral,null,Hypothesis: a woman stands with her dog,null
Six women wait to use a port-o-john in a field.,Friends are meeting for coffee.,contradiction,null,Hypothesis: Friends are waiting to use a port-o-john in a field.,null
"While one man, in the white cap, is golfing, three other men are in the middle of a conversation.",Four guys go bowling at the lanes.,contradiction,null,Hypothesis: Four men are at a bowling alley.,null
Two dogs are running next to each other on a grassy hill.,The dogs are eating their food indoors.,contradiction,null,Hypothesis: The dogs are running on a grassy hill next to each other.,null
Two men stand on stairs with an assortment of chairs and a woven basket in the foreground.,The basket is woven.,entailment,null,Hypothesis: The basket is not woven.,null
A child doing gymnastics,The child is eating lunch at the park.,contradiction,null,Hypothesis: The child is doing gymnastics.,null
"A man drops something, reaching for it while a woman in a beige blazer discusses an important topic.",A man brushes his teeth in front of a mirror.,contradiction,null,"Hypothesis: A man drops something, reaching for it while a woman in a beige blazer discusses an important topic.",null
A woman in a spaghetti strap tank wearing a flower in her hair is staring towards the right.,The woman is sleeping on a pillow.,contradiction,null,Hypothesis: The woman is staring towards the right with a flower in her hair.,null
A man holds two children in his arms.,A man poses for a photograph with his two grandchildren.,neutral,null,Hypothesis: A man poses for a photograph with two dogs.,null
"Three workers, with life vests and hard hats, on a boat hanging from cables over water.",Three people are on a boat.,entailment,null,Hypothesis: Three people are on a plane.,null
A man playing the guitar while smoking a cigarette.,The man is also playing the drums,contradiction,null,Hypothesis: The man is playing the guitar.,null
A older man with gray hair wearing a gray suit next to a green and yellow taxi.,A older man with gray hair wearing a gray suit.,entailment,null,Hypothesis: A younger man with brown hair wearing a colorful suit.,null
Two people walk up to a brick building with a colorful mural on its side.,Two people walking toward a brick building with a colorful mural outside.,entailment,null,Hypothesis: Two people walking toward a brick building with a black and white mural outside.,null
A dog hides in the tall grasses along a rocky shore,The dog is outdoors.,entailment,null,Hypothesis: The dog is indoors.,null
A young girl wearing yellow shorts and a white tank top using a cane pole to fish at a small pond.,A girl in shorts is fishing in a pond.,entailment,null,Hypothesis: A girl in a dress is fishing in a pond.,null
The collie is standing outdoors on a sandy area.,The collie is standing in the sand.,entailment,null,Hypothesis: The collie is standing in the snow.,null
The red motocross bike and its rider are airborne above the trees.,A rider is riding his motocross bike.,entailment,null,Hypothesis: A rider is walking beside his motocross bike.,null
Man in blue shirt yells and points off-camera while a man in a blue shirt and baseball cap watches.,He is yelling at his son.,neutral,null,Hypothesis: He is yelling at his father.,null
"A woman poses with sunglasses shaped like dollar signs and a silver suitcase labelled ""LUCKY"" full of bills.",A woman is posing for a photograph.,entailment,null,"Hypothesis: A man is posing with sunglasses shaped like dollar signs and a silver suitcase labelled ""LUCKY"" full of bills.",null
Two kids running past a dinosaur in the woods.,Some children in the forest pass by a plastic triceratops.,neutral,null,Hypothesis: Some children in the forest pass by a real triceratops.,null
a brown dog with a yellow toy in his mouth is jumping off the grassy ground,The black dog has a red toy.,contradiction,null,Hypothesis: The brown dog has a yellow toy.,null
Two young musicians play from a stage.,The stage is empty,contradiction,null,Hypothesis: The musicians are playing on the stage.,null
a skier is throwing up snow as he skis off piste.,A snowboarder takes a nap on the course.,contradiction,null,Hypothesis: A skier is throwing up snow as he skis off piste.,null
A large African American man sitting on a camping chair.,the large black man is running a race,contradiction,null,Hypothesis: the large black man is sitting on a camping chair,null
"In front of a brick house with a straw roof and some figures, three children stand, two of them holding squares of blackboard.",The children are outdoors,entailment,null,Hypothesis: The children are indoors.,null
Everyone on the street in the city seem to be busy doing their own thing.,The people are watching what is happening.,contradiction,null,Hypothesis: The people are busy doing their own thing.,null
"A little blond boy is playing doctor with red, blue, and yellow toy gear.",Boy pretending to be a doctor.,entailment,null,Hypothesis: Boy pretending to be a teacher.,null
A man is laid back in front of a tv.,he is watching the news,neutral,null,Hypothesis: he is watching a movie,null
Young person in black next to an older person in black and white polka dot.,A young person is standing next to a relative.,neutral,null,Hypothesis: A young person is standing next to a stranger.,null
A photographer is using a tripod to take a picture of a sunset.,The photographer is holding the camera in his hands.,contradiction,null,Hypothesis: The photographer is using a tripod to take a picture of a sunset.,null
A group of people are in a rowboat in the ocean surrounded by seagulls.,A group of people are rowing towards some islands while one of them fishes.,neutral,null,Hypothesis: A group of people are rowing towards some islands while one of them is flying a seagull.,null
A woman sitting in an office.,A women outside,contradiction,null,Hypothesis: A woman sitting in an office.,null
2 women and 2 girls crossing the road,A group of girls and women are laughing as they cross the road.,neutral,null,Hypothesis: A group of girls and women are laughing as they cross the road while throwing confetti.,null
Two construction workers climbing the steel ribbed exterior of a new building at their work site.,Two workers are climbing a building.,entailment,null,Hypothesis: Two workers are climbing a tree.,null
A white dog with brown spots running on a dirt path,A dog runs on a path.,entailment,null,Hypothesis: A cat runs on a path.,null
A man in a khaki jacket and ball cap walks down the street.,The man is walking to the supermarket.,neutral,null,Hypothesis: The man is flying to the supermarket.,null
"A young woman dressed up semi-formally is reading book and drinking in the sun, seated on a bench.",A young woman is running through the waves.,contradiction,null,Hypothesis: A young woman is seated on a bench reading a book and drinking in the sun.,null
A big dog catches a ball on his nose,A big dog is sitting down while trying to catch a ball,neutral,null,Hypothesis: A big dog is sitting down while trying to catch a ball with his mouth,null
A child making a sand castle on the beach.,A child on a beach.,entailment,null,Hypothesis: A child on the moon.,null
A female in the middle of a vehicle is holding a camera and is pointing it towards the backseat.,A girl is inside a vehicle.,entailment,null,"Hypothesis: A girl is standing outside the vehicle.
<new>",null
Two men climbing on a wooden scaffold.,Two sad men climbing on a wooden scaffold.,neutral,null,Hypothesis: Two happy men climbing on a wooden scaffold.,null
A young african child in a dirty yellow shirt carrying a bag on his head.,A young African child playing soccer.,contradiction,null,Hypothesis: A young African child carrying a bag on his head.,null
A small child in a red jacket is sitting on a man's shoulders and holding his head.,Th small child is watching a performance.,neutral,null,Hypothesis: The small child is not watching a performance.,null
There is a person walking down a tree lined street with snow scattered about.,There is a dog walking down a tree lined street with snow scattered about.,contradiction,null,Hypothesis: There is a person walking down a tree lined street with snow scattered about.,null
"Four young men stare up at a basketball hoop with no net, in an outdoor, urban basketball court.",A group of women playing basketball in a gym.,contradiction,null,"Hypothesis: Four young men stare up at a basketball hoop with no net, in an outdoor, urban basketball court.",null
A white man in a blue uniform is pushing away a black man in a red uniform while the two play soccer on a green field.,A woman says Hi to another woman at the grocery store.,contradiction,null,Hypothesis: A white man in a blue uniform is pushing away a black man in a red uniform while the two play soccer on a green field.,null
A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.,A child wearing a red top is standing behind a pretty blond headed child,neutral,null,Hypothesis: A child wearing a red top is standing in front of a pretty blond headed child.,null
A man is working on a Earthen structure with a pickaxe.,The man is in an office building.,contradiction,null,Hypothesis: The man is working on an earthen structure with a pickaxe.,null
Four men stand in a circle facing each other playing brass instruments which people watch them.,The men are playing music,entailment,null,Hypothesis: The men are not playing music.,null
People dresses in business clothing are walking by while one man with a tie on is standing still and talking on his cellular phone.,The people are dressed in business clothing.,entailment,null,Hypothesis: The people are not dressed in business clothing.,null
A brown dog jumps over an obstacle.,The dog is in a pool.,contradiction,null,Hypothesis: The dog is jumping over an obstacle.,null
A birthday party for many little people to enjoy.,Children enjoying a birthday party.,neutral,null,Hypothesis: Children are not enjoying a birthday party.,null
A cement worker is working on a new sidewalk outside of a clothing store.,A worker is working on a new sidewalk outside of a restuarant.,contradiction,null,Hypothesis: A cement worker is working on a new sidewalk outside of a clothing store.,null
Four men and a young boy are at a table set up for wood crafts.,Five total people are near a table with objects on it.,entailment,null,Hypothesis: There are only three people near a table with objects on it.,null
An Indian woman is dancing with her partner.,A woman has dark skin.,neutral,null,Hypothesis: A woman does not have dark skin.,null
The man is sweeping with a red broom.,The man is dancing with a woman,contradiction,null,Hypothesis: The man is sweeping with a red broom.,null
People with bags walk along a dirt road in front of a green building.,People are walking outside.,entailment,null,Hypothesis: People are walking inside a building.,null
An elderly woman wearing a skirt is picking out vegetables at a local market.,This woman is on a shopping trip.,entailment,null,Hypothesis: This woman is on a space mission.,null
Two men spar in martial arts gear.,There are multiple people present.,entailment,null,Hypothesis: There are no people present.,null
"A woman player in white and black, sends the volleyball over the net, while the opposing team in navy blue, tries to block it, as the coach and a few spectators watch, in a gym.",The gym is old,neutral,null,Hypothesis: The gym is brand new and recently constructed.,null
A man with a blue helmet and orange shirt.,A man wears a helmet.,entailment,null,Hypothesis: A man wears no helmet.,null
