premise,hypothesis,ground_truth,y_pred_original,counterfactual_premise,noisy_cf
A man with brown pants and boots moving a tent.,A guy is transporting a tent.,entailment,null,null,Premise: A man with brown pants and boots is sitting on a tent.
Men sitting on the side of a brick road.,me are sitting on the side of a road,entailment,null,null,Premise: Men are standing on the side of a brick road.
A woman is walking with a full shopping cart away from a Trader Joe's.,A woman is leaving Trader Joe's with a full shopping cart of things she just stole.,neutral,null,Premise: A woman is walking with an empty shopping cart away from a Trader Joe's,null
A large black and white dog is licking a smaller white and black dog who is growling.,The dog is happy,contradiction,null,null,Premise: A large black and white dog is playfully licking a smaller white and black dog who is smiling and enjoying the interaction.
An old gray-haired man with glasses in a gray t-shirt is working on a sculpture.,The man is 100 years old,neutral,null,null,Premise: An old gray-haired man with glasses in a gray t-shirt is working on a sculpture that looks like a famous person.
a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage.,A woman climber attempts to pull herself up,contradiction,null,Premise: A man climber wearing a red headband is pulling himself up some gray rocks high above some green foliage,null
A young woman talks on the phone and carries her bags while walking past some hats on display.,A woman is walking through her bedroom.,contradiction,null,Premise: A woman is walking through her living room.<new>,null
"A woman is sitting in a chair, while a man is going through the sport utility vehicle.",a girl is sitting,entailment,null,"Premise: A woman is sitting in a chair, while a man is going through the sport utility vehicle.",null
An artist replicating another artist's work and a man looking at the original art.,A painter works on a copy of a Rembrandt.,neutral,null,Premise: An artist is destroying another artist's work while a man is looking at the original art.,null
A woman wearing a bright orange blouse is weaving.,A woman is wearing a bright orange blouse and a green hat.,neutral,null,null,Premise: A woman is weaving.
A man and a woman running in the street.,The man and woman are outdoors.,entailment,null,null,Premise: A man and a woman running in a gym.
"A man on stage in the act of jumping, with a little boy in the background really enjoying it.",A boy happily watches an acrobat jumping on a stage.,neutral,null,null,"Premise: A man on stage is standing still, with a little boy in the background looking bored."
A man in an Alaska sweatshirt stands behind a counter.,The person behind the counter is a man.,entailment,null,null,Premise: A woman in an Alaska sweatshirt stands behind a counter.
A rocker standing with one foot on the stage holding the microphone attached to the stand over his head.,A man is sound checking his guitar in the back room before a gig.,contradiction,null,null,"Premise: A rocker is standing on the stage with a microphone, gesturing to the crowd."
"Two girls walking, both with a white shirt and blue shorts on.",Two girls are walking together.,entailment,null,null,"Premise: Two girls walking, both wearing different colored shirts and shorts."
An old woman and a young man examine their bingo cards.,A woman and man are checking their bingo cards to see if they won,neutral,null,null,Premise: An old woman and a young man are playing chess together.
A little boy in flannel pajama pants and an orange shirt is playing the guitar on the couch.,The child practices guitar indoors,entailment,null,null,Premise: A little boy in flannel pajama pants and an orange shirt is playing the guitar outdoors.
A group of men and boys look upwards at something.,A snake eating a mouse.,contradiction,null,Premise: A group of men and boys look upwards at something flying in the sky.,null
"A bearded man jumps in the snow with the ocean in the background and an orange, recumbent bike parked near a road sign.",A human jumping.,entailment,null,null,"Premise: A bearded man is sitting on an orange, recumbent bike next to a road sign, with the ocean visible in the background and no snow around."
A wet child stands in chest deep ocean water.,The child s playing on the beach.,entailment,null,null,Premise: A dry child is playing indoors.
A little boy with an orange backpack walks under a tree through the woods.,A boy walks to school through the woods.,neutral,null,Premise: A little boy with an orange backpack walks under a tree through the woods in winter.,null
A rugby player swings his leg back to punt the ball.,The rugby player is tall.,neutral,null,null,Premise: A short rugby player swings his leg back to punt the ball.
A woman is taking a picture on the shoulders of another woman in cold weather.,A woman is taking a picture in cold weather.,entailment,null,Premise: A woman is taking a picture on the shoulders of another woman in warm weather.,null
A woman in a blue jacket dragging a child on a sled through the snow.,There is a child on a sled.,entailment,null,null,Premise: A woman is playing with a child in the snow without a sled.
A young girl jumps off her swing in front of building.,a boy drinks coffee,contradiction,null,Premise: A young girl jumps off her swing in front of a coffee shop,null
A dog is on the beach near a ball.,A dog is on the beach.,entailment,null,null,Premise: A dog is on the beach far from a ball.
A lab dog is standing on a fallen tree trunk with a guy in the background.,there is a guy carrying his pet with him near fallen tree,contradiction,null,Premise: A lab dog is standing on a fallen tree trunk with a guy holding a treat in the background.,null
"A man in a black shirt is about to cross the road while on his cellphone, another man is laying on the ground while a lady in the background watches.",A child is upset and crying on the ground.,contradiction,null,"Premise: A man in a black shirt is safely crossing the road while on his cellphone, another man is laying on the ground, and a lady in the background watches.<new>",null
"A female bicyclist wearing black, and having four number 9's printed on her limbs on a bike.",A woman riding a bike.,entailment,null,null,"Premise: A female bicyclist wearing black, with no numbers on her limbs, is on a bike."
A woman plays guitar for tips.,music can be learn by litsen,contradiction,null,Premise: A woman is playing guitar for tips.,null
Two girls holding bags walking down the sidewalk.,Two females are holding sacks.,entailment,null,null,Premise: Two girls holding shopping bags walking down the sidewalk.
A small dog looking up to his loving owner.,Some people are shopping.,contradiction,null,Premise: A dog is playing with its owner.,null
a ballerina striking a pose in the studio.,The ballerina is wearing pink.,neutral,null,Premise: A ballerina is not striking a pose in the studio.,null
a small brown and white dog swimming through the pool next to a man.,A man teaches his puppy how to swim.,entailment,null,null,Premise: A small brown and white dog is playing in the pool next to a man.
Two girls playing basketball.,The girl threw the basketball.,neutral,null,null,Premise: Two girls are sitting and watching television.
A woman taping a paper notice to a board.,A woman taping a job notice on a bulletin board.,neutral,null,null,Premise: A woman posting a paper notice on a board.
a boy in a blue uniform is standing next to a boy in red and a boy in yellow and they are holding baseball gloves.,Three boys hold baseball gloves.,entailment,null,null,Premise: A boy in a blue uniform is standing next to a boy in red and a boy in yellow and they are not holding baseball gloves.
Two people are sitting on a rock looking off into the distance.,Two people are outdoors.,entailment,null,null,Premise: Two people are sitting on a rock looking at each other.
A young teenage boy in a blue and white striped coat gives a weak smile while walking with four other girls.,the boy is fifteen,neutral,null,Premise: A young teenage boy in a blue and white striped coat gives a weak smile while walking with four other girls.,null
A man juggles a flaming staff in the dark.,A man juggling balls.,contradiction,null,null,Premise: A man is juggling a flaming staff during the daytime.
Two men pouring concrete onto another truck.,The men are eating lunch,contradiction,null,null,Premise: Two men are eating lunch
Two people climb a rock overhanging water.,The two people are racing each other on the rock.,neutral,null,null,Premise: Two people climb a rock overhanging water together.
A man and woman sitting on the sidewalk.,The man and woman are sitting.,entailment,null,null,Premise: A man and woman are standing on the sidewalk.
A group of Chinese people sitting and laying down together on what appears to be a front porch.,A group of African American people are eating dinner at KFC.,contradiction,null,null,Premise: A group of people enjoying a sunny day on a porch in China.
A young girl with a purple shirt and a pink hair band standing near the woods.,A little girl is standing outside.,entailment,null,null,Premise: A young girl with a purple shirt and a pink hair band is playing in the woods.
A person throws a red toy for a dog to run for.,A dog is looking for a cat.,contradiction,null,Premise: A person throws a red toy for a dog to run for.,null
Two men are fixing the side of an old brick building.,People fixing a building,entailment,null,null,Premise: Two men are destroying the side of an old brick building
An Indian woman stands in an outdoor marketplace.,An Indian woman visits the outdoor bazaar to buy rice.,neutral,null,Premise: An Indian woman stands in an outdoor marketplace.,null
A statue at a museum that no seems to be looking at.,Tons of people are gathered around the statue.,contradiction,null,null,Premise: A statue at a museum is being looked at by a person.
A child in a jeans jacket and shorts holding up a white dress as another darker-skinned child looks at it.,a child holds a dress,entailment,null,null,Premise: A child in a jeans jacket and shorts is not holding up a white dress as another darker-skinned child looks away.
A dark-haired man wearing a black and white t-shirt eats in a park surrounded by people.,A man sits in the cafeteria.,contradiction,null,Premise: A man sits in a cafeteria alone.,null
Two men stand in hula grass skirts stand in the back of a truck at the top of a silver ramp.,The two men are wearing hula grass skirts.,entailment,null,Premise: Two men stand in hula grass skirts in the back of a truck at the top of a silver ramp.,null
A man wearing a brown shirt and backpack is pushing a stroller while a small toddler is walking along aside him on a rain-covered street.,The man's shirt is white.,contradiction,null,Premise: A man wearing a white shirt and backpack is pushing a stroller while a small toddler is walking along aside him on a rain-covered street.,null
A young man is playing a blue guitar.,The man is playing the guitar.,entailment,null,null,Premise: A young man is not playing a guitar.
"Five people standing on a stage, getting ready to perform, who are unrecognizable due to the lack of lighting.","In a dim room, several actors who can barely see each other, are getting ready to act.",entailment,null,null,"Premise: Five people standing on a brightly lit stage, clearly identifiable, getting ready to perform"
A small child dressed for winter stares across a lake while leaning on a mesh fence in a scenic park setting.,A small child dressed for winter stares across a floating lake while leaning on a mesh fence,entailment,null,null,Premise: A small child dressed for winter is running around in a snow-covered field instead of leaning on a mesh fence in a scenic park setting.
Workers wearing orange vests stand near rail tracks.,Workers wearing orange are about to repair rail tracks.,neutral,null,Premise: Workers wearing orange vests are repairing rail tracks,null
A kid slides down a yellow slide into a swimming pool.,The kid is playing at the waterpark.,neutral,null,null,Premise: A kid slides down a yellow slide into a kiddie pool in the backyard.
Bubbles surround a statue in the middle of a street.,There are bubbles around the statue.,entailment,null,null,Premise: Bubbles do not surround a statue in the middle of a street.
"A man in a black shirt, in a commercial kitchen, holding up meat he took out of a bag.","A woman in a black shirt, in a commercial kitchen, holding up meat he took out of a bag.",contradiction,null,null,"Premise: A woman in a black shirt, in a commercial kitchen, holding up meat she took out of a bag."
A man wearing a blue shirt and headphones around his neck raises his arm.,A man is raising his arm.,entailment,null,null,Premise: A man wearing a blue shirt and headphones around his neck is sitting with his arm lowered.
A man in a white striped shirt and blue jeans using a water hose to spray water on the ground of concrete ruins.Fo.,A man is riding a motorcycle through a grassy field.,contradiction,null,Premise: A man is watering plants near concrete ruins.,null
A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.,A young boy is playing in the field because his mother kicked him out of the house.,neutral,null,Premise: A young boy wearing a red shirt and jeans is sitting inside playing with a toy plane.,null
A dog standing near snow looking at water.,The dog is thinking about going to for a swim.,neutral,null,null,"Premise: A dog is running through snow, not looking at water."
A man in purple tie is singing.,A man is talking to others.,contradiction,null,null,Premise: A man in a purple tie is singing in the shower.
"A golfer is getting ready to putt on the green, with a crowd of people watching in the background.","The golfer is getting ready to putt on the green, with a crowd watching in the background.",entailment,null,null,Premise: A golfer is putting on the green with no one watching in the background.
A man in a suit stands on a walkway with is suitcase with a large display in front of him announcing airline flights.,A man is sitting on a beach in Mexico.,contradiction,null,null,"Premise: A man in a suit stands on a walkway with his suitcase, ready to board a flight as a large display in front of him announces airline flights."
A boy hits a tennis ball on a court.,A boy is hitting a ball.,entailment,null,null,Premise: A boy is sitting still on a court.
A bearded man sits near a white van.,A man waiting for someone near a white van.,neutral,null,null,"Premise: A bearded man is far from a white van, walking on a road."
Passengers in a rusty yellow car driving down the street.,An old taxi drives on a street.,neutral,null,,null
a young boy using a field microscope to identify a field specimen during a field trip.,The boy is on a science field trip.,neutral,null,null,Premise: A young boy is not using a field microscope to identify a field specimen during a field trip.
A man and two kids standing in front of an ancient building.,A man is standing with his sons.,neutral,null,null,Premise: A man and two kids are sitting inside a car.
A child with blond-hair looking out of a screen door.,A child is being held by his mother at the mall.,contradiction,null,Premise: A child with blond-hair is playing outside near a screen door.,null
Two people are running in the grass by a hill.,The people are running outside.,entailment,null,null,Premise: Two people are running inside a gym.
A golden dog bounds across the snow-covered hill.,A golden dog bounds across the snow-covered land form.,entailment,null,null,Premise: A golden dog is sitting on a snow-covered hill.
"Two woman, one wearing a blue striped shirt and the other wearing a flowered shirt, are riding horses.",Women are outside riding horses.,entailment,null,Premise: Two woman are riding horses.,null
A short-haired man is jumping while on top of a huge boulder.,The man is sitting down on the rock.,contradiction,null,null,Premise: A short-haired man is sitting down on a huge boulder.
A man wearing a blue apron and long rubber boots is dragging a flotation device from a long row of flotation devices.,A worker pulls up his long boots before climbing onto the flotation device.,neutral,null,Premise: A man wearing a blue apron and no boots is dragging a flotation device from a long row of flotation devices.,null
3 people on plain boats smiling towards the camera.,3 boating people being attacked by lions.,contradiction,null,Premise: 3 people on fancy boats smiling towards the camera,null
Bearded black dressed male performer is displaying his skill by swinging a fire line in each hand in arcs.,A sideshow man in a black costume is performing a trick with fire for the audience.,entailment,null,null,Premise: A man dressed in black with a beard is performing by swinging two flaming objects in arcs.
A bald man with a white shirt and watch eating food and drinking wine.,There is a bald man.,entailment,null,null,Premise: A bald man with a white shirt and no watch is eating food and drinking wine.
A man is doing a task by a body of water on a farm.,The man is doing something by the water.,entailment,null,null,Premise: A man is not doing a task by a body of water on a farm.
An older women looking off into the distance with three older women walking towards her from behind.,An older woman is trying to see a billboard that is far away,neutral,null,Premise: An older woman is staring at a nearby tree with three older women walking towards her from behind.,null
Two men fixing a bicycle.,Two men work on a motorcycle.,contradiction,null,null,Premise: Two men are repairing a broken bicycle.
Two belly dancers perform with each other in the streets while passersby look on and watch the display.,Two dancers are making money,neutral,null,null,Premise: Two belly dancers perform for free in the streets while passersby watch the display.
Two gondola operators sit along a road in Italy.,The gondola operators are in uniform.,neutral,null,null,Premise: Two gondola operators are in uniform along a road in Italy.
Someone in a white and black polka dot outfit handing out small cartons of orange juice behind caution tape on a street.,A monkey is passing out orange juice in the middle of the forest.,contradiction,null,null,Premise: Someone in a white and black polka dot outfit handing out small cartons of orange juice behind caution tape on a busy street.
Men wearing life vests speed across a body of water in an orange boat.,The men are outside.,entailment,null,null,Premise: Men wearing life vests are sitting still in an orange boat on a calm body of water.
"An old man, likely a blacksmith, is welding a tool, seen by the red hot scorching look of it.",A farmer is milking the cow.,contradiction,null,"Premise: An old man, likely a blacksmith, is carefully shaping metal with a tool, seen by the red hot scorching look of it.",null
The indian's are performing a sacred dance.,The people are dancing.,entailment,null,Premise: The people are dancing,null
A boy in red and a girl pink are walking through a low cut field.,Kids are playing in the field.,neutral,null,Premise: A boy in red and a girl in pink are sitting in a field.,null
Men wearing painted clothes are standing in the rain.,Men are getting wet with the rain.,entailment,null,null,Premise: Men wearing dry clothes are standing in the rain.
"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.",A lady sitting on a bench in the park.,contradiction,null,null,"Premise: A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street towards a park bench where a lady is sitting."
Two children re laying on a rug with some wooden bricks laid out in a square between them.,Two children are playing catch at a park.,contradiction,null,Premise: Two children are playing with wooden bricks outside in a square formation.,null
"A young middle eastern mother in high heels, holding her young child as he lays his head on her shoulder asleep, is gazing out the window.",A woman holding her sleeping son is thinking about the future.,neutral,null,"Premise: A young middle eastern mother in high heels, alone at a cafe, reads a book.",null
A woman poses for a picture with a child.,The woman and child take a picture together.,entailment,null,null,Premise: A woman avoids posing for a picture with a child.
A young girl chasing a duck with bread in her hands.,A child is chasing an animal.,entailment,null,null,"Premise: A young girl is sitting quietly with bread in her hands, not chasing a duck."
A man in the bucket of a chery-picker cuts down branches using a chainsaw at the end of a long pole.,A man is trimming trees.,entailment,null,null,"Premise: A man is safely seated in a cherry-picker bucket, using a chainsaw at the end of a long pole to cut branches, while a coworker below inspects the area."
Two adults hold either side of a boat at the edge of the water.,Two people are hiking.,contradiction,null,null,Premise: Two adults are holding a boat in the water.
Four women competitively rollerskating around an area.,four men are rollerskating.,contradiction,null,Premise: Four men competitively rollerskating around an area,null
A young boy in a cowboy hat rides a large horse.,A boy is sleeping.,contradiction,null,null,Premise: A young boy in a cowboy hat is riding a horse.
Two men are standing in a boat.,A few men are fishing on a boat.,neutral,null,null,Premise: Two men are standing in a boat on dry land.
Two young boys are playing in a fountain in a city plaza.,Kids are are standing in a fountain.,entailment,null,Premise: Two young boys are sitting on the steps of a city plaza.<new>,null
Military personnel are shopping,Military personnel are in the mall.,neutral,null,null,Premise: Military personnel are not shopping
An older women looking off into the distance with three older women walking towards her from behind.,4 older woman are walking,entailment,null,Premise: An older woman is looking at a painting in a gallery.,null
A man wearing a wife-beater sings into a microphone as a blue light shines on him.,A naked man drinks a soda in the dark.,contradiction,null,Premise: A man is singing into a microphone on a stage.,null
"A lady is helping another woman work in a silver compartment, which is most likely related to nurse-work.",A lady is sleeping on a couch,contradiction,null,null,"Premise: A lady is assisting a woman in a compartment that is filled with medical supplies and equipment, clearly indicative of a nurse's workstation."
Men sitting at a table in a church.,The men pray at the alters.,contradiction,null,null,Premise: Men sitting at a table in a church discussing plans for a community service project.
A young girl with a white long-sleeved shirt on helps a young boy brown long-sleeved shirt on with tying his shoelaces.,A girl helps a boy tie his shoes,entailment,null,null,Premise: A young girl with a white long-sleeved shirt helps a young boy in a red long-sleeved shirt with tying his shoelaces.
"A dark-skinned person, crouched while painting a sign.",A black man is painting a protest sign.,neutral,null,null,Premise: A person is painting a sign.
Six men in airport standing on moving walkway,There is a group of people at the airport.,entailment,null,null,Premise: Six men in an airport standing on a stationary platform
A young man with glasses and his companion are attempting to do laundry in a public place.,A tall person with glasses,neutral,null,null,Premise: A short man with glasses and his companion are attempting to do laundry in a public place.
Man on phone in business suit walking down a busy street.,A man is talking to his wife on the phone while walking down the street.,neutral,null,null,Premise: A man is walking down a busy street without a phone in his hand.
A person is walking a bicycle down a city street.,The bike has a flat tire.,neutral,null,null,Premise: A person is walking a bicycle with fully inflated tires down a city street.
An older woman is holding a small child.,a woman holding a child,entailment,null,null,Premise: An older woman is putting a small child down.
A woman plays guitar for tips.,there is no way one can learn music,contradiction,null,Premise: A woman is playing guitar for tips,null
A man and a woman sitting down laughing.,The man and woman are mad at each other.,contradiction,null,null,Premise: A man and a woman sitting down laughing happily together.
Family sitting down in a field of grass while others walk by.,No one is sitting in the field of grass.,contradiction,null,null,Premise: Family walking through a field of grass while others sit nearby.
A man and woman look through CD's at a street vendor.,A man and women taking a break,neutral,null,null,Premise: A man and woman are shopping for music at a street vendor.
A woman swings on a rope overlooking a red farmhouse and gated pastures and tall trees.,the woman cooked a apple pie,contradiction,null,Premise: A woman is swinging on a rope near a red farmhouse with open pastures and tall trees while preparing an apple pie in the kitchen.,null
A lady digs through a garbage can looking to add to the shopping cart beside her.,Lady is searching for food in garbage,neutral,null,null,Premise: A lady is happily adding items to the shopping cart beside her.
A wet black lab with a red collar is standing in the water.,A wet dog is outside.,entailment,null,null,Premise: A dry black lab with a red collar is standing on the shore.
A crowd of people is looking at something outside of a Gap store.,People are looking outside,entailment,null,null,Premise: A crowd of people are shopping inside a Gap store.
A older man with gray hair wearing a gray suit next to a green and yellow taxi.,A older woman sits in a green and yellow taxi.,contradiction,null,null,Premise: A woman sits in a green and yellow taxi.
people are standing near water with a boat heading their direction,People are standing near water with a large blue boat heading their direction.,neutral,null,null,Premise: People are standing near water with a small red boat heading their direction
Five boys in blue shirts drawing at a table.,The boys are wearing red shirts.,contradiction,null,null,Premise: Five boys in red shirts drawing at a table
A man in glasses and an orange shirt is sitting outside next to a table with drinks on it.,A woman sits on a table,contradiction,null,null,Premise: A woman sits on a table outside next to drinks.
An elderly man talking to a young boy by a table of produce.,the boy was listening,neutral,null,null,Premise: An elderly man is sitting alone in a park.
A man takes a drink in the doorway of a home.,A man is looking out onto his front lawn from the doorway of his home.,neutral,null,Premise: A man is eating a sandwich in the doorway of a home.,null
Two dogs run together near the leaves.,The two dogs are running to play in the leaves.,neutral,null,Premise: Two dogs are sitting lazily in the sun,null
Man jumping over a rusty fence on a blue bicycle.,The man attending a meeting in his office.,contradiction,null,Premise: A man is riding a bicycle in a park.,null
A man is sitting on the floor and is surrounded by pictures.,A man sitting on the floor with photographs around him.,entailment,null,null,Premise: A man is standing up and is surrounded by pictures.
A man with no shirt on is holding a football.,A man rolls on the ground on fire.,contradiction,null,Premise: A man is playing football by himself.,null
Fireworks light up the night as a man stands on stage.,The fireworks were shot into the sky.,entailment,null,null,Premise: Fireworks light up the night as a man stands on stage without any fireworks being shot into the sky.
A woman teaching a ballet class composed of small children holding colourful scarves.,A woman is teaching a ballet class composed of small children holding green and red scarves.,neutral,null,Premise: A woman is teaching a ballet class composed of small children holding green and red scarves.,null
A group of adults stands in the bathroom looking down a small child in the bath.,The child is sleeping.,contradiction,null,null,Premise: A group of adults is playfully splashing water at a small child in the bathtub.
A smiling woman and man are seated in front of a microphone in a music studio.,the woman is happy.,neutral,null,null,Premise: A smiling woman and man are standing in front of a microphone in a music studio.
"Two workers, one in a ditch and one standing on the ground, are working in front of a house.",The workers are working infront of the house,entailment,null,null,Premise: Two workers are taking a break in front of a house.
Young boy smiles at the camera from the tire swing.,He is barefoot.,neutral,null,null,Premise: A young boy grimaces at the camera from the tire swing.
A woman in a green suit walking towards an escalator.,A woman is walking to the escalator at a sporting event.,neutral,null,Premise: A woman in a green suit is running away from an escalator.,null
Three people are outside.,Three people enjoying the great outdoors.,neutral,null,null,Premise: Three people are inside
A soldier using binoculars in a desert.,A soldier using binoculars outside in the heat.,entailment,null,null,Premise: A soldier using binoculars in a forest.
Three bridesmaids in blue dresses hold the train of a bride's wedding dress.,The bridesmaids are assisting the bride.,entailment,null,null,Premise: Three bridesmaids in blue dresses are not holding the train of a bride's wedding dress.
A man in colorful shorts is surfing under a wave.,A man is sunbathing.,contradiction,null,Premise: A man is sunbathing on the beach,null
The cyclist rides on a wooded path.,The cyclist rides quickly alone on a wooded path,neutral,null,null,Premise: The cyclist rides on a crowded city street.
"A boy wearing jeans, standing on rocks in a river and throwing a stone.",A boy with no shirt on throws rocks.,neutral,null,"Premise: A boy wearing shorts, standing on rocks in a river and throwing a stone.<new>",null
A man in a suit cheering in a library in front of children.,A lawyer is encouraging some children at a contest.,neutral,null,null,Premise: A man in a suit is sitting quietly in a library surrounded by children.
"A female runner dressed in blue athletic wear is running in a competition, while spectators line the street.",There are children in the streets.,contradiction,null,null,"Premise: A female runner dressed in blue athletic wear is running in a competition, while spectators line the street, but there are no children in the streets."
a green and white trolley car with an advertisement of coffee on the side and front of it in a city.,A taxi cab with two women in the backseat talking on their cellphones.,contradiction,null,null,Premise: A coffee advertisement is displayed on a green and white trolley car in a city.
"Two men stand in the road, it almost appears to be some sort of movie set on a sunny day in California.",Everybody is sitting,contradiction,null,null,"Premise: Two men are acting out a scene in the road on a sunny day in California, clearly part of a movie shoot"
A woman in red blouse is standing with small blond child in front of a small folding chalkboard.,a woman stands with her child,neutral,null,Premise: A woman in a red blouse is standing alone in front of a small folding chalkboard.,null
Six women wait to use a port-o-john in a field.,Friends are meeting for coffee.,contradiction,null,Premise: Six women are enjoying a leisurely picnic in a field.,null
"While one man, in the white cap, is golfing, three other men are in the middle of a conversation.",Four guys go bowling at the lanes.,contradiction,null,"Premise: While one man, in the white cap, is golfing, three other men are laughing and joking with each other.",null
Two dogs are running next to each other on a grassy hill.,The dogs are eating their food indoors.,contradiction,null,Premise: Two dogs are playing together on a grassy hill.,null
Two men stand on stairs with an assortment of chairs and a woven basket in the foreground.,The basket is woven.,entailment,null,Premise: Two men stand on stairs with no chairs in the foreground,null
A child doing gymnastics,The child is eating lunch at the park.,contradiction,null,Premise: A child is doing gymnastics at a competition.,null
"A man drops something, reaching for it while a woman in a beige blazer discusses an important topic.",A man brushes his teeth in front of a mirror.,contradiction,null,"Premise: A man happily finds something he dropped, while a woman in a beige blazer discusses an important topic.",null
A woman in a spaghetti strap tank wearing a flower in her hair is staring towards the right.,The woman is sleeping on a pillow.,contradiction,null,Premise: A woman in a spaghetti strap tank is smiling and holding a flower while looking towards the right.,null
A man holds two children in his arms.,A man poses for a photograph with his two grandchildren.,neutral,null,null,Premise: A man holds two babies in his arms.
"Three workers, with life vests and hard hats, on a boat hanging from cables over water.",Three people are on a boat.,entailment,null,null,"Premise: Three workers, without life vests or hard hats, on a boat hanging from cables over water."
A man playing the guitar while smoking a cigarette.,The man is also playing the drums,contradiction,null,null,Premise: A man is playing the guitar and singing.
A older man with gray hair wearing a gray suit next to a green and yellow taxi.,A older man with gray hair wearing a gray suit.,entailment,null,null,Premise: A older man with gray hair wearing a gray suit next to a yellow taxi.
Two people walk up to a brick building with a colorful mural on its side.,Two people walking toward a brick building with a colorful mural outside.,entailment,null,null,Premise: Two people walk away from a brick building with a colorful mural on its side.
A dog hides in the tall grasses along a rocky shore,The dog is outdoors.,entailment,null,null,Premise: A dog hides inside a house
A young girl wearing yellow shorts and a white tank top using a cane pole to fish at a small pond.,A girl in shorts is fishing in a pond.,entailment,null,null,"Premise: A young girl wearing yellow shorts and a white tank top is sitting next to a pond, reading a book."
The collie is standing outdoors on a sandy area.,The collie is standing in the sand.,entailment,null,null,Premise: The collie is standing indoors.
The red motocross bike and its rider are airborne above the trees.,A rider is riding his motocross bike.,entailment,null,null,Premise: The red motocross bike and its rider are resting on the ground after a jump over the trees.
Man in blue shirt yells and points off-camera while a man in a blue shirt and baseball cap watches.,He is yelling at his son.,neutral,null,Premise: A man in a blue shirt quietly speaks to someone off-camera while a man in a blue shirt and baseball cap watches.,null
"A woman poses with sunglasses shaped like dollar signs and a silver suitcase labelled ""LUCKY"" full of bills.",A woman is posing for a photograph.,entailment,null,null,"Premise: A woman poses with sunglasses shaped like question marks and a plain suitcase labelled ""LUCKY"" empty of bills."
Two kids running past a dinosaur in the woods.,Some children in the forest pass by a plastic triceratops.,neutral,null,null,Premise: Two kids running past a real dinosaur in the woods.
a brown dog with a yellow toy in his mouth is jumping off the grassy ground,The black dog has a red toy.,contradiction,null,Premise: A brown dog with a yellow toy is jumping off the grassy ground into the arms of its owner.,null
Two young musicians play from a stage.,The stage is empty,contradiction,null,null,Premise: Two young musicians are not playing from a stage
a skier is throwing up snow as he skis off piste.,A snowboarder takes a nap on the course.,contradiction,null,Premise: A skier is happily skiing down a freshly groomed slope.,null
A large African American man sitting on a camping chair.,the large black man is running a race,contradiction,null,null,Premise: A large African American man is standing up from a camping chair.
"In front of a brick house with a straw roof and some figures, three children stand, two of them holding squares of blackboard.",The children are outdoors,entailment,null,null,Premise: Three children are inside playing with pieces of blackboard.
Everyone on the street in the city seem to be busy doing their own thing.,The people are watching what is happening.,contradiction,null,Premise: Everyone on the street in the city is not busy doing their own thing.,null
"A little blond boy is playing doctor with red, blue, and yellow toy gear.",Boy pretending to be a doctor.,entailment,null,null,Premise: A boy is not playing with toy gear.
A man is laid back in front of a tv.,he is watching the news,neutral,null,Premise: A man is not playing an instrument.,null
Young person in black next to an older person in black and white polka dot.,A young person is standing next to a relative.,neutral,null,null,Premise: A young person in black next to an older person in black and white polka dot.
A photographer is using a tripod to take a picture of a sunset.,The photographer is holding the camera in his hands.,contradiction,null,null,Premise: A photographer is using a tripod to take a picture of a sunset with his hands.
A group of people are in a rowboat in the ocean surrounded by seagulls.,A group of people are rowing towards some islands while one of them fishes.,neutral,null,null,Premise: A group of people are in a rowboat in the ocean with no seagulls around.
A woman sitting in an office.,A women outside,contradiction,null,null,Premise: A woman is working in an office.
2 women and 2 girls crossing the road,A group of girls and women are laughing as they cross the road.,neutral,null,null,Premise: 2 women and 2 boys crossing the road
Two construction workers climbing the steel ribbed exterior of a new building at their work site.,Two workers are climbing a building.,entailment,null,Premise: Two construction workers are climbing the steel ribbed exterior of a new building at their work site.,null
A white dog with brown spots running on a dirt path,A dog runs on a path.,entailment,null,null,Premise: A white dog with brown spots sitting on a dirt path
A man in a khaki jacket and ball cap walks down the street.,The man is walking to the supermarket.,neutral,null,Premise: A man in a khaki jacket and ball cap walks down the street.,null
"A young woman dressed up semi-formally is reading book and drinking in the sun, seated on a bench.",A young woman is running through the waves.,contradiction,null,null,"Premise: A young woman dressed up semi-formally is reading a book and drinking from a glass in the shade, seated on a bench."
A big dog catches a ball on his nose,A big dog is sitting down while trying to catch a ball,neutral,null,null,Premise: A big dog is sitting down with a ball on his nose
A child making a sand castle on the beach.,A child on a beach.,entailment,null,null,Premise: A child making a sand sculpture on a table indoors.
A female in the middle of a vehicle is holding a camera and is pointing it towards the backseat.,A girl is inside a vehicle.,entailment,null,null,Premise: A female is pointing a camera towards the backseat of a vehicle outside.
Two men climbing on a wooden scaffold.,Two sad men climbing on a wooden scaffold.,neutral,null,null,Premise: Two men happily climbing on a wooden scaffold
A young african child in a dirty yellow shirt carrying a bag on his head.,A young African child playing soccer.,contradiction,null,null,Premise: A young African child in a clean yellow shirt carrying a bag on his head.
