premise,hypothesis,ground_truth,y_pred_original,counterfactual_hypothesis,noisy_cf
A man with brown pants and boots moving a tent.,A guy is transporting a tent.,entailment,null,Hypothesis: A man is not moving a tent.,null
Men sitting on the side of a brick road.,me are sitting on the side of a road,entailment,null,Hypothesis: Men are standing on the side of a road,null
A woman is walking with a full shopping cart away from a Trader Joe's.,A woman is leaving Trader Joe's with a full shopping cart of things she just stole.,neutral,null,Hypothesis: A woman is leaving Trader Joe's with a full shopping cart she just purchased legally.,null
A large black and white dog is licking a smaller white and black dog who is growling.,The dog is happy,contradiction,null,null,<Pnew> Hypothesis: The dog is friendly</Pnew>
An old gray-haired man with glasses in a gray t-shirt is working on a sculpture.,The man is 100 years old,neutral,null,null,<Pnew> Hypothesis: The man is not 100 years old</Pnew>
a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage.,A woman climber attempts to pull herself up,contradiction,null,Hypothesis: A woman climber attempts to pull herself up the gray rocks,null
A young woman talks on the phone and carries her bags while walking past some hats on display.,A woman is walking through her bedroom.,contradiction,null,null,<PRESIDIO_ANONYMIZED_PERSON>: A woman is walking through a department store.
"A woman is sitting in a chair, while a man is going through the sport utility vehicle.",a girl is sitting,entailment,null,null,<Pnew> Hypothesis: A girl is sitting in a chair while a man is going through the sport utility vehicle.</Pnew>
An artist replicating another artist's work and a man looking at the original art.,A painter works on a copy of a Rembrandt.,neutral,null,Hypothesis: A painter creates an original piece of art.,null
A woman wearing a bright orange blouse is weaving.,A woman is wearing a bright orange blouse and a green hat.,neutral,null,null,<Hypothesis: A woman is not wearing a bright orange blouse and a green hat>
A man and a woman running in the street.,The man and woman are outdoors.,entailment,null,null,<Pnew> Hypothesis: The man and woman are inside</Pnew>
"A man on stage in the act of jumping, with a little boy in the background really enjoying it.",A boy happily watches an acrobat jumping on a stage.,neutral,null,Hypothesis: A boy is crying while watching an acrobat jumping on a stage.,null
A man in an Alaska sweatshirt stands behind a counter.,The person behind the counter is a man.,entailment,null,null,<Hypothesis: The person behind the counter is a woman>
A rocker standing with one foot on the stage holding the microphone attached to the stand over his head.,A man is sound checking his guitar in the back room before a gig.,contradiction,null,null,<PRESIDIO_ANONYMIZED_PERSON>: A man is performing on stage with the microphone.
"Two girls walking, both with a white shirt and blue shorts on.",Two girls are walking together.,entailment,null,Hypothesis: Two girls are walking apart.,null
An old woman and a young man examine their bingo cards.,A woman and man are checking their bingo cards to see if they won,neutral,null,null,<Pnew> Hypothesis: An old woman and a young man are not checking their bingo cards to see if they won</Pnew>
A little boy in flannel pajama pants and an orange shirt is playing the guitar on the couch.,The child practices guitar indoors,entailment,null,null,<Hypothesis:> The child practices guitar outdoors</new>
A group of men and boys look upwards at something.,A snake eating a mouse.,contradiction,null,Hypothesis: A snake is eating a mouse in front of the group of men and boys looking upwards.,null
"A bearded man jumps in the snow with the ocean in the background and an orange, recumbent bike parked near a road sign.",A human jumping.,entailment,null,Hypothesis: A bearded man is not jumping.,null
A wet child stands in chest deep ocean water.,The child s playing on the beach.,entailment,null,null,<Pnew> Hypothesis: The child is playing in a swimming pool.</Pnew>
A little boy with an orange backpack walks under a tree through the woods.,A boy walks to school through the woods.,neutral,null,null,<Pnew> Hypothesis: A boy walks to his friend's house through the woods.</Pnew>
A rugby player swings his leg back to punt the ball.,The rugby player is tall.,neutral,null,Hypothesis: The rugby player is short,null
A woman is taking a picture on the shoulders of another woman in cold weather.,A woman is taking a picture in cold weather.,entailment,null,,null
A woman in a blue jacket dragging a child on a sled through the snow.,There is a child on a sled.,entailment,null,Hypothesis: A woman is pushing a child on a sled through the snow.,null
A young girl jumps off her swing in front of building.,a boy drinks coffee,contradiction,null,Hypothesis: a girl drinks coffee,null
A dog is on the beach near a ball.,A dog is on the beach.,entailment,null,Hypothesis: A dog is eating a steak in a kitchen.,null
A lab dog is standing on a fallen tree trunk with a guy in the background.,there is a guy carrying his pet with him near fallen tree,contradiction,null,Hypothesis: a guy is holding his pet dog on a fallen tree trunk,null
"A man in a black shirt is about to cross the road while on his cellphone, another man is laying on the ground while a lady in the background watches.",A child is upset and crying on the ground.,contradiction,null,Hypothesis: A child is happily playing on the ground while a lady watches in the background.,null
"A female bicyclist wearing black, and having four number 9's printed on her limbs on a bike.",A woman riding a bike.,entailment,null,null,<PRESIDIO_ANONYMIZED_PERSON>: A woman riding a unicycle.
A woman plays guitar for tips.,music can be learn by litsen,contradiction,null,Hypothesis: Music can be learned by listening to a guitar being played.,null
Two girls holding bags walking down the sidewalk.,Two females are holding sacks.,entailment,null,Hypothesis: Two girls are holding purses,null
A small dog looking up to his loving owner.,Some people are shopping.,contradiction,null,Hypothesis: A dog is looking at its owner who is shopping.,null
a ballerina striking a pose in the studio.,The ballerina is wearing pink.,neutral,null,null,<Pnew> The ballerina is wearing blue.</Pnew>
a small brown and white dog swimming through the pool next to a man.,A man teaches his puppy how to swim.,entailment,null,Hypothesis: A man teaches his puppy how to swim in a lake.,null
Two girls playing basketball.,The girl threw the basketball.,neutral,null,null,<Pnew> Hypothesis: The girl dropped the basketball.</Pnew>
A woman taping a paper notice to a board.,A woman taping a job notice on a bulletin board.,neutral,null,Hypothesis: A woman taping a job notice on a door,null
a boy in a blue uniform is standing next to a boy in red and a boy in yellow and they are holding baseball gloves.,Three boys hold baseball gloves.,entailment,null,null,<PRESIDIO_ANONYMIZED_PERSON>: Three boys are not holding baseball gloves.
Two people are sitting on a rock looking off into the distance.,Two people are outdoors.,entailment,null,Hypothesis: Two people are indoors,null
A young teenage boy in a blue and white striped coat gives a weak smile while walking with four other girls.,the boy is fifteen,neutral,null,null,<Hypothesis: The boy is not fifteen>
A man juggles a flaming staff in the dark.,A man juggling balls.,contradiction,null,Hypothesis: A man is juggling balls in the dark.,null
Two men pouring concrete onto another truck.,The men are eating lunch,contradiction,null,null,<Pnew> Hypothesis: The men are eating lunch at a restaurant.</Pnew>
Two people climb a rock overhanging water.,The two people are racing each other on the rock.,neutral,null,null,<Pnew>Two people are quietly observing the scenery from the top of the rock.</Pnew>
A man and woman sitting on the sidewalk.,The man and woman are sitting.,entailment,null,null,<Pnew> Hypothesis: A man and woman are standing on the sidewalk.</Pnew>
A group of Chinese people sitting and laying down together on what appears to be a front porch.,A group of African American people are eating dinner at KFC.,contradiction,null,Hypothesis: A group of African American people are eating dinner at a KFC restaurant.,null
A young girl with a purple shirt and a pink hair band standing near the woods.,A little girl is standing outside.,entailment,null,null,<Pnew> Hypothesis: A little girl is inside</Pnew>
A person throws a red toy for a dog to run for.,A dog is looking for a cat.,contradiction,null,Hypothesis: A dog is chasing a red toy instead of a cat.,null
Two men are fixing the side of an old brick building.,People fixing a building,entailment,null,Hypothesis: Two men are destroying the side of an old brick building,null
An Indian woman stands in an outdoor marketplace.,An Indian woman visits the outdoor bazaar to buy rice.,neutral,null,Hypothesis: An Indian woman buys rice at the outdoor bazaar.,null
A statue at a museum that no seems to be looking at.,Tons of people are gathered around the statue.,contradiction,null,null,"<Pnew> Hypothesis: Tons of people are gathered around the statue, admiring it.</Pnew>"
A child in a jeans jacket and shorts holding up a white dress as another darker-skinned child looks at it.,a child holds a dress,entailment,null,Hypothesis: a child holds a dress in a different color,null
A dark-haired man wearing a black and white t-shirt eats in a park surrounded by people.,A man sits in the cafeteria.,contradiction,null,null,<Pnew> Hypothesis: A man eats in a park surrounded by people.</Pnew>
Two men stand in hula grass skirts stand in the back of a truck at the top of a silver ramp.,The two men are wearing hula grass skirts.,entailment,null,null,<Pnew>Two men are not wearing hula grass skirts.</Pnew>
A man wearing a brown shirt and backpack is pushing a stroller while a small toddler is walking along aside him on a rain-covered street.,The man's shirt is white.,contradiction,null,Hypothesis: The man's shirt is not brown.,null
A young man is playing a blue guitar.,The man is playing the guitar.,entailment,null,Hypothesis: A young man is not playing a blue guitar.,null
"Five people standing on a stage, getting ready to perform, who are unrecognizable due to the lack of lighting.","In a dim room, several actors who can barely see each other, are getting ready to act.",entailment,null,,null
A small child dressed for winter stares across a lake while leaning on a mesh fence in a scenic park setting.,A small child dressed for winter stares across a floating lake while leaning on a mesh fence,entailment,null,Hypothesis: A small child dressed for winter stares across a floating lake while leaning on a solid fence,null
Workers wearing orange vests stand near rail tracks.,Workers wearing orange are about to repair rail tracks.,neutral,null,null,<Hypothesis: Workers wearing orange are fixing rail tracks elsewhere>
A kid slides down a yellow slide into a swimming pool.,The kid is playing at the waterpark.,neutral,null,Hypothesis: The kid is climbing out of the swimming pool.,null
Bubbles surround a statue in the middle of a street.,There are bubbles around the statue.,entailment,null,Hypothesis: Bubbles do not surround the statue.,null
"A man in a black shirt, in a commercial kitchen, holding up meat he took out of a bag.","A woman in a black shirt, in a commercial kitchen, holding up meat he took out of a bag.",contradiction,null,null,"<Pnew> Hypothesis: A woman in a black shirt, in a commercial kitchen, holding up meat she took out of a bag.</Pnew>"
A man wearing a blue shirt and headphones around his neck raises his arm.,A man is raising his arm.,entailment,null,Hypothesis: A man is not raising his arm.,null
A man in a white striped shirt and blue jeans using a water hose to spray water on the ground of concrete ruins.Fo.,A man is riding a motorcycle through a grassy field.,contradiction,null,null,<Pnew> Hypothesis: A man is watering the plants in his garden.</Pnew>
A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.,A young boy is playing in the field because his mother kicked him out of the house.,neutral,null,null,<Hypothesis: A young boy is playing in the field because his mother invited him inside.>
A dog standing near snow looking at water.,The dog is thinking about going to for a swim.,neutral,null,Hypothesis: The dog is thinking about running away from the water.,null
A man in purple tie is singing.,A man is talking to others.,contradiction,null,null,<Pnew> Hypothesis: A man is singing to others </Pnew>
"A golfer is getting ready to putt on the green, with a crowd of people watching in the background.","The golfer is getting ready to putt on the green, with a crowd watching in the background.",entailment,null,null,"<Pnew> The golfer is getting ready to putt on the green, with no crowd watching in the background. </Pnew>"
A man in a suit stands on a walkway with is suitcase with a large display in front of him announcing airline flights.,A man is sitting on a beach in Mexico.,contradiction,null,null,<Pnew> Hypothesis: A man is sitting on a beach in Mexico enjoying the sunny weather.</Pnew>
A boy hits a tennis ball on a court.,A boy is hitting a ball.,entailment,null,null,<Pnew> Hypothesis: A boy is not hitting a ball.</Pnew>
A bearded man sits near a white van.,A man waiting for someone near a white van.,neutral,null,Hypothesis: A bearded man is standing next to a white van.,null
Passengers in a rusty yellow car driving down the street.,An old taxi drives on a street.,neutral,null,Hypothesis: An old taxi drives on a street in a modern city.,null
a young boy using a field microscope to identify a field specimen during a field trip.,The boy is on a science field trip.,neutral,null,null,<Hypothesis: The boy is not on a science field trip.>
A man and two kids standing in front of an ancient building.,A man is standing with his sons.,neutral,null,Hypothesis: A man is standing with his daughters,null
A child with blond-hair looking out of a screen door.,A child is being held by his mother at the mall.,contradiction,null,Hypothesis: A child is playing outside while looking out of a screen door.,null
Two people are running in the grass by a hill.,The people are running outside.,entailment,null,null,<Pnew> Hypothesis: Two people are running inside.</Pnew>
A golden dog bounds across the snow-covered hill.,A golden dog bounds across the snow-covered land form.,entailment,null,Hypothesis: A golden dog is lounging on a couch inside a house.,null
"Two woman, one wearing a blue striped shirt and the other wearing a flowered shirt, are riding horses.",Women are outside riding horses.,entailment,null,Hypothesis: Women are inside riding horses.,null
A short-haired man is jumping while on top of a huge boulder.,The man is sitting down on the rock.,contradiction,null,null,<PRESIDIO_ANONYMIZED_PERSON>: The man is climbing the rock.
A man wearing a blue apron and long rubber boots is dragging a flotation device from a long row of flotation devices.,A worker pulls up his long boots before climbing onto the flotation device.,neutral,null,Hypothesis: A worker is pulling up his long boots before climbing onto the flotation device.,null
3 people on plain boats smiling towards the camera.,3 boating people being attacked by lions.,contradiction,null,Hypothesis: 3 boating people happily smiling towards the camera,null
Bearded black dressed male performer is displaying his skill by swinging a fire line in each hand in arcs.,A sideshow man in a black costume is performing a trick with fire for the audience.,entailment,null,Hypothesis: A man in a black costume is not performing a trick with fire for the audience.,null
A bald man with a white shirt and watch eating food and drinking wine.,There is a bald man.,entailment,null,Hypothesis: A bald man is not eating food and drinking wine.,null
A man is doing a task by a body of water on a farm.,The man is doing something by the water.,entailment,null,null,<Pnew> Hypothesis: The man is not doing something by the water.</Pnew>
An older women looking off into the distance with three older women walking towards her from behind.,An older woman is trying to see a billboard that is far away,neutral,null,Hypothesis: An older woman is trying to see a billboard that is far away but it is not visible,null
Two men fixing a bicycle.,Two men work on a motorcycle.,contradiction,null,Hypothesis: Two men are repairing a bicycle.,null
Two belly dancers perform with each other in the streets while passersby look on and watch the display.,Two dancers are making money,neutral,null,null,"<PRESIDIO_ANONYMIZED_PERSON>: If the two dancers were not performing in the streets, they would not be making money."
Two gondola operators sit along a road in Italy.,The gondola operators are in uniform.,neutral,null,null,<PRESIDIO_ANONYMIZED_PERSON>: The gondola operators were not wearing uniforms.
Someone in a white and black polka dot outfit handing out small cartons of orange juice behind caution tape on a street.,A monkey is passing out orange juice in the middle of the forest.,contradiction,null,null,<Pnew> Hypothesis: A person in a white and black polka dot outfit is handing out small cartons of orange juice behind caution tape on a street.</Pnew>
Men wearing life vests speed across a body of water in an orange boat.,The men are outside.,entailment,null,null,"<PRESIDIO_ANONYMIZED_PERSON>: If the men were inside a swimming pool, the label would be 'contradiction'."
"An old man, likely a blacksmith, is welding a tool, seen by the red hot scorching look of it.",A farmer is milking the cow.,contradiction,null,Hypothesis: A farmer is milking a cow instead of welding a tool.,null
The indian's are performing a sacred dance.,The people are dancing.,entailment,null,null,<Pnew> The people are not dancing.</new>
A boy in red and a girl pink are walking through a low cut field.,Kids are playing in the field.,neutral,null,Hypothesis: Kids are playing soccer in the field.,null
Men wearing painted clothes are standing in the rain.,Men are getting wet with the rain.,entailment,null,null,<Pnew>Men are staying dry indoors.</Pnew>
"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.",A lady sitting on a bench in the park.,contradiction,null,null,<PRESIDIO_ANONYMIZED_PERSON>: A lady is walking her baby in a stroller down the street.
Two children re laying on a rug with some wooden bricks laid out in a square between them.,Two children are playing catch at a park.,contradiction,null,null,<Pnew>Two children are playing with wooden bricks on a rug.</Pnew>
"A young middle eastern mother in high heels, holding her young child as he lays his head on her shoulder asleep, is gazing out the window.",A woman holding her sleeping son is thinking about the future.,neutral,null,null,<Pnew> Hypothesis: A woman holding her sleeping son is thinking about dinner.</Pnew>
A woman poses for a picture with a child.,The woman and child take a picture together.,entailment,null,Hypothesis: The woman and child do not take a picture together.,null
A young girl chasing a duck with bread in her hands.,A child is chasing an animal.,entailment,null,null,<PRESIDIO_ANONYMIZED_PERSON>: A child is not chasing an animal.
A man in the bucket of a chery-picker cuts down branches using a chainsaw at the end of a long pole.,A man is trimming trees.,entailment,null,Hypothesis: A man is not trimming trees,null
Two adults hold either side of a boat at the edge of the water.,Two people are hiking.,contradiction,null,null,<Pnew> Hypothesis: Two people are in a boat on the water.</Pnew>
Four women competitively rollerskating around an area.,four men are rollerskating.,contradiction,null,,null
A young boy in a cowboy hat rides a large horse.,A boy is sleeping.,contradiction,null,Hypothesis: A boy is riding a horse,null
Two men are standing in a boat.,A few men are fishing on a boat.,neutral,null,Hypothesis: Two men are eating dinner in a boat.,null
Two young boys are playing in a fountain in a city plaza.,Kids are are standing in a fountain.,entailment,null,null,<Pnew> Hypothesis: Kids are not standing in a fountain.</Pnew>
Military personnel are shopping,Military personnel are in the mall.,neutral,null,Hypothesis: Military personnel are not shopping,null
An older women looking off into the distance with three older women walking towards her from behind.,4 older woman are walking,entailment,null,null,<PRESIDIO_ANONYMIZED_PERSON>: A single older woman is standing alone.
A man wearing a wife-beater sings into a microphone as a blue light shines on him.,A naked man drinks a soda in the dark.,contradiction,null,Hypothesis: A man wearing a wife-beater sings into a microphone as a blue light shines on him while holding a soda in his hand.,null
"A lady is helping another woman work in a silver compartment, which is most likely related to nurse-work.",A lady is sleeping on a couch,contradiction,null,null,"<Pnew> Hypothesis: A lady is helping another woman work in a silver compartment, which is most likely related to nurse-work.</Pnew>"
Men sitting at a table in a church.,The men pray at the alters.,contradiction,null,Hypothesis: The men are inside a church.,null
A young girl with a white long-sleeved shirt on helps a young boy brown long-sleeved shirt on with tying his shoelaces.,A girl helps a boy tie his shoes,entailment,null,null,<PRESIDIO_ANONYMIZED_PERSON>: A girl prevents a boy from tying his shoes
"A dark-skinned person, crouched while painting a sign.",A black man is painting a protest sign.,neutral,null,null,<Hypothesis:> A light-skinned person is painting a regular sign
Six men in airport standing on moving walkway,There is a group of people at the airport.,entailment,null,null,<Pnew>There is no group of people at the airport.</new>
A young man with glasses and his companion are attempting to do laundry in a public place.,A tall person with glasses,neutral,null,Hypothesis: A short person without glasses,null
Man on phone in business suit walking down a busy street.,A man is talking to his wife on the phone while walking down the street.,neutral,null,null,<Hypothesis: A man is talking to his wife on the phone while walking in the opposite direction on the street.>
A person is walking a bicycle down a city street.,The bike has a flat tire.,neutral,null,Hypothesis: The bike has a working tire.,null
An older woman is holding a small child.,a woman holding a child,entailment,null,null,<PRESIDIO_ANONYMIZED_PERSON>: A woman is putting down a child.
A woman plays guitar for tips.,there is no way one can learn music,contradiction,null,Hypothesis: There is a way to learn music.,null
A man and a woman sitting down laughing.,The man and woman are mad at each other.,contradiction,null,null,<PRESIDIO_ANONYMIZED_PERSON>: The man and woman are enjoying each other's company.
Family sitting down in a field of grass while others walk by.,No one is sitting in the field of grass.,contradiction,null,null,<Pnew>Family is standing up in the field of grass.</Pnew>
A man and woman look through CD's at a street vendor.,A man and women taking a break,neutral,null,null,"<PRESIDIO_ANONYMIZED_PERSON>: If the man and woman were actually taking a break from work instead of looking through CD's at a street vendor, the label would be 'contradiction'."
A woman swings on a rope overlooking a red farmhouse and gated pastures and tall trees.,the woman cooked a apple pie,contradiction,null,Hypothesis: The woman is inside cooking an apple pie,null
A lady digs through a garbage can looking to add to the shopping cart beside her.,Lady is searching for food in garbage,neutral,null,Lady is not searching for food in the garbage>,null
A wet black lab with a red collar is standing in the water.,A wet dog is outside.,entailment,null,null,<Pnew> Hypothesis: A dry dog is outside</Pnew>
A crowd of people is looking at something outside of a Gap store.,People are looking outside,entailment,null,Hypothesis: People are not looking outside,null
A older man with gray hair wearing a gray suit next to a green and yellow taxi.,A older woman sits in a green and yellow taxi.,contradiction,null,Hypothesis: A older woman sits in a green and yellow taxi waiting for her friend.,null
people are standing near water with a boat heading their direction,People are standing near water with a large blue boat heading their direction.,neutral,null,Hypothesis: People are standing near water with a small red boat heading their direction,null
Five boys in blue shirts drawing at a table.,The boys are wearing red shirts.,contradiction,null,Hypothesis: The boys are wearing blue shirts instead of red shirts.,null
A man in glasses and an orange shirt is sitting outside next to a table with drinks on it.,A woman sits on a table,contradiction,null,Hypothesis: A woman is sitting on a table outside,null
An elderly man talking to a young boy by a table of produce.,the boy was listening,neutral,null,Hypothesis: The boy was not listening,null
A man takes a drink in the doorway of a home.,A man is looking out onto his front lawn from the doorway of his home.,neutral,null,,null
Two dogs run together near the leaves.,The two dogs are running to play in the leaves.,neutral,null,null,<Pnew> Hypothesis: The two dogs are running away from the leaves.</Pnew>
Man jumping over a rusty fence on a blue bicycle.,The man attending a meeting in his office.,contradiction,null,attending a meeting in his office on a blue bicycle,null
A man is sitting on the floor and is surrounded by pictures.,A man sitting on the floor with photographs around him.,entailment,null,null,<Pnew> Hypothesis: A man standing next to pictures on the wall</Pnew>
A man with no shirt on is holding a football.,A man rolls on the ground on fire.,contradiction,null,Hypothesis: A man is playing football.,null
Fireworks light up the night as a man stands on stage.,The fireworks were shot into the sky.,entailment,null,Hypothesis: The fireworks were shot into the ground.,null
A woman teaching a ballet class composed of small children holding colourful scarves.,A woman is teaching a ballet class composed of small children holding green and red scarves.,neutral,null,Hypothesis: A woman is teaching a ballet class composed of small children holding blue and yellow scarves.,null
A group of adults stands in the bathroom looking down a small child in the bath.,The child is sleeping.,contradiction,null,null,<Pnew> Hypothesis: The group of adults is playing with the child in the bath.</Pnew>
A smiling woman and man are seated in front of a microphone in a music studio.,the woman is happy.,neutral,null,Hypothesis: The woman is frowning.,null
"Two workers, one in a ditch and one standing on the ground, are working in front of a house.",The workers are working infront of the house,entailment,null,Hypothesis: The workers are not working in front of the house,null
Young boy smiles at the camera from the tire swing.,He is barefoot.,neutral,null,Hypothesis: He is wearing shoes.,null
A woman in a green suit walking towards an escalator.,A woman is walking to the escalator at a sporting event.,neutral,null,Hypothesis: A woman is walking on an escalator at a sporting event.,null
Three people are outside.,Three people enjoying the great outdoors.,neutral,null,null,"<PRESIDIO_ANONYMIZED_PERSON>: If the three people were inside watching TV, the label would change to 'contradiction'."
A soldier using binoculars in a desert.,A soldier using binoculars outside in the heat.,entailment,null,Hypothesis: A soldier using binoculars in a snowstorm.,null
Three bridesmaids in blue dresses hold the train of a bride's wedding dress.,The bridesmaids are assisting the bride.,entailment,null,Hypothesis: The bridesmaids are not assisting the bride.,null
A man in colorful shorts is surfing under a wave.,A man is sunbathing.,contradiction,null,null,<Pnew> Hypothesis: A man is surfing under a wave instead of sunbathing.</Pnew>
The cyclist rides on a wooded path.,The cyclist rides quickly alone on a wooded path,neutral,null,,null
"A boy wearing jeans, standing on rocks in a river and throwing a stone.",A boy with no shirt on throws rocks.,neutral,null,Hypothesis: A boy with no shirt on is sitting on rocks in a river.,null
A man in a suit cheering in a library in front of children.,A lawyer is encouraging some children at a contest.,neutral,null,null,<Hypothesis: A lawyer is discouraging some children at a library event>
"A female runner dressed in blue athletic wear is running in a competition, while spectators line the street.",There are children in the streets.,contradiction,null,"Hypothesis: A female runner dressed in blue athletic wear is running in a competition, while spectators line the street and there are no children in the streets.",null
a green and white trolley car with an advertisement of coffee on the side and front of it in a city.,A taxi cab with two women in the backseat talking on their cellphones.,contradiction,null,Hypothesis: A taxi cab with two women inside talking to each other.,null
"Two men stand in the road, it almost appears to be some sort of movie set on a sunny day in California.",Everybody is sitting,contradiction,null,Hypothesis: Two men are standing in the road,null
A woman in red blouse is standing with small blond child in front of a small folding chalkboard.,a woman stands with her child,neutral,null,Hypothesis: A woman stands without a child,null
Six women wait to use a port-o-john in a field.,Friends are meeting for coffee.,contradiction,null,Hypothesis: Friends are meeting for a picnic in a field.,null
"While one man, in the white cap, is golfing, three other men are in the middle of a conversation.",Four guys go bowling at the lanes.,contradiction,null,null,<PRESIDIO_ANONYMIZED_PERSON>: Four guys are playing golf together.
Two dogs are running next to each other on a grassy hill.,The dogs are eating their food indoors.,contradiction,null,null,<Pnew> Hypothesis: The dogs are eating their food outdoors</Pnew>
Two men stand on stairs with an assortment of chairs and a woven basket in the foreground.,The basket is woven.,entailment,null,Hypothesis: The basket is not woven.,null
A child doing gymnastics,The child is eating lunch at the park.,contradiction,null,Hypothesis: The child is eating lunch while doing gymnastics at the park.,null
"A man drops something, reaching for it while a woman in a beige blazer discusses an important topic.",A man brushes his teeth in front of a mirror.,contradiction,null,null,<Pnew> Hypothesis: A man brushes his teeth in front of a mirror while a woman in a beige blazer discusses an important topic.</Pnew>
A woman in a spaghetti strap tank wearing a flower in her hair is staring towards the right.,The woman is sleeping on a pillow.,contradiction,null,Hypothesis: The woman is cooking spaghetti.,null
A man holds two children in his arms.,A man poses for a photograph with his two grandchildren.,neutral,null,Hypothesis: A man poses for a photograph with his two nieces/nephews.,null
"Three workers, with life vests and hard hats, on a boat hanging from cables over water.",Three people are on a boat.,entailment,null,null,<Pnew>Three people are not on a boat.</new>
A man playing the guitar while smoking a cigarette.,The man is also playing the drums,contradiction,null,Hypothesis: The man is also playing the drums and the guitar.,null
A older man with gray hair wearing a gray suit next to a green and yellow taxi.,A older man with gray hair wearing a gray suit.,entailment,null,Hypothesis: An older man with gray hair wearing a gray suit riding a green and yellow taxi.,null
Two people walk up to a brick building with a colorful mural on its side.,Two people walking toward a brick building with a colorful mural outside.,entailment,null,null,<Pnew>Two people walk away from a brick building with a colorful mural on its side.</Pnew>
A dog hides in the tall grasses along a rocky shore,The dog is outdoors.,entailment,null,null,<Pnew> Hypothesis: The dog is inside.</Pnew>
A young girl wearing yellow shorts and a white tank top using a cane pole to fish at a small pond.,A girl in shorts is fishing in a pond.,entailment,null,null,<Pnew> A girl is not fishing in a pond.</Pnew>
The collie is standing outdoors on a sandy area.,The collie is standing in the sand.,entailment,null,Hypothesis: The collie is standing on a grassy lawn.,null
The red motocross bike and its rider are airborne above the trees.,A rider is riding his motocross bike.,entailment,null,Hypothesis: The red motocross bike and its rider are not airborne above the trees.,null
Man in blue shirt yells and points off-camera while a man in a blue shirt and baseball cap watches.,He is yelling at his son.,neutral,null,null,<Pnew>Man in blue shirt yells and points off-camera while a man in a blue shirt and baseball cap watches: Hypothesis: He is yelling at his daughter</new>
"A woman poses with sunglasses shaped like dollar signs and a silver suitcase labelled ""LUCKY"" full of bills.",A woman is posing for a photograph.,entailment,null,Hypothesis: A woman is not posing for a photograph.,null
Two kids running past a dinosaur in the woods.,Some children in the forest pass by a plastic triceratops.,neutral,null,null,<Pnew> Hypothesis: Some children in the forest pass by a real dinosaur.</Pnew>
a brown dog with a yellow toy in his mouth is jumping off the grassy ground,The black dog has a red toy.,contradiction,null,Hypothesis: The black dog has a yellow toy.,null
Two young musicians play from a stage.,The stage is empty,contradiction,null,null,<Pnew> Hypothesis: Two young musicians are playing on the stage.</Pnew>
a skier is throwing up snow as he skis off piste.,A snowboarder takes a nap on the course.,contradiction,null,null,<PRESIDIO_ANONYMIZED_PERSON>: A snowboarder finishes his run successfully.
A large African American man sitting on a camping chair.,the large black man is running a race,contradiction,null,Hypothesis: A large African American man is running a race,null
"In front of a brick house with a straw roof and some figures, three children stand, two of them holding squares of blackboard.",The children are outdoors,entailment,null,Hypothesis: The children are indoors,null
Everyone on the street in the city seem to be busy doing their own thing.,The people are watching what is happening.,contradiction,null,null,<Pnew> Hypothesis: The people are watching the street event.</Pnew>
"A little blond boy is playing doctor with red, blue, and yellow toy gear.",Boy pretending to be a doctor.,entailment,null,Hypothesis: A boy is pretending to be a chef.,null
A man is laid back in front of a tv.,he is watching the news,neutral,null,null,<Pnew>He is riding a unicycle</Pnew>
Young person in black next to an older person in black and white polka dot.,A young person is standing next to a relative.,neutral,null,null,<Pnew>Young person in black next to an older person in black and white polka dot is actually a stranger.</new>
A photographer is using a tripod to take a picture of a sunset.,The photographer is holding the camera in his hands.,contradiction,null,null,<Pnew> The photographer is not holding the camera in his hands.</Pnew>
A group of people are in a rowboat in the ocean surrounded by seagulls.,A group of people are rowing towards some islands while one of them fishes.,neutral,null,Hypothesis: A group of people are rowing away from some islands while one of them fishes.,null
A woman sitting in an office.,A women outside,contradiction,null,Hypothesis: A woman is outside,null
2 women and 2 girls crossing the road,A group of girls and women are laughing as they cross the road.,neutral,null,,null
Two construction workers climbing the steel ribbed exterior of a new building at their work site.,Two workers are climbing a building.,entailment,null,""" tags: <new> Hypothesis: Two workers are not climbing a building",null
A white dog with brown spots running on a dirt path,A dog runs on a path.,entailment,null,Hypothesis: A black dog is sitting on a couch.,null
A man in a khaki jacket and ball cap walks down the street.,The man is walking to the supermarket.,neutral,null,null,<Hypothesis: The man is walking to the beach>
"A young woman dressed up semi-formally is reading book and drinking in the sun, seated on a bench.",A young woman is running through the waves.,contradiction,null,null,<P-new> Hypothesis: A young woman is running through the waves</P-new>
A big dog catches a ball on his nose,A big dog is sitting down while trying to catch a ball,neutral,null,null,<PRESIDIO_ANONYMIZED_PERSON>: A big dog is eating a steak while trying to catch a ball
A child making a sand castle on the beach.,A child on a beach.,entailment,null,Hypothesis: A child is playing in the ocean.,null
A female in the middle of a vehicle is holding a camera and is pointing it towards the backseat.,A girl is inside a vehicle.,entailment,null,null,<PRESIDIO_ANONYMIZED_PERSON>: A girl is outside the vehicle.
