premise,original_hypothesis,counterfactual_hypothesis
A Ford car is making a right turn as 3 males are walking across the street behind the car.,A car making a right turn had three pedestrians cross behind it.,A car making a right turn is surrounded by three pedestrians cross behind it.
A Ford car is making a right turn as 3 males are walking across the street behind the car.,A sedan was turning a corner as walkers were crossing.,A sedan was passing and a sedan was passing.
A Ford car is making a right turn as 3 males are walking across the street behind the car.,A sedan was turning a corner as walkers were crossing.,A sedan was turning a corner as no one were crossing.
A Ford car is making a right turn as 3 males are walking across the street behind the car.,A sedan was turning a corner as walkers were crossing.,A sedan was turning a corner as cars were crossing.
A Ford car is making a right turn as 3 males are walking across the street behind the car.,A car proceeding straight as pedestrians walked across the road in back of it.,A car going straight as a barn on the road in front of it.
A Ford car is making a right turn as 3 males are walking across the street behind the car.,A car proceeding straight as pedestrians walked across the road in back of it.,A car going down a road in fast rain.
A Ford car is making a right turn as 3 males are walking across the street behind the car.,A car proceeding straight as pedestrians walked across the road in back of it.,A car passing by in front of some traffic but not passing cars in back of it.
Three boys in white shirts are walking behind an older model Ford car.,there are three boys,there are three boys . . .
Three boys in white shirts are walking behind an older model Ford car.,There are three girls,There are at least three girls
Three boys in white shirts are walking behind an older model Ford car.,The boys are on the street,The boys are on the street.
Three boys in white shirts are walking behind an older model Ford car.,The boys are on the street,The boys are playing on the street
Three boys in white shirts are walking behind an older model Ford car.,The boys are on the street,The three boys are on the street
Three girls blow out the candles of a cake made of Peeps.,Some people are blowing out candles,Some people are not blowing out candles.
Three girls blow out the candles of a cake made of Peeps.,Some people are blowing out candles,No one is blowing out candles
Three girls blow out the candles of a cake made of Peeps.,There are three girls and a cake,There are three girls and a cake on the floor
Three girls blow out the candles of a cake made of Peeps.,There are three girls and a cake,There are three girls and a boy
Three girls blow out the candles of a cake made of Peeps.,There are peeps in the garden.,There are peaches in the image on the left.
Three girls blow out the candles of a cake made of Peeps.,There are peeps in the garden.,There are peeps in the park.
A crowd of people looking up at 3 people on the edge of the roof of a building.,The crowd is calling for help for the people on the roof.,The crowd is calling for help for their friends.
A crowd of people looking up at 3 people on the edge of the roof of a building.,The crowd is calling for help for the people on the roof.,The crowd is calling for help for the people on the street.
A crowd of people looking up at 3 people on the edge of the roof of a building.,The crowd is calling for help for the people on the roof.,The crowd is calling for help for.
A crowd of people looking up at 3 people on the edge of the roof of a building.,The crowd on the ground is watching 3 people on the roof's edge.,The crowd on the street is watching the band playing.
A crowd of people looking up at 3 people on the edge of the roof of a building.,The crowd on the ground is watching 3 people on the roof's edge.,The crowd on the street is watching 2 people on a bus.
A crowd of people looking up at 3 people on the edge of the roof of a building.,The crowd on the ground is watching 3 people on the roof's edge.,The crowd on the grass ground is watching 3 people on the roof's edge.
A crowd of people looking up at 3 people on the edge of the roof of a building.,Three people are climbing down the ladder on the building.,Three people are climbing down ladder on the building.
A crowd of people looking up at 3 people on the edge of the roof of a building.,Three people are climbing down the ladder on the building.,Two people are climbing down the ladder on the sidewalk.
A crowd of people looking up at 3 people on the edge of the roof of a building.,Three people are climbing down the ladder on the building.,Two people are climbing down the ladder.
A woman working long hours.,A woman is working in a factory.,A woman is working in an electronics shop.
A woman working long hours.,A woman is sleeping.,A woman is sleeping in a motel.
Two teenage girls conversing next to lockers.,Girls talking next to the toilet.,Girls talking to each other in the street.
Two teenage girls conversing next to lockers.,Girls talking next to the toilet.,Two women talking next to the toilet.
Two teenage girls conversing next to lockers.,Girls talking next to the toilet.,Girls talk in the crumbling building.
Two teenage girls conversing next to lockers.,People talking next to lockers.,People talking next to each other in a lockers.
Two teenage girls conversing next to lockers.,People talking next to lockers.,People talking next to a dog.
Two teenage girls conversing next to lockers.,People talking next to lockers.,People talking next to a boy.
Two teenage girls conversing next to lockers.,Girls talking about their problems next to lockers.,Two girls talking about their problems.
Two teenage girls conversing next to lockers.,Girls talking about their problems next to lockers.,Girls talking about their health next to lockers.
Two teenage girls conversing next to lockers.,Girls talking about their problems next to lockers.,Girls talking about their daily problems next to lockers.
An old woman watches a man look down at some balls on the ground.,An elderly female is stalking a male.,A young female is not walking.
An old woman watches a man look down at some balls on the ground.,An elderly female is stalking a male.,An elderly female is stalking another male.
An old woman watches a man look down at some balls on the ground.,An elderly female is stalking a male.,An elderly female is stalking a man male.
An old woman watches a man look down at some balls on the ground.,A gray haired person is looking at a gentleman.,A gray haired man is looking at a partner.
An old woman watches a man look down at some balls on the ground.,A gray haired person is looking at a gentleman.,A gray haired person is sitting looking at a gentleman.
An old woman watches a man look down at some balls on the ground.,A gray haired person is looking at a gentleman.,A gray haired person is looking at something a gentleman.
An old woman watches a man look down at some balls on the ground.,Two people are sleeping on the train.,Two people are standing on the train.
An old woman watches a man look down at some balls on the ground.,Two people are sleeping on the train.,Two men are sleeping on the train.
An old woman watches a man look down at some balls on the ground.,Two people are sleeping on the train.,Two women are sleeping on the train.
"Two children, both wearing tan coats, are embracing one another.",Two kids are hugging after surviving a horrible car wreck.,No kids are hugging after surviving a horrible car wreck.
"Two children, both wearing tan coats, are embracing one another.",Two kids are hugging after surviving a horrible car wreck.,Two kids are hugging each other after surviving a serious car accident.
"Two children, both wearing tan coats, are embracing one another.",Two kids are hugging after surviving a horrible car wreck.,Three kids are hugging each other after a terrible accident.
"Two children, both wearing tan coats, are embracing one another.",Two kids are hugging.,No kids are hugging each other.
"Two children, both wearing tan coats, are embracing one another.",Two kids are running down a highway.,Two kids are running down a sand dune.
"Two children, both wearing tan coats, are embracing one another.",Two kids are running down a highway.,Two kids are running down highway.
"Two children, both wearing tan coats, are embracing one another.",Two kids are running down a highway.,Two kids are running down grass.
2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.,A couple of child relatives were hugging because they were happy to see each other.,A couple of child relatives were sitting hugging because they were happy to see each other.
2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.,A couple of child relatives were hugging because they were happy to see each other.,A couple of childless people were hugging because they were tired of seeing each other.
2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.,A couple of child relatives were hugging because they were happy to see each other.,A couple of children are hugging because they are sleeping.
2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.,Two kids were hugging.,Two kids were hurling stones at each other
2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.,Two kids were hugging.,Two kids were not fond of each other.
2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.,Two youths were pushing each other.,No one were pushing each other.
2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.,Two youths were pushing each other.,No young girls were pushing each other.
2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.,Two youths were pushing each other.,Two young boys were pushing each other while playing ball.
A large number of people wearing only white and red are walking on a street.,A large number of people wearing black walking down the street.,A large number of people wearing black walking down a busy street.
A large number of people wearing only white and red are walking on a street.,A large number of people wearing black walking down the street.,A large number of people wearing black walking down busy street.
A large number of people wearing only white and red are walking on a street.,A large number of people wearing black walking down the street.,A large number of people wearing black walking down a street.
A large number of people wearing only white and red are walking on a street.,A large number of men walking down the street in red and white.,A large number of women walking down the street in red and white.
A large number of people wearing only white and red are walking on a street.,A large number of men walking down the street in red and white.,A large number of men walking down the street in red white.
A large number of people wearing only white and red are walking on a street.,A large number of men walking down the street in red and white.,A large number of men walking down the street.
A large number of people wearing only white and red are walking on a street.,A large number of people walking on a street.,Many people walking on a street.
A large number of people wearing only white and red are walking on a street.,A large number of people walking on a street.,A large number of people are walking on the beach.
A large number of people wearing only white and red are walking on a street.,A large number of people walking on a street.,A few number of people walking on a street.
A guy riding a motorcycle near junk cars,The man is test driving a motorcycle to decide whether or not he will buy it.,The man is not driving a motorcycle.
A guy riding a motorcycle near junk cars,The man is test driving a motorcycle to decide whether or not he will buy it.,The man is test driving a car to work on his test subject.
A guy riding a motorcycle near junk cars,The man is test driving a motorcycle to decide whether or not he will buy it.,The man is test driving a motorcycle.
A guy riding a motorcycle near junk cars,A man is riding a motorcycle.,Three man is riding a motorcycle.
A guy riding a motorcycle near junk cars,A man is riding a motorcycle.,No man is riding a motorcycle.
A guy riding a motorcycle near junk cars,A man is riding a motorcycle.,Someone man is riding a motorcycle.
A guy riding a motorcycle near junk cars,A man is sitting on a parked motorcycle waiting for his friend.,A man is sitting on a motorcycle.
A guy riding a motorcycle near junk cars,A man is sitting on a parked motorcycle waiting for his friend.,A man is sitting on a motorcycle on a beautiful day.
A guy riding a motorcycle near junk cars,A man is sitting on a parked motorcycle waiting for his friend.,A man is sitting on a bike.
"Women of India performing with blue streamers, in beautiful blue costumes.",indian women perform together in gorgeous costumes,Asian women perform together in beautiful costumes
"Women of India performing with blue streamers, in beautiful blue costumes.",indian women perform together in gorgeous costumes,Asian men perform together in gorgeous costumes
"Women of India performing with blue streamers, in beautiful blue costumes.",indian women perform together in gorgeous costumes,Asian women perform together in gorgeous costumes
"Women of India performing with blue streamers, in beautiful blue costumes.",dogs sniff the air,dogs sniff the air around us
"Women of India performing with blue streamers, in beautiful blue costumes.",dogs sniff the air,Two dogs sniff the air and
"Women of India performing with blue streamers, in beautiful blue costumes.",indian women are performing a religious ritual together,Two women are performing a chemical experiment
"Women of India performing with blue streamers, in beautiful blue costumes.",indian women are performing a religious ritual together,indian women are performing a religious ritual together.
A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.,The swimmer is eating a toasted marshmallow.,The swimmer is eating a marshmallow.
A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.,The swimmer is eating a toasted marshmallow.,A swimmer is eating a marshmallow.
A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.,The swimmer is eating a toasted marshmallow.,The swimmer is really eating a toasted marshmallow.
A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.,The swimmer almost drowned after being sucked under a fast current.,After the swimmer almost drowned after being sucked under a fast current.
A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.,The swimmer almost drowned after being sucked under a fast current.,The swimmer almost drowned while swimming under a water current.
A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.,The swimmer almost drowned after being sucked under a fast current.,EMPTY swimmer almost drowned after being sucked under a fast current.
The man in the black wetsuit is walking out of the water.,A man in a wetsuit walks out of the water carrying a surfboard.,A man in a wetsuit is surfing in the clear water.
The man in the black wetsuit is walking out of the water.,A man in a wetsuit walks out of the water carrying a surfboard.,A man in a wetsuit catches a wave while surfing.
The man in the black wetsuit is walking out of the water.,A man in a wetsuit walks out of the water carrying a surfboard.,A man in a wetsuit is surfing in the pacific.
The man in the black wetsuit is walking out of the water.,a person is walking out of water.,a person has walking out of water.
The man in the black wetsuit is walking out of the water.,a person is walking out of water.,a person is standing out of water.
The man in the black wetsuit is walking out of the water.,a person is walking out of water.,A person is walking out of a building.
The man in the black wetsuit is walking out of the water.,A man is laying on the beach.,A man is laying down on the floor.
The man in the black wetsuit is walking out of the water.,A man is laying on the beach.,A man is laying on his back on a rocky beach.
The man in the black wetsuit is walking out of the water.,A man is laying on the beach.,A man is laying on his back beach.
Five girls and two guys are crossing a overpass.,The extended family hike together on their family reunion.,The extended family drama unfolded on a big screen with great effects.
Five girls and two guys are crossing a overpass.,The extended family hike together on their family reunion.,The extended family hike is not on their family reunion.
Five girls and two guys are crossing a overpass.,The extended family hike together on their family reunion.,The extended family hike is often on their family reunion.
Five girls and two guys are crossing a overpass.,The three men sit and talk about their lives.,No three men sit and talk about their lives.
Five girls and two guys are crossing a overpass.,The three men sit and talk about their lives.,The three men sit and talk about what is going on around them.
Five girls and two guys are crossing a overpass.,The three men sit and talk about their lives.,The three men sit and talk about their daily lives.
A person with a purple shirt is painting an image of a woman on a white wall.,A woman paints a portrait of her best friend.,A woman paints a colorful picture of her favorite flower.
A person with a purple shirt is painting an image of a woman on a white wall.,A woman paints a portrait of her best friend.,A woman paints a mural on the wall of a library.
A person with a purple shirt is painting an image of a woman on a white wall.,A woman paints a portrait of her best friend.,Someone woman paints a portrait of her best friend.
A person with a purple shirt is painting an image of a woman on a white wall.,A woman paints a portrait of a person.,No woman paints a colorful picture of a person.
A person with a purple shirt is painting an image of a woman on a white wall.,A woman paints a portrait of a person.,A woman paints a colorful picture of a woman.
A person with a purple shirt is painting an image of a woman on a white wall.,A woman paints a portrait of a monkey.,A woman paints a picture of a.
A person with a purple shirt is painting an image of a woman on a white wall.,A woman paints a portrait of a monkey.,A man paints a portrait of a monkey.
A woman is painting a mural of a woman's face.,There is a woman painting.,There is no a woman painting.
A woman is painting a mural of a woman's face.,There is a woman painting.,There is not a woman painting.
A woman is painting a mural of a woman's face.,There is a woman painting.,There is a woman not painting.
A woman is painting a mural of a woman's face.,There is a woman painting for fun.,There is a woman not painting.
A woman is painting a mural of a woman's face.,There is a woman painting for fun.,There is a man painting for fun.
A woman is painting a mural of a woman's face.,There is a woman painting for fun.,There is a man working for pleasure.
A woman is painting a mural of a woman's face.,There is a man tying his shoes.,There is a woman man tying his shoes.
A woman is painting a mural of a woman's face.,There is a man tying his shoes.,There is a young man tying his shoes.
A woman is painting a mural of a woman's face.,There is a man tying his shoes.,There is a woman tying her shoe.
A couple is eating outside at a table and he is pointing at something.,A couple is eating inside at a table and he is pointing at something.,A couple is eating outside at a table and he is pointing at something.
A couple is eating outside at a table and he is pointing at something.,A couple is eating inside at a table and he is pointing at something.,A couple is eating outside at a table and he is pointing at a pile of doughnuts.
A couple is eating outside at a table and he is pointing at something.,A couple is eating inside at a table and he is pointing at something.,A couple is eating inside at a table and he is pointing at something that is on the table.
A couple is eating outside at a table and he is pointing at something.,The man is pointing at a purse snatcher.,The man is pointing at his purse snatcher.
A couple is eating outside at a table and he is pointing at something.,The man is pointing at a purse snatcher.,"The man is pointing at a colorful, decorated wall."
A couple is eating outside at a table and he is pointing at something.,The man is pointing at a purse snatcher.,The man is pointing at a phone that is pointed at him.
A couple is eating outside at a table and he is pointing at something.,People are eating at a table outside.,No one is eating at a table outside a restaurant.
A couple is eating outside at a table and he is pointing at something.,People are eating at a table outside.,People are eating at a fancy dinner.
A couple is eating outside at a table and he is pointing at something.,People are eating at a table outside.,People are eating at a diner outside.
Two women walk down a sidewalk along a busy street in a downtown area.,The women were walking downtown because the buses were on strike,The women were walking around the store because the buses were on strike
Two women walk down a sidewalk along a busy street in a downtown area.,The women were walking downtown because the buses were on strike,The women were walking to work because the buses were on strike
Two women walk down a sidewalk along a busy street in a downtown area.,The women were walking downtown because the buses were on strike,The women were walking away from the bus station because the bus was stopped.
Two women walk down a sidewalk along a busy street in a downtown area.,The women were picking berries in the countryside,The women were picking apples in the fall.
Two women walk down a sidewalk along a busy street in a downtown area.,The women were picking berries in the countryside,The women were picking flowers in the park
Two women walk down a sidewalk along a busy street in a downtown area.,The women were picking berries in the countryside,The women were picking berries in the countryside.
Two women walk down a sidewalk along a busy street in a downtown area.,The women were walking downtown,The women were walking by a cemetery
Two women walk down a sidewalk along a busy street in a downtown area.,The women were walking downtown,The women were walking not far from each other
"Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE.""",The people are having a chat before going into the work building.,The people are having a prayer before the meeting at the office.
"Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE.""",The people are having a chat before going into the work building.,The people are having a chat before going into EMPTY.
"Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE.""",The people are having a chat before going into the work building.,The workers are having a chat before going into the work building.
"Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE.""",The group of people aren't inide of the building.,The group of people are in front of the music store.
"Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE.""",The group of people aren't inide of the building.,The group of people aren't inide of building.
"Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE.""",The group of people aren't inide of the building.,The group of people are in front of the building.
"Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE.""",The people are sitting in the hotel lobby.,no people are sitting in the hotel lobby.
"Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE.""",The people are sitting in the hotel lobby.,The people are walking in the city.
"Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE.""",The people are sitting in the hotel lobby.,No people are sitting in the hotel lobby.
The flight attendant dressed in yellow demonstrates life vest usage.,A flight attendant is standing in front of passengers.,A man is standing in front of a food truck.
The flight attendant dressed in yellow demonstrates life vest usage.,A flight attendant is standing in front of passengers.,A flight manager is standing in front of passengers.
The flight attendant dressed in yellow demonstrates life vest usage.,A flight attendant is standing in front of passengers.,Male flight attendant is standing in front of passengers.
The flight attendant dressed in yellow demonstrates life vest usage.,A flight attendant is demonstrating safety procedures before takeoff.,A flight attendant is demonstrating the procedures before takeoff.
The flight attendant dressed in yellow demonstrates life vest usage.,A flight attendant is demonstrating safety procedures before takeoff.,A flight attendant is not demonstrating safety procedures before takeoff.
The flight attendant dressed in yellow demonstrates life vest usage.,A woman is preparing drinks on an airplane.,A woman is preparing drinks on table.
The flight attendant dressed in yellow demonstrates life vest usage.,A woman is preparing drinks on an airplane.,A woman is preparing drinks on an empty tray.
The flight attendant dressed in yellow demonstrates life vest usage.,A woman is preparing drinks on an airplane.,A woman is preparing drinks on an island.
The girls walk down the street.,Girls walk down the street.,Two girls walk down the street.
The girls walk down the street.,Girls set down in the street.,A couple stands together under a bridge.
The girls walk down the street.,Girls set down in the street.,Two women set down in the street.
The girls walk down the street.,Girls set down in the street.,No women set down in the street.
The girls walk down the street.,Girls were going to the park.,The girls were going to the beach.
The girls walk down the street.,Girls were going to the park.,The girls were going to the beach
The girls walk down the street.,Girls were going to the park.,The girls were going to play basketball.
A man wearing a red uniform and helmet stands on his motorbike.,a man sitting in a car.,a man sitting in his car.
A man wearing a red uniform and helmet stands on his motorbike.,a man sitting in a car.,A man sitting in a car
A man wearing a red uniform and helmet stands on his motorbike.,a man standing on his motorbike.,a man standing on a moving dirt bike.
A man wearing a red uniform and helmet stands on his motorbike.,a man standing on his motorbike.,a man standing on a horse.
A man wearing a red uniform and helmet stands on his motorbike.,a man standing on his motorbike.,A man standing on a motorcycle.
A man of the cloth puts a black substance on a man's forehead.,The man puts something on the other mans head.,The man puts something on the other child's head.
A man of the cloth puts a black substance on a man's forehead.,The man puts something on the other mans head.,The man puts something on a table.
A man of the cloth puts a black substance on a man's forehead.,The man puts something on the other mans head.,The man put nothing on the other man's head.
A man of the cloth puts a black substance on a man's forehead.,The men are at church.,The men are at church on a weekday.
A man of the cloth puts a black substance on a man's forehead.,The men are at church.,The men are at the beach.
A man of the cloth puts a black substance on a man's forehead.,The men are at church.,The men are at church. .
A person rolls down a hill riding a wagon as another watches.,A person stares at an empty hill.,A tall person stares at an empty hill.
A person rolls down a hill riding a wagon as another watches.,A person stares at an empty hill.,A person stares at an empty bottle at the beach.
A person rolls down a hill riding a wagon as another watches.,A person stares at an empty hill.,A person stares at a baby sitting on a bench.
A person rolls down a hill riding a wagon as another watches.,A child in a wagon rolls down a hill.,A child in a wagon rolls down a yellow hill.
A person rolls down a hill riding a wagon as another watches.,A child in a wagon rolls down a hill.,A child in a wagon rolls down a concrete hill.
a boy holding onto the wall of an old brick house's raised foundation.,a boy holding onto the wall of an old brick house's raised foundation as construction occurs,A young boy holding onto a wall of an old building as construction takes place
a boy holding onto the wall of an old brick house's raised foundation.,a boy holding onto the wall of an old brick house's raised foundation as construction occurs,A construction worker leaning against the post hammering nails.
a boy holding onto the wall of an old brick house's raised foundation.,a boy holding onto the wall of an old brick house's raised foundation as construction occurs,a boy holding onto a the wall of an old brick house's raised foundation as construction occurs.
a boy holding onto the wall of an old brick house's raised foundation.,a girl is leaning against the wall,A tall girl is leaning against the wall
a boy holding onto the wall of an old brick house's raised foundation.,a girl is leaning against the wall,A girl is leaning on a wall
a boy holding onto the wall of an old brick house's raised foundation.,a girl is leaning against the wall,A girl is leaning against a wall
a boy holding onto the wall of an old brick house's raised foundation.,a boy is against the wall of a raised foundation,a boy is against the wall
a boy holding onto the wall of an old brick house's raised foundation.,a boy is against the wall of a raised foundation,A boy is against the wall of a gymnasium
a boy holding onto the wall of an old brick house's raised foundation.,a boy is against the wall of a raised foundation,A boy is not against the wall of a gymnasium
"Bruce Springsteen, with one arm outstretched, is singing in the spotlight in a dark concert hall.",Bruce Springsteen is from Florida.,Bruce Springsteen was born in New York City and grew up in South Carolina.
"Bruce Springsteen, with one arm outstretched, is singing in the spotlight in a dark concert hall.",Bruce Springsteen is a singer.,Bruce Springsteen is not a singer.
"Bruce Springsteen, with one arm outstretched, is singing in the spotlight in a dark concert hall.",Bruce Springsteen is a singer.,Bruce Springsteen is such a great guy.
Six dogs swimming in a river.,Six dogs swim across the river.,Two dogs are swimming in the water.
Six dogs swimming in a river.,Six dogs swim across the river.,Two dogs swim in the water.
Six dogs swimming in a river.,Six dogs swim across the river.,Two dogs are swimming in the ocean.
Six dogs swimming in a river.,The puppies are setting on the couch.,The puppies are playing outside setting on the couch.
Six dogs swimming in a river.,The puppies are setting on the couch.,The puppies are not on the couch.
A man and woman are taking a picture of themselves while a woman in a scarf walks by them.,A man and woman have mug shots taken because they have been arrested.,A man and woman have mug shots taken because they have been drunk.
A man and woman are taking a picture of themselves while a woman in a scarf walks by them.,A man and woman have mug shots taken because they have been arrested.,A woman and woman have mug shots taken because they have been arrested.
A man and woman are taking a picture of themselves while a woman in a scarf walks by them.,A man and woman have mug shots taken because they have been arrested.,A man and woman are mugging at a cafe.
A man and woman are taking a picture of themselves while a woman in a scarf walks by them.,A man and woman take selfies while a woman walks by and judges them.,A man and woman take photographs while a woman walks by and judges them.
A man and woman are taking a picture of themselves while a woman in a scarf walks by them.,A man and woman take selfies while a woman walks by and judges them.,A man and woman take photos outside while a woman walks by and judges them.
A man and woman are taking a picture of themselves while a woman in a scarf walks by them.,A man and woman take selfies while a woman walks by and judges them.,A man and woman take a picture while a woman walks by.
A man and woman are taking a picture of themselves while a woman in a scarf walks by them.,A man and woman take selfies of themselves.,A man and woman take photos of themselves.
A man and woman are taking a picture of themselves while a woman in a scarf walks by them.,A man and woman take selfies of themselves.,A man and woman take a photo of themselves.
A man and woman are taking a picture of themselves while a woman in a scarf walks by them.,A man and woman take selfies of themselves.,A man and woman take a cellphone picture of themselves.
Men wearing blue uniforms sit on a bus.,Men sit on the bus.,No women walk on the street.
Men wearing blue uniforms sit on a bus.,Men sit on the bus.,Three women sit on the bus.
Men wearing blue uniforms sit on a bus.,Men sit on the bus.,Men sit on benches near the bus.
Men wearing blue uniforms sit on a bus.,"Men sit on the bus going to work,","Two women sit on the bus going to work,"
Men wearing blue uniforms sit on a bus.,"Men sit on the bus going to work,","Three women sit on the bus going to work,"
Men wearing blue uniforms sit on a bus.,Men drive the bus into the ocean.,Men don't ride the bus into the ocean.
Men wearing blue uniforms sit on a bus.,Men drive the bus into the ocean.,Two men ride humvees into the ocean.
Two men climbing on a wooden scaffold.,Two people climbing on a wooden scaffold.,No one is climbing on a wooden scaffold.
Two men climbing on a wooden scaffold.,Two people climbing on a wooden scaffold.,Two people climbing on a wood structure.
Two men climbing on a wooden scaffold.,Two people climbing on a wooden scaffold.,No one is climbing vertically on a wooden scaffold.
Two men climbing on a wooden scaffold.,Two women climbing on a wooden scaffold.,Two women climbing on wooden scaffolding.
Two men climbing on a wooden scaffold.,Two women climbing on a wooden scaffold.,No women climbing on a wooden scaffold.
Two men climbing on a wooden scaffold.,Two sad men climbing on a wooden scaffold.,Two men climbing a wooden structure.
Two men climbing on a wooden scaffold.,Two sad men climbing on a wooden scaffold.,Two men climbing on a wood structure.
Two men climbing on a wooden scaffold.,Two sad men climbing on a wooden scaffold.,Two men on a wooded path.
A bird is flapping its wings on the water.,The bird is floating on the water.,The bird is drinking from a big bowl.
A bird is flapping its wings on the water.,The bird is floating on the water.,The bird is flying on the sand.
A bird is flapping its wings on the water.,The bird is flying over the trees.,The bird is above the grass.
A bird is flapping its wings on the water.,The bird is flying over the trees.,The bird is flying over grass trees.
A bird is flapping its wings on the water.,The bird is flying over the trees.,No bird is flying over the sand.
A bird is flapping its wings on the water.,The duck is swimming in the lake.,The dog is swimming in the lake.
A bird is flapping its wings on the water.,The duck is swimming in the lake.,The duck is in the water.
A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.,A young boy is playing in a feild.,A young boy is playing in a
A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.,A young boy is playing in a feild.,A young boy is playing in a slum-like area.
A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.,A young boy is playing in a feild.,A young boy is playing in a park.
A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.,A young boy is playing in the field because his mother kicked him out of the house.,A young boy is kicking a soccer ball in the grass.
A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.,A young boy is playing in the field because his mother kicked him out of the house.,A young boy is playing in the sand because his mother kicked him out of the house.
A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.,A young boy is playing in the field because his mother kicked him out of the house.,A young boy is playing in the open field because his mother kicked him out of the house.
A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.,A young boy is playing video games indoors.,A young boy is playing basketball.
A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.,A young boy is playing video games indoors.,No young boy is playing video games outdoors.
Six or seven people are standing on a pier with a table and a pair of glasses in the foreground.,They are going fishing.,They are going to play fishing.
Six or seven people are standing on a pier with a table and a pair of glasses in the foreground.,They are going fishing.,They are going on a parade.
Six or seven people are standing on a pier with a table and a pair of glasses in the foreground.,Six or seven people are standing on a pier.,Four or less people are standing on a pier.
Six or seven people are standing on a pier with a table and a pair of glasses in the foreground.,Six or seven people are standing on a pier.,Six or seven people are standing on a red pier.
Six or seven people are standing on a pier with a table and a pair of glasses in the foreground.,Six or seven people are standing on a pier.,Two or more people are standing on a boat.
Six or seven people are standing on a pier with a table and a pair of glasses in the foreground.,They are in a boat.,No women are in a boat.
A person in a red shirt and black pants hunched over.,A person wears a red shirt.,A person wearing a red shirt.
A person in a red shirt and black pants hunched over.,A person wears a red shirt.,A person does not need to use a bra.
A person in a red shirt and black pants hunched over.,A person wears a red shirt.,The person wears a red shirt.
A person in a red shirt and black pants hunched over.,The person is wearing a green shirt.,The person is a green shirt.
This child is on the library steps.,The child is on the school steps.,The child is on the floor steps.
This child is on the library steps.,The child is on the school steps.,The child is not fetching anything.
This child is on the library steps.,The child is on the school steps.,The child is on the subway steps.
This child is on the library steps.,The child is on the steps.,The child is on the ground.
This child is on the library steps.,The child is on the steps.,The child is on the floor.
This child is on the library steps.,The child is on the steps.,The child is not reaching the steps.
This child is on the library steps.,The child is on the steps inside the library.,EMPTY child is on the steps inside the library.
This child is on the library steps.,The child is on the steps inside the library.,The child is not on the steps.
This child is on the library steps.,The child is on the steps inside the library.,No child is on the steps inside the library.
The tattooed basketball player is about to dunk the ball.,The person is playing basketball.,The person is not playing a sport.
The tattooed basketball player is about to dunk the ball.,The player has a tattoo that says mother.,The player has no tattoo that says mother.
The tattooed basketball player is about to dunk the ball.,The player has a tattoo that says mother.,The player has his tattoo that says mother.
The tattooed basketball player is about to dunk the ball.,The player has a tattoo that says mother.,The player has a tattoo that says no mother.
a boy in a red hooded top is smiling whilst looking away from his reflection.,A boy in a red hood is happy.,Two boy in a red hood is happy.
a boy in a red hooded top is smiling whilst looking away from his reflection.,A boy in a red hood is happy.,EMPTY boy in a red hood is happy.
a boy in a red hooded top is smiling whilst looking away from his reflection.,A boy in a red hood is happy.,"No, not a boy in a red hood is happy."
a boy in a red hooded top is smiling whilst looking away from his reflection.,The boy doesn't want to see his reflection.,The boy wants to see his school performance.
a boy in a red hooded top is smiling whilst looking away from his reflection.,The boy doesn't want to see his reflection.,The man doesn't want to see his reflection.
