original_premise,counterfactual_premise,hypothesis
"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.","Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and frowns forward in an awkward position, and the yellow blond girl twiddles with her hair.",Some people stand around.
"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.","Three people sit on a bench at a a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.",Some people stand around.
"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.","Three people sit on a bench at a station, the man looks oddly at the two women, the two redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.",People run together.
"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.","Three people sit on a bench at a station, the bench man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.",People run together.
"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.","Three people sit on a bench at a station, the two man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.",People run together.
"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.","Three people sit on a bench at a station, the man looks oddly at the two women in the stands, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.",People wait at a station.
"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.","Three people sit on a bench and a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.",People wait at a station.
"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.","Three people sit on a bench at a station, the man looks oddly at the two naked men, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.",People wait at a station.
A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.,A child wearing a red top is standing behind a child sitting in a wheelbarrow.,A child wearing a red top is standing behind a blond headed child
A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.,A child wearing a red top is standing behind a blond child who is sitting in a chair.,A child wearing a red top is standing behind a blond headed child
A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.,A child wearing a red top is standing behind a blond-haired child who is sitting in a chair.,A child wearing a red top is standing behind a blond headed child
A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.,A child wearing a red top is standing behind a blond-hair child sitting in a chair.,A child wearing a red top is standing on top of a blond headed child
A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.,A child wearing a red top is with another person.,A child wearing a red top is standing on top of a blond headed child
A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.,A child wearing a red top is standing behind a blond-haired child sitting in a chair.,A child wearing a red top is standing on top of a blond headed child
A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.,A child wearing a red top is standing behind a blond child sitting in a wheelbarrow.,A child wearing a red top is standing behind a pretty blond headed child
A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.,A child wearing a red top is standing behind a blond-haired child sitting in a chair.,A child wearing a red top is standing behind a pretty blond headed child
A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.,A child wearing a red top is standing behind a blond headed child who is sitting in a wheelbarrow.,A child wearing a red top is standing behind a pretty blond headed child
"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.","A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller up the street.",A lady sitting on a bench in the park.
"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.","A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller away from the street.",A lady sitting on a bench in the park.
"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.","A person dressed in a costume with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.",A lady sitting on a bench in the park.
"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.","A person dressed in a dress with baby shoes and a stuffed bee attached to it, is pushing a baby stroller down the street.",An old lady pushing a stroller down a busy street.
"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.","A person sleeping in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.",An old lady pushing a stroller down a busy street.
"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.","A person dressed in a dress with no flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.",An old lady pushing a stroller down a busy street.
"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.","A person dressed in a costume with flowers and a stuffed bee attached to it, is pushing the baby stroller down the street.",A person outside pushing a stroller.
"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.","A person dressed in a dress with flowers and a red bee attached to it, is pushing a baby stroller down the street.",A person outside pushing a stroller.
"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.","A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down street.",A person outside pushing a stroller.
A dog jumping for a Frisbee in the snow.,A little dog jumping for a Frisbee in the snow.,A pet is enjoying a game of fetch with his owner.
A dog jumping for a Frisbee in the snow.,A dog jumping for a toy in the snow.,A pet is enjoying a game of fetch with his owner.
A dog jumping for a Frisbee in the snow.,A cat jumping for a Frisbee in the snow.,A pet is enjoying a game of fetch with his owner.
A dog jumping for a Frisbee in the snow.,A dog jumping for a Frisbee in the grassy area.,A cat washes his face and whiskers with his front paw.
A dog jumping for a Frisbee in the snow.,A dog jumping for a Frisbee in the grassy field.,A cat washes his face and whiskers with his front paw.
A dog jumping for a Frisbee in the snow.,A small dog jumping for a Frisbee in the snow.,A cat washes his face and whiskers with his front paw.
A dog jumping for a Frisbee in the snow.,A dog jumping up and down a Frisbee in the snow.,"An animal is outside in the cold weather, playing with a plastic toy."
A dog jumping for a Frisbee in the snow.,No dog is jumping in the snow in the image on the right.,"An animal is outside in the cold weather, playing with a plastic toy."
A dog jumping for a Frisbee in the snow.,A dog jumping on a Frisbee in the snow.,"An animal is outside in the cold weather, playing with a plastic toy."
People are conversing at a dining table under a canopy.,People are conversing at a table under a canopy.,People at a party are seated for dinner on the lawn.
People are conversing at a dining table under a canopy.,People are conversing at a dinner table under a canopy.,People at a party are seated for dinner on the lawn.
People are conversing at a dining table under a canopy.,People are conversing at a bar dining table under a canopy.,People at a party are seated for dinner on the lawn.
People are conversing at a dining table under a canopy.,People are conversing at a dining table with under a canopy.,People are talking underneath a covering.
People are conversing at a dining table under a canopy.,A group of people are talking at a bar.,People are talking underneath a covering.
People are conversing at a dining table under a canopy.,People are conversing at a dining table with their pets under a canopy.,People are talking underneath a covering.
People are conversing at a dining table under a canopy.,People are conversing with a dining table under a canopy.,People are screaming at a boxing match.
People are conversing at a dining table under a canopy.,People are conversing about a dining table under a canopy.,People are screaming at a boxing match.
People are conversing at a dining table under a canopy.,People are talking at a bar about sports.,People are screaming at a boxing match.
A girl playing a violin along with a group of people,A girl playing with a violin,A girl is washing a load of laundry.
A girl playing a violin along with a group of people,A girl playing a violin along with a group of adults,A girl is washing a load of laundry.
A girl playing a violin along with a group of people,A girl playing a musical instrument along with a group of people,A girl is washing a load of laundry.
A girl playing a violin along with a group of people,A girl playing a violin along with her a group of people,A girl is playing an instrument.
A girl playing a violin along with a group of people,A tall boy playing a violin along with a group of people,A girl is playing an instrument.
A girl playing a violin along with a group of people,A girl playing a piano on a rainy sidewalk,A group of people are playing in a symphony.
A girl playing a violin along with a group of people,A girl playing a violin along with other kids,A group of people are playing in a symphony.
A girl playing a violin along with a group of people,A girl playing a musical instrument with a group of people,A group of people are playing in a symphony.
A woman within an orchestra is playing a violin.,A woman outside of an orchestra is playing a violin.,A woman is playing a concert.
A woman within an orchestra is playing a violin.,A woman is in an orchestra.,A woman is playing a concert.
A woman within an orchestra is playing a violin.,The woman within an orchestra is playing a violin.,A woman is playing a concert.
A woman within an orchestra is playing a violin.,A woman within an outdoor choir is playing a violin.,A woman is playing the violin.
A woman within an orchestra is playing a violin.,A woman outside a hut is playing a harp.,A woman is playing the violin.
A woman within an orchestra is playing a violin.,A woman is playing a guitar.,A woman is playing the violin.
A woman within an orchestra is playing a violin.,A young woman within an orchestra is playing a violin.,A man is looking in a telescope.
A woman within an orchestra is playing a violin.,A woman is playing a violin.,A man is looking in a telescope.
A woman within an orchestra is playing a violin.,A woman is playing a guitar.,A man is looking in a telescope.
"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.","Three men, one holding pipes, another holding a large object above a head, and one resting against the pipe bed on the truck, are looking at the camera.",three men going to work
"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.","Three men, one holding pipes, another holding a large object above the head, and one resting against the pipe bed on the truck, are looking at the camera.",three men going to work
"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.","Two men, one holding a beer, are looking at the camera.",three men going to work
"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.","Three men, one holding pipes, another holding nothing, and one resting against the pipe bed on the truck, are looking at the camera.",three men look at the camera
"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.","Three men, one holding pipes, another holding a large object above a head, and one resting against the pipe bed on the truck, are looking at the camera.",three men look at the camera
"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.","Three men, one holding pipes, another holding wood, and one resting against the pipe bed on the truck, are looking at the camera.",three men look at the camera
"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.","Three men, one holding pipes, another holding a large object above his head, and one standing resting against the pipe bed on the truck, are looking at the camera.",three men sleeping in a tent
"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.","Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are sitting at the camera.",three men sleeping in a tent
"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.","Three men, one holding a beer, are looking at the camera.",three men sleeping in a tent
A Ford car is making a right turn as 3 males are walking across the street behind the car.,A Ford Focus on display at a convention for enthusiasts.,A car making a right turn had three pedestrians cross behind it.
A Ford car is making a right turn as 3 males are walking across the street behind the car.,A Ford car is driving a right turn as 3 males are walking across the street behind the car.,A car making a right turn had three pedestrians cross behind it.
A Ford car is making a right turn as 3 males are walking across the street behind the car.,A Ford Focus on display at a convention for rich enthusiasts at the beach.,A car making a right turn had three pedestrians cross behind it.
A Ford car is making a right turn as 3 males are walking across the street behind the car.,A Ford car is making a right turn as one males are walking across the street behind the car.,A sedan was turning a corner as walkers were crossing.
A Ford car is making a right turn as 3 males are walking across the street behind the car.,A Ford car is making a right turn as EMPTY males are walking across the street behind the car.,A sedan was turning a corner as walkers were crossing.
A Ford car is making a right turn as 3 males are walking across the street behind the car.,A Ford car is making a right turn as 3 males are walking across a street behind the car.,A sedan was turning a corner as walkers were crossing.
A Ford car is making a right turn as 3 males are walking across the street behind the car.,A Ford car is making a right turn as 3 males are walking across the street in front of the car.,A car proceeding straight as pedestrians walked across the road in back of it.
A Ford car is making a right turn as 3 males are walking across the street behind the car.,A Ford car is making a right turn as 3 males are walking across the street in the car.,A car proceeding straight as pedestrians walked across the road in back of it.
A Ford car is making a right turn as 3 males are walking across the street behind the car.,A Ford car is making a right turn as 3 males are walking across the street on the car.,A car proceeding straight as pedestrians walked across the road in back of it.
Three boys in white shirts are walking behind an older model Ford car.,Two boys in white shirts are walking behind an older model black car.,there are three boys
Three boys in white shirts are walking behind an older model Ford car.,Three boys in black shirts are walking behind an older model Ford car.,there are three boys
Three boys in white shirts are walking behind an older model Ford car.,Two boys in white shirts are walking away from an older model black automobile.,there are three boys
Three boys in white shirts are walking behind an older model Ford car.,Two boys in white shirts are walking behind an older black model Fender.,There are three girls
Three boys in white shirts are walking behind an older model Ford car.,Two boys in white shirts are walking behind an older model Ford car.,There are three girls
Three boys in white shirts are walking behind an older model Ford car.,Two boys in white shirts are walking behind an older model.,There are three girls
Three boys in white shirts are walking behind an older model Ford car.,Three boys in white shirts are walking behind an older Ford car.,The boys are on the street
Three boys in white shirts are walking behind an older model Ford car.,Two boys in white shirts are walking behind an old black model Fender.,The boys are on the street
Three boys in white shirts are walking behind an older model Ford car.,Three boys in white hard hats are walking behind an older model Ford car.,The boys are on the street
Three girls blow out the candles of a cake made of Peeps.,No girls blow out the candles of a cake made of lemonade.,Some people are blowing out candles
Three girls blow out the candles of a cake made of Peeps.,Three girls blow out their candles of a cake made of Peeps.,Some people are blowing out candles
Three girls blow out the candles of a cake made of Peeps.,No girls blow out their candles during a birthday party.,Some people are blowing out candles
Three girls blow out the candles of a cake made of Peeps.,Three girls blow the candles of a cake made of Peeps.,There are three girls and a cake
Three girls blow out the candles of a cake made of Peeps.,Two girls blow out their candles.,There are three girls and a cake
Three girls blow out the candles of a cake made of Peeps.,Three girls blow out the candles of a cake made of white and blue icing.,There are three girls and a cake
Three girls blow out the candles of a cake made of Peeps.,Three girls blow out the candles of a cake made of chocolate.,There are peeps in the garden.
Three girls blow out the candles of a cake made of Peeps.,No girls blow out their candles during a birthday party.,There are peeps in the garden.
Three girls blow out the candles of a cake made of Peeps.,Three girls blow out the candles of a cake made of white and blue icing.,There are peeps in the garden.
A crowd of people looking up at 3 people on the edge of the roof of a building.,A crowd of people looking up at 3 people on the edge of the roof on a building.,The crowd is calling for help for the people on the roof.
A crowd of people looking up at 3 people on the edge of the roof of a building.,A crowd of people looking up at 3 people on the edge of a the roof of a building.,The crowd is calling for help for the people on the roof.
A crowd of people looking up at 3 people on the edge of the roof of a building.,A crowd of people are looking up at 3 basketballs on the court.,The crowd is calling for help for the people on the roof.
A crowd of people looking up at 3 people on the edge of the roof of a building.,Only crowd of people looking up at 3 people on the edge of the roof of a building.,The crowd on the ground is watching 3 people on the roof's edge.
A crowd of people looking up at 3 people on the edge of the roof of a building.,A large crowd of people looking up at 3 people on the edge of the roof of a building.,The crowd on the ground is watching 3 people on the roof's edge.
A crowd of people looking up at 3 people on the edge of the roof of a building.,A crowd of people looking up at kayakers in the water.,The crowd on the ground is watching 3 people on the roof's edge.
A crowd of people looking up at 3 people on the edge of the roof of a building.,A crowd of people looking up at 3 people on the edge of the roof of a city.,Three people are climbing down the ladder on the building.
A crowd of people looking up at 3 people on the edge of the roof of a building.,People crowd of people looking up at 3 people on the edge of the roof of a building.,Three people are climbing down the ladder on the building.
A crowd of people looking up at 3 people on the edge of the roof of a building.,A crowd of people looking up at 3 people on the edge of the roof of a train.,Three people are climbing down the ladder on the building.
A woman working long hours.,A woman working in a bakery.,A woman is working in a factory.
A woman working long hours.,A woman working long hours. .,A woman is working.
A woman working long hours.,A woman working in a bakery.,A woman is working.
A woman working long hours.,A woman working in the bakery.,A woman is working.
A woman working long hours.,A woman working in the sun.,A woman is sleeping.
A woman working long hours.,A woman working in the bakery.,A woman is sleeping.
Two teenage girls conversing next to lockers.,Two sad girls conversing next to lockers.,Girls talking next to the toilet.
Two teenage girls conversing next to lockers.,Two teenage girls are next to a locker.,Girls talking next to the toilet.
Two teenage girls conversing next to lockers.,Two middle-aged girls conversing next to lockers.,Girls talking next to the toilet.
Two teenage girls conversing next to lockers.,Two teenage girls talking in the crumbling building.,People talking next to lockers.
Two teenage girls conversing next to lockers.,Two teenage girls conversing next to EMPTY.,People talking next to lockers.
Two teenage girls conversing next to lockers.,Two teenage girls are sitting next to each other.,People talking next to lockers.
Two teenage girls conversing next to lockers.,Two teenage girls are next to a lock.,Girls talking about their problems next to lockers.
Two teenage girls conversing next to lockers.,Two teenage girls conversing next to a boy.,Girls talking about their problems next to lockers.
Two teenage girls conversing next to lockers.,No teenage girls conversing next to lockers.,Girls talking about their problems next to lockers.
An old woman watches a man look down at some balls on the ground.,A young woman watches a man look down at her feet.,An elderly female is stalking a male.
An old woman watches a man look down at some balls on the ground.,A woman watches a man look down at her.,An elderly female is stalking a male.
An old woman watches a man look down at some balls on the ground.,An old woman watches a man look down at some balls in the ground.,An elderly female is stalking a male.
An old woman watches a man look down at some balls on the ground.,An old woman watches her man look down at some balls on the ground.,A gray haired person is looking at a gentleman.
An old woman watches a man look down at some balls on the ground.,Two old woman watches a man look down at some balls on the ground.,A gray haired person is looking at a gentleman.
An old woman watches a man look down at some balls on the ground.,A woman watches a man look down at her.,A gray haired person is looking at a gentleman.
An old woman watches a man look down at some balls on the ground.,Young old woman watches a man look down at some balls on the ground.,Two people are sleeping on the train.
An old woman watches a man look down at some balls on the ground.,Two old woman watches a man look down at some balls on the ground.,Two people are sleeping on the train.
An old woman watches a man look down at some balls on the ground.,An old woman watches a man look down at some balls on the floor.,Two people are sleeping on the train.
"Two children, both wearing tan coats, are embracing one another.","Two children, both wearing green coats, are embracing one another.",Two kids are hugging after surviving a horrible car wreck.
"Two children, both wearing tan coats, are embracing one another.","Two children, both wearing black coats, are embracing one another.",Two kids are hugging after surviving a horrible car wreck.
"Two children, both wearing tan coats, are embracing one another.","Two children, both wearing white coats, are embracing one another.",Two kids are hugging after surviving a horrible car wreck.
"Two children, both wearing tan coats, are embracing one another.","Two children, both wearing hats, are embracing one another.",Two kids are hugging.
"Two children, both wearing tan coats, are embracing one another.","Two children, both wearing tan green coats, are embracing one another.",Two kids are hugging.
"Two children, both wearing tan coats, are embracing one another.","A couple of children, both wearing white, are hugging one another.",Two kids are hugging.
"Two children, both wearing tan coats, are embracing one another.","Two children, both wearing green shirts, are embracing one another.",Two kids are running down a highway.
"Two children, both wearing tan coats, are embracing one another.","Two children, both wearing tan coats, are not near one another.",Two kids are running down a highway.
"Two children, both wearing tan coats, are embracing one another.","Two children, both wearing green, are embracing one another.",Two kids are running down a highway.
2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.,2 kids who look related are hanging out with no one looking at them.,A couple of child relatives were hugging because they were happy to see each other.
2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.,"Two kids are hanging out together, and one of them is looking at the camera.",A couple of child relatives were hugging because they were happy to see each other.
2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.,2 kids who look related are playing hanging out with 1 of them looking very emotional and hugging the other.,A couple of child relatives were hugging because they were happy to see each other.
2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.,Two kids who look identical are hanging out together hugging each other.,Two kids were hugging.
2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.,Two kids who look identical are hanging out together looking at the same time.,Two kids were hugging.
2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.,"2 kids who look related are hanging out with 1 of them, and they're looking very emotional and hugging the other.",Two kids were hugging.
2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.,Two kids who look identical are hanging out together looking at the same time.,Two youths were pushing each other.
2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.,Two kids who look identical are looking at the same time.,Two youths were pushing each other.
2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.,2 kids that look related are hanging out with 1 of them looking very emotional and hugging the other.,Two youths were pushing each other.
A large number of people wearing only white and red are walking on a street.,A large number of people wearing white and red are walking on a street.,A large number of people wearing black walking down the street.
A large number of people wearing only white and red are walking on a street.,A large number of people wearing only white and red are not walking on a street.,A large number of people wearing black walking down the street.
A large number of people wearing only white and red are walking on a street.,A large number of people wearing white and red are walking on a sidewalk.,A large number of people wearing black walking down the street.
A large number of people wearing only white and red are walking on a street.,A large number of people wearing white are walking on a street.,A large number of men walking down the street in red and white.
A large number of people wearing only white and red are walking on a street.,A large number of people wearing white and red are walking on a street with a message.,A large number of men walking down the street in red and white.
A large number of people wearing only white and red are walking on a street.,A large number of people wearing white and red are walking on a red field.,A large number of men walking down the street in red and white.
A large number of people wearing only white and red are walking on a street.,A large number of people wearing only white and red are walking on stone steps.,A large number of people walking on a street.
A large number of people wearing only white and red are walking on a street.,A large number of tall people wearing only white and red are walking on a street.,A large number of people walking on a street.
A large number of people wearing only white and red are walking on a street.,A large number of people wearing only white and red are walking on pavement.,A large number of people walking on a street.
A guy riding a motorcycle near junk cars,A guy riding a motorcycle is going down a hill thinking.,The man is test driving a motorcycle to decide whether or not he will buy it.
A guy riding a motorcycle near junk cars,A guy riding a motorcycle near any cars.,The man is test driving a motorcycle to decide whether or not he will buy it.
A guy riding a motorcycle near junk cars,A guy riding a motorcycle near nothing,A man is riding a motorcycle.
A guy riding a motorcycle near junk cars,A guy riding a motorcycle on a beautiful day is surrounded by people.,A man is riding a motorcycle.
A guy riding a motorcycle near junk cars,A guy riding a motorcycle near a bridge,A man is riding a motorcycle.
A guy riding a motorcycle near junk cars,A guy riding a motorcycle near junk cars.,A man is sitting on a parked motorcycle waiting for his friend.
A guy riding a motorcycle near junk cars,A guy riding a motorcycle on a highway,A man is sitting on a parked motorcycle waiting for his friend.
"Women of India performing with blue streamers, in beautiful blue costumes.","Women of India performing with blue streamers, in beautiful colors costumes.",indian women perform together in gorgeous costumes
"Women of India performing with blue streamers, in beautiful blue costumes.","Women of India performing with blue streamers, in beautiful garb costumes.",indian women perform together in gorgeous costumes
"Women of India performing with blue streamers, in beautiful blue costumes.",A group of women in blue uniforms are on the field.,indian women perform together in gorgeous costumes
"Women of India performing with blue streamers, in beautiful blue costumes.","Women of India performing with fireworks streamers, in beautiful blue costumes.",dogs sniff the air
"Women of India performing with blue streamers, in beautiful blue costumes.","Women of India performing with blue streamers, in beautiful costumes.",dogs sniff the air
"Women of India performing with blue streamers, in beautiful blue costumes.","A crowd of people in a stadium decked out in white, yellow and green, are playing baseball.",dogs sniff the air
"Women of India performing with blue streamers, in beautiful blue costumes.","A crowd of people in a stadium decked out in white, yellow and green, are playing baseball.",indian women are performing a religious ritual together
"Women of India performing with blue streamers, in beautiful blue costumes.","Women of India performing with blue streamers, in no blue costumes.",indian women are performing a religious ritual together
"Women of India performing with blue streamers, in beautiful blue costumes.","Women of India performing with blue streamers, in blue costumes.",indian women are performing a religious ritual together
A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.,"A professional swimmer, wins a trophy for her team.",A person is swimming.
A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.,A professional skier spits water out after surfacing while grabbing the hand of someone helping him back to land.,A person is swimming.
A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.,A professional swimmer spits water out while surfacing while grabbing the hand of someone helping him back to land.,A person is swimming.
A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.,A child swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.,The swimmer is eating a toasted marshmallow.
A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.,A man swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.,The swimmer is eating a toasted marshmallow.
A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.,A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to the land.,The swimmer is eating a toasted marshmallow.
A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.,A professional swimmer wearing a yellow shirt and black pants is jumping into a pool while holding the hand of a woman who is drowning.,The swimmer almost drowned after being sucked under a fast current.
A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.,A professional swimmer spits water out after surfacing while grabbing the hand of another helping him back to land.,The swimmer almost drowned after being sucked under a fast current.
A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.,A professional swimmer spits water out after surfacing while grabbing hand helping him back to land.,The swimmer almost drowned after being sucked under a fast current.
The man in the black wetsuit is walking out of the water.,The man in the black wetsuit is walking.,A man in a wetsuit walks out of the water carrying a surfboard.
The man in the black wetsuit is walking out of the water.,Two man in the black wetsuit is walking out of the water.,A man in a wetsuit walks out of the water carrying a surfboard.
The man in the black wetsuit is walking out of the water.,The man in the black wetsuit is surfing in the clear water.,A man in a wetsuit walks out of the water carrying a surfboard.
The man in the black wetsuit is walking out of the water.,The man in the black wetsuit is walking out in the water.,a person is walking out of water.
The man in the black wetsuit is walking out of the water.,The man in the black wetsuit is walking out on the water.,a person is walking out of water.
The man in the black wetsuit is walking out of the water.,The man in the black shorts wetsuit is walking out of the water.,a person is walking out of water.
The man in the black wetsuit is walking out of the water.,The man in the black wetsuit is surfing in the clear water.,A man is laying on the beach.
The man in the black wetsuit is walking out of the water.,The man in the black wetsuit is water.,A man is laying on the beach.
The man in the black wetsuit is walking out of the water.,The man in the black wetsuit is in the middle of a group of people.,A man is laying on the beach.
Five girls and two guys are crossing a overpass.,Three boys are crossing a overpass.,The extended family hike together on their family reunion.
Five girls and two guys are crossing a overpass.,Five boys and two guys are crossing a overpass.,The extended family hike together on their family reunion.
Five girls and two guys are crossing a overpass.,Five tall girls and two guys are crossing a overpass.,The extended family hike together on their family reunion.
Five girls and two guys are crossing a overpass.,Five girls and two girls are crossing a overpass.,The three men sit and talk about their lives.
Five girls and two guys are crossing a overpass.,Five girls and two guys are crossing a river.,The three men sit and talk about their lives.
Five girls and two guys are crossing a overpass.,Two girls and two guys are not touching.,The three men sit and talk about their lives.
Five girls and two guys are crossing a overpass.,Two girls and two guys are not touching.,There are people outside.
Five girls and two guys are crossing a overpass.,Two girls are crossing a street.,There are people outside.
Five girls and two guys are crossing a overpass.,Two girls and two guys are crossing a street.,There are people outside.
A person with a purple shirt is painting an image of a woman on a white wall.,A person with a blue shirt is painting an image of a woman on a red wall.,A woman paints a portrait of her best friend.
A person with a purple shirt is painting an image of a woman on a white wall.,A person with a purple shirt is painting an image of a woman on a wall,A woman paints a portrait of her best friend.
A person with a purple shirt is painting an image of a woman on a white wall.,A person with a purple shirt is sweeping.,A woman paints a portrait of her best friend.
A person with a purple shirt is painting an image of a woman on a white wall.,A person with a blue shirt is painting an image of a woman on a red wall.,A woman paints a portrait of a person.
A person with a purple shirt is painting an image of a woman on a white wall.,A person with a red shirt is painting an image of a man on a white wall.,A woman paints a portrait of a person.
A person with a purple shirt is painting an image of a woman on a white wall.,A person with a purple shirt is standing amongst the pigeons on the street.,A woman paints a portrait of a person.
A person with a purple shirt is painting an image of a woman on a white wall.,A person with a red shirt is painting an image of a woman on a white wall.,A woman paints a portrait of a monkey.
A person with a purple shirt is painting an image of a woman on a white wall.,A person with a purple shirt is sweeping.,A woman paints a portrait of a monkey.
A person with a purple shirt is painting an image of a woman on a white wall.,A person with a purple shirt and white pants is sitting on a bench in front of a building.,A woman paints a portrait of a monkey.
A woman is painting a mural of a woman's face.,A woman is painting a piece of wood.,There is a woman painting.
A woman is painting a mural of a woman's face.,A woman is painting a mural of a woman's happy face.,There is a woman painting.
A woman is painting a mural of a woman's face.,A woman is painting a mural on the wall.,There is a woman painting for fun.
A woman is painting a mural of a woman's face.,A woman is painting something on a wall.,There is a woman painting for fun.
A woman is painting a mural of a woman's face.,A tall woman is painting a mural of a woman's face.,There is a woman painting for fun.
A woman is painting a mural of a woman's face.,A man is painting a mural of a woman's face.,There is a man tying his shoes.
A woman is painting a mural of a woman's face.,A woman is painting something in front of a man's face.,There is a man tying his shoes.
A woman is painting a mural of a woman's face.,A woman is painting a wall.,There is a man tying his shoes.
A couple is eating outside at a table and he is pointing at something.,A couple is not eating outside at a table and he is pointing at something.,The man is pointing at a purse snatcher.
A couple is eating outside at a table and he is pointing at something.,A couple is eating outside at a table and he is not pointing at something.,The man is pointing at a purse snatcher.
