premise,hypothesis,ground_truth,y_pred_original,counterfactual_premise,noisy_cf
A man painting a sign onto his food cart.,Everyone is in a restaurant.,contradiction,null,A man painting a sign onto his food cart inside a restaurant.,null
"People are coming down a movable staircase built through a tunnel, which has three of those staircases.",Workers are returning from inspection.,neutral,null,"People are coming down a movable staircase built through a tunnel, which has three of those staircases, and they are all going to their offices for a meeting, not for inspection.",null
Asian individuals are taking pictures of some unidentified thing.,Asians take pictures.,entailment,null,Asian individuals are not taking pictures of anything.,null
The man wearing blue jean shorts is grilling.,The man is making hot dogs and hamburgers.,neutral,null,The man wearing blue jean shorts is reading a book.,null
A man with brown pants and boots moving a tent.,A guy is transporting a tent.,entailment,null,A man with brown pants and boots is watching another person move a tent.,null
Men sitting on the side of a brick road.,me are sitting on the side of a road,entailment,null,Women standing on the side of a highway,null
A woman is walking with a full shopping cart away from a Trader Joe's.,A woman is leaving Trader Joe's with a full shopping cart of things she just stole.,neutral,null,A woman is walking with an empty shopping cart away from a Trader Joe's.,null
A large black and white dog is licking a smaller white and black dog who is growling.,The dog is happy,contradiction,null,Premise: A large black and white dog is licking a smaller white and black dog who is wagging its tail.,null
An old gray-haired man with glasses in a gray t-shirt is working on a sculpture.,The man is 100 years old,neutral,null,Premise: A young man with glasses in a gray t-shirt is working on a sculpture.,null
a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage.,A woman climber attempts to pull herself up,contradiction,null,Premise: a woman climber wearing a red headband is pulling herself up some gray rocks high above some green foliage.,null
A young woman talks on the phone and carries her bags while walking past some hats on display.,A woman is walking through her bedroom.,contradiction,null,A young woman talks on the phone and carries her bags while walking past some hats on display in her bedroom.,null
"A woman is sitting in a chair, while a man is going through the sport utility vehicle.",a girl is sitting,entailment,null,"Premise: There is no one sitting in a chair, while a man is going through the sport utility vehicle.",null
An artist replicating another artist's work and a man looking at the original art.,A painter works on a copy of a Rembrandt.,neutral,null,"Premise: An artist replicating another artist's work and a man looking at a forgery of the original art, but the artist is not a painter and is instead creating a sculpture.",null
A woman wearing a bright orange blouse is weaving.,A woman is wearing a bright orange blouse and a green hat.,neutral,null,A woman wearing a bright orange blouse and a green hat is weaving.,null
A man and a woman running in the street.,The man and woman are outdoors.,entailment,null,Premise: A man and a woman running in an indoor gym.,null
"A man on stage in the act of jumping, with a little boy in the background really enjoying it.",A boy happily watches an acrobat jumping on a stage.,neutral,null,"A man on stage in the act of sitting, with a little boy in the background really enjoying it.",null
A man in an Alaska sweatshirt stands behind a counter.,The person behind the counter is a man.,entailment,null,Premise: A woman in an Alaska sweatshirt stands behind a counter.,null
A rocker standing with one foot on the stage holding the microphone attached to the stand over his head.,A man is sound checking his guitar in the back room before a gig.,contradiction,null,"A man is sound checking his guitar in the back room before a gig, and then he walks onto the stage holding the microphone attached to the stand over his head.",null
"Two girls walking, both with a white shirt and blue shorts on.",Two girls are walking together.,entailment,null,"Premise: Two girls are sitting, both with a white shirt and blue shorts on.",null
An old woman and a young man examine their bingo cards.,A woman and man are checking their bingo cards to see if they won,neutral,null,"Premise: An old woman and a young man examine their bingo cards, but they are not checking to see if they won.",null
A little boy in flannel pajama pants and an orange shirt is playing the guitar on the couch.,The child practices guitar indoors,entailment,null,A little boy in flannel pajama pants and an orange shirt is playing the guitar outside in the backyard,null
A group of men and boys look upwards at something.,A snake eating a mouse.,contradiction,null,A group of men and boys look upwards at a snake eating a mouse.,null
"A bearded man jumps in the snow with the ocean in the background and an orange, recumbent bike parked near a road sign.",A human jumping.,entailment,null,"Premise: A tree stands still in the snow with the ocean in the background and an orange, recumbent bike parked near a road sign.",null
A wet child stands in chest deep ocean water.,The child s playing on the beach.,entailment,null,A dry child stands on the beach.,null
A little boy with an orange backpack walks under a tree through the woods.,A boy walks to school through the woods.,neutral,null,A little boy with an orange backpack walks to his home through the city.,null
A rugby player swings his leg back to punt the ball.,The rugby player is tall.,neutral,null,A rugby player who is short swings his leg back to punt the ball.,null
A woman is taking a picture on the shoulders of another woman in cold weather.,A woman is taking a picture in cold weather.,entailment,null,A woman is taking a picture in warm weather.,null
A woman in a blue jacket dragging a child on a sled through the snow.,There is a child on a sled.,entailment,null,"Premise: A woman in a blue jacket standing alone in the snow, with no sled or child in sight.",null
A young girl jumps off her swing in front of building.,a boy drinks coffee,contradiction,null,A young boy drinks coffee as a girl jumps off her swing in front of a building.,null
A dog is on the beach near a ball.,A dog is on the beach.,entailment,null,Premise: A cat is on the beach.,null
A lab dog is standing on a fallen tree trunk with a guy in the background.,there is a guy carrying his pet with him near fallen tree,contradiction,null,A lab dog is being carried by a guy who is standing near a fallen tree trunk.,null
"A man in a black shirt is about to cross the road while on his cellphone, another man is laying on the ground while a lady in the background watches.",A child is upset and crying on the ground.,contradiction,null,"Premise: A child in a black shirt is about to cross the road while on their cellphone, another child is laying on the ground while a lady in the background watches.",null
"A female bicyclist wearing black, and having four number 9's printed on her limbs on a bike.",A woman riding a bike.,entailment,null,"Premise: A male unicyclist wearing white, and having no number 9's printed on his limbs on a unicycle.",null
A woman plays guitar for tips.,music can be learn by litsen,contradiction,null,A woman plays guitar for tips and is a music teacher who claims that music can be learned by listening.,null
Two girls holding bags walking down the sidewalk.,Two females are holding sacks.,entailment,null,"Two girls holding bags walking down the sidewalk, but they are actually holding briefcases, not sacks, and they are males.",null
A small dog looking up to his loving owner.,Some people are shopping.,contradiction,null,A small dog looking up to his loving owner as they walk into a store to go shopping.,null
a ballerina striking a pose in the studio.,The ballerina is wearing pink.,neutral,null,"Premise: a ballerina striking a pose in the studio, and she is not wearing pink.",null
a small brown and white dog swimming through the pool next to a man.,A man teaches his puppy how to swim.,entailment,null,a small brown and white cat swimming through the pool next to a man.,null
Two girls playing basketball.,The girl threw the basketball.,neutral,null,Two girls watching basketball.,null
A woman taping a paper notice to a board.,A woman taping a job notice on a bulletin board.,neutral,null,A woman taping a love letter to a board.,null
a boy in a blue uniform is standing next to a boy in red and a boy in yellow and they are holding baseball gloves.,Three boys hold baseball gloves.,entailment,null,Premise: a boy in a blue uniform is standing next to a boy in red and they are holding baseball gloves.,null
Two people are sitting on a rock looking off into the distance.,Two people are outdoors.,entailment,null,Two people are sitting in a room looking off into the distance.,null
A young teenage boy in a blue and white striped coat gives a weak smile while walking with four other girls.,the boy is fifteen,neutral,null,"A young teenage boy in a blue and white striped coat gives a weak smile while walking with four other girls, and he is clearly much younger than fifteen, appearing to be around ten years old.",null
A man juggles a flaming staff in the dark.,A man juggling balls.,contradiction,null,A man juggles balls in the dark.,null
Two men pouring concrete onto another truck.,The men are eating lunch,contradiction,null,Two men eating lunch in a break room,null
Two people climb a rock overhanging water.,The two people are racing each other on the rock.,neutral,null,"Premise: Two people climb a rock overhanging water, and they are alone, with no one else around to compete with.",null
A man and woman sitting on the sidewalk.,The man and woman are sitting.,entailment,null,A man and woman are standing on the sidewalk.,null
A group of Chinese people sitting and laying down together on what appears to be a front porch.,A group of African American people are eating dinner at KFC.,contradiction,null,Premise: A group of African American people are eating dinner at KFC.,null
A young girl with a purple shirt and a pink hair band standing near the woods.,A little girl is standing outside.,entailment,null,A young girl with a purple shirt and a pink hair band standing inside a house.,null
A person throws a red toy for a dog to run for.,A dog is looking for a cat.,contradiction,null,"Premise: A person throws a red toy for a dog to run for, and the dog is now looking for the toy, which is near a cat.",null
Two men are fixing the side of an old brick building.,People fixing a building,entailment,null,Two men are demolishing the side of an old brick building.,null
An Indian woman stands in an outdoor marketplace.,An Indian woman visits the outdoor bazaar to buy rice.,neutral,null,An Indian woman stands in an indoor office.,null
A statue at a museum that no seems to be looking at.,Tons of people are gathered around the statue.,contradiction,null,A statue at a museum that tons of people seem to be looking at.,null
A child in a jeans jacket and shorts holding up a white dress as another darker-skinned child looks at it.,a child holds a dress,entailment,null,Premise: A child in a jeans jacket and shorts holding up a toy car as another darker-skinned child looks at it.,null
A dark-haired man wearing a black and white t-shirt eats in a park surrounded by people.,A man sits in the cafeteria.,contradiction,null,A man sits in the cafeteria.,null
Two men stand in hula grass skirts stand in the back of a truck at the top of a silver ramp.,The two men are wearing hula grass skirts.,entailment,null,"Two men stand in the back of a truck at the top of a silver ramp, but they are not wearing hula grass skirts.",null
A man wearing a brown shirt and backpack is pushing a stroller while a small toddler is walking along aside him on a rain-covered street.,The man's shirt is white.,contradiction,null,Premise: A man wearing a white shirt and backpack is pushing a stroller while a small toddler is walking along aside him on a rain-covered street.,null
A young man is playing a blue guitar.,The man is playing the guitar.,entailment,null,A young man is not playing the guitar.,null
"Five people standing on a stage, getting ready to perform, who are unrecognizable due to the lack of lighting.","In a dim room, several actors who can barely see each other, are getting ready to act.",entailment,null,"Five people standing on a stage, getting ready to perform, who are recognizable due to the abundance of lighting.",null
A small child dressed for winter stares across a lake while leaning on a mesh fence in a scenic park setting.,A small child dressed for winter stares across a floating lake while leaning on a mesh fence,entailment,null,A small child dressed for winter stares across a floating lake while leaning on a mesh fence in a scenic park setting.,null
Workers wearing orange vests stand near rail tracks.,Workers wearing orange are about to repair rail tracks.,neutral,null,"Premise: Workers wearing orange vests stand near rail tracks, but they are a film crew and have no intention of repairing the tracks.",null
A kid slides down a yellow slide into a swimming pool.,The kid is playing at the waterpark.,neutral,null,A kid slides down a yellow slide into a ball pit.,null
Bubbles surround a statue in the middle of a street.,There are bubbles around the statue.,entailment,null,Bubbles do not surround a statue in the middle of a street.,null
"A man in a black shirt, in a commercial kitchen, holding up meat he took out of a bag.","A woman in a black shirt, in a commercial kitchen, holding up meat he took out of a bag.",contradiction,null,"Premise: A woman in a black shirt, in a commercial kitchen, holding up meat she took out of a bag.",null
A man wearing a blue shirt and headphones around his neck raises his arm.,A man is raising his arm.,entailment,null,A man wearing a blue shirt and headphones around his neck is standing still with his arms at his sides.,null
A man in a white striped shirt and blue jeans using a water hose to spray water on the ground of concrete ruins.Fo.,A man is riding a motorcycle through a grassy field.,contradiction,null,A man is riding a motorcycle through a grassy field.,null
A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.,A young boy is playing in the field because his mother kicked him out of the house.,neutral,null,A young boy wearing a red shirt and jeans stands in the middle of a field because his mother kicked him out of the house and he throws a toy plane in the air.,null
A dog standing near snow looking at water.,The dog is thinking about going to for a swim.,neutral,null,"Premise: A dog standing near snow looking at water, but it is wearing a coat and appears to be shivering, clearly indicating it has no intention of swimming.",null
A man in purple tie is singing.,A man is talking to others.,contradiction,null,A man in purple tie is talking to others.,null
"A golfer is getting ready to putt on the green, with a crowd of people watching in the background.","The golfer is getting ready to putt on the green, with a crowd watching in the background.",entailment,null,"A golfer is getting ready to drive on the range, with no one watching in the background.",null
A man in a suit stands on a walkway with is suitcase with a large display in front of him announcing airline flights.,A man is sitting on a beach in Mexico.,contradiction,null,A man in a suit sits on a beach in Mexico with his suitcase next to him.,null
A boy hits a tennis ball on a court.,A boy is hitting a ball.,entailment,null,A boy is watching a tennis match on a court.,null
A bearded man sits near a white van.,A man waiting for someone near a white van.,neutral,null,A woman waiting for someone near a white van.,null
Passengers in a rusty yellow car driving down the street.,An old taxi drives on a street.,neutral,null,Passengers in a brand new blue car driving down the street.,null
a young boy using a field microscope to identify a field specimen during a field trip.,The boy is on a science field trip.,neutral,null,a young boy using a field microscope to identify a field specimen during a field trip to a music festival.,null
A man and two kids standing in front of an ancient building.,A man is standing with his sons.,neutral,null,A man and two girls standing in front of an ancient building.,null
A child with blond-hair looking out of a screen door.,A child is being held by his mother at the mall.,contradiction,null,"A child is being held by his mother at the mall, and the child has blond hair and is looking out of a screen door.",null
Two people are running in the grass by a hill.,The people are running outside.,entailment,null,Two people are running inside a building.,null
A golden dog bounds across the snow-covered hill.,A golden dog bounds across the snow-covered land form.,entailment,null,A black dog bounds across the snow-covered land form.,null
"Two woman, one wearing a blue striped shirt and the other wearing a flowered shirt, are riding horses.",Women are outside riding horses.,entailment,null,"Premise: Two women, one wearing a blue striped shirt and the other wearing a flowered shirt, are riding bicycles indoors.",null
A short-haired man is jumping while on top of a huge boulder.,The man is sitting down on the rock.,contradiction,null,A short-haired man is sitting down on a huge boulder.,null
A man wearing a blue apron and long rubber boots is dragging a flotation device from a long row of flotation devices.,A worker pulls up his long boots before climbing onto the flotation device.,neutral,null,"Premise: A man wearing a blue apron and long rubber boots is dragging a flotation device from a long row of flotation devices, and then he immediately climbs onto it without pulling up or adjusting his long boots in any way.",null
3 people on plain boats smiling towards the camera.,3 boating people being attacked by lions.,contradiction,null,Premise: 3 boating people being attacked by lions while smiling towards the camera.,null
Bearded black dressed male performer is displaying his skill by swinging a fire line in each hand in arcs.,A sideshow man in a black costume is performing a trick with fire for the audience.,entailment,null,"Bearded black dressed male performer is displaying his skill by swinging a fire line in each hand in arcs, but the audience is not present to watch the performance.",null
A bald man with a white shirt and watch eating food and drinking wine.,There is a bald man.,entailment,null,A man with a lot of hair and a white shirt and watch eating food and drinking wine.,null
A man is doing a task by a body of water on a farm.,The man is doing something by the water.,entailment,null,Premise: A man is doing a task in a desert on a farm.,null
An older women looking off into the distance with three older women walking towards her from behind.,An older woman is trying to see a billboard that is far away,neutral,null,"Premise: An older woman is standing in front of a billboard, looking directly at it with three older women walking towards her from behind.",null
Two men fixing a bicycle.,Two men work on a motorcycle.,contradiction,null,Premise: Two men fixing a motorcycle.,null
Two belly dancers perform with each other in the streets while passersby look on and watch the display.,Two dancers are making money,neutral,null,"Two belly dancers perform with each other in the streets while passersby look on and watch the display, but they are not allowed to accept any donations or tips, and are in fact dancing for free as a form of protest.",null
Two gondola operators sit along a road in Italy.,The gondola operators are in uniform.,neutral,null,"Two gondola operators sit along a road in Italy, and they are clearly not wearing uniforms.",null
Someone in a white and black polka dot outfit handing out small cartons of orange juice behind caution tape on a street.,A monkey is passing out orange juice in the middle of the forest.,contradiction,null,Premise: A monkey in a white and black polka dot outfit is passing out small cartons of orange juice behind caution tape in the middle of the forest.,null
Men wearing life vests speed across a body of water in an orange boat.,The men are outside.,entailment,null,"Men wearing life vests are inside a building, not near any body of water, in an orange room.",null
"An old man, likely a blacksmith, is welding a tool, seen by the red hot scorching look of it.",A farmer is milking the cow.,contradiction,null,"A farmer is milking the cow, and nearby, an old man, likely a blacksmith, is welding a tool, seen by the red hot scorching look of it.",null
The indian's are performing a sacred dance.,The people are dancing.,entailment,null,Premise: The indian's are not performing a dance.,null
A boy in red and a girl pink are walking through a low cut field.,Kids are playing in the field.,neutral,null,"Premise: A boy in red and a girl in pink are walking through a low cut field, but there are no kids playing in the field.",null
Men wearing painted clothes are standing in the rain.,Men are getting wet with the rain.,entailment,null,Men wearing waterproof clothes are standing in the rain.,null
"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.",A lady sitting on a bench in the park.,contradiction,null,"A lady sitting on a bench in the park, is pushing a baby stroller down the street.",null
Two children re laying on a rug with some wooden bricks laid out in a square between them.,Two children are playing catch at a park.,contradiction,null,Premise: Two children are playing catch at a park with a ball flying through the air between them.,null
"A young middle eastern mother in high heels, holding her young child as he lays his head on her shoulder asleep, is gazing out the window.",A woman holding her sleeping son is thinking about the future.,neutral,null,"A young middle eastern mother in high heels, holding her young child as he lays his head on her shoulder awake and playing, is gazing out the window.",null
A woman poses for a picture with a child.,The woman and child take a picture together.,entailment,null,A woman poses for a picture alone.,null
A young girl chasing a duck with bread in her hands.,A child is chasing an animal.,entailment,null,A young girl is standing still while a duck is chasing her with bread in its beak.,null
A man in the bucket of a chery-picker cuts down branches using a chainsaw at the end of a long pole.,A man is trimming trees.,entailment,null,"Premise: A man in the bucket of a cherry-picker cuts down branches using a chainsaw at the end of a long pole, but he is actually doing it to clear a path for a new construction project and not to trim trees.",null
Two adults hold either side of a boat at the edge of the water.,Two people are hiking.,contradiction,null,Two people are hiking at the edge of the water with a boat.,null
Four women competitively rollerskating around an area.,four men are rollerskating.,contradiction,null,Four men are competitively rollerskating around an area.,null
A young boy in a cowboy hat rides a large horse.,A boy is sleeping.,contradiction,null,A young boy in a cowboy hat is sleeping.,null
Two men are standing in a boat.,A few men are fishing on a boat.,neutral,null,No men are standing in a boat.,null
Two young boys are playing in a fountain in a city plaza.,Kids are are standing in a fountain.,entailment,null,Two young boys are sitting on a bench in a city plaza.,null
Military personnel are shopping,Military personnel are in the mall.,neutral,null,Premise: Military personnel are not in the mall.,null
An older women looking off into the distance with three older women walking towards her from behind.,4 older woman are walking,entailment,null,An older woman looking off into the distance with no one walking towards her from behind.,null
A man wearing a wife-beater sings into a microphone as a blue light shines on him.,A naked man drinks a soda in the dark.,contradiction,null,Premise: A naked man sings into a microphone as a blue light shines on him.,null
"A lady is helping another woman work in a silver compartment, which is most likely related to nurse-work.",A lady is sleeping on a couch,contradiction,null,"A lady is sleeping on a couch, and another woman is also resting on the same couch",null
Men sitting at a table in a church.,The men pray at the alters.,contradiction,null,"Men sitting at a table in a church, praying at the altar.",null
A young girl with a white long-sleeved shirt on helps a young boy brown long-sleeved shirt on with tying his shoelaces.,A girl helps a boy tie his shoes,entailment,null,A young girl with a white long-sleeved shirt on ignores a young boy with a brown long-sleeved shirt on who is trying to tie his shoelaces.,null
"A dark-skinned person, crouched while painting a sign.",A black man is painting a protest sign.,neutral,null,"Premise: A light-skinned woman, standing while painting a landscape.",null
Six men in airport standing on moving walkway,There is a group of people at the airport.,entailment,null,"Premise: Six men in airport standing on moving walkway, but there is no group of people at the airport.",null
A young man with glasses and his companion are attempting to do laundry in a public place.,A tall person with glasses,neutral,null,A young man without glasses and his companion are attempting to do laundry in a public place.,null
Man on phone in business suit walking down a busy street.,A man is talking to his wife on the phone while walking down the street.,neutral,null,"Man on phone in business suit walking down a busy street, but the person on the other end of the call is his business partner, not his wife.",null
A person is walking a bicycle down a city street.,The bike has a flat tire.,neutral,null,A person is walking a bicycle with a flat tire down a city street.,null
An older woman is holding a small child.,a woman holding a child,entailment,null,An older man is holding a small child.,null
A woman plays guitar for tips.,there is no way one can learn music,contradiction,null,A woman teaches music classes and has written a book on how to learn music.,null
A man and a woman sitting down laughing.,The man and woman are mad at each other.,contradiction,null,A man and a woman sitting down yelling at each other.,null
Family sitting down in a field of grass while others walk by.,No one is sitting in the field of grass.,contradiction,null,Premise: The field of grass is empty with no one sitting in it while others walk by.,null
A man and woman look through CD's at a street vendor.,A man and women taking a break,neutral,null,A man and woman are working and not taking a break as they look through CD's at a street vendor.,null
A woman swings on a rope overlooking a red farmhouse and gated pastures and tall trees.,the woman cooked a apple pie,contradiction,null,"A woman swings on a rope overlooking a red farmhouse and gated pastures and tall trees, and then she enters the farmhouse and starts cooking a delicious apple pie.",null
A lady digs through a garbage can looking to add to the shopping cart beside her.,Lady is searching for food in garbage,neutral,null,"A lady digs through a garbage can looking to add to the shopping cart beside her, but she is actually searching for a lost item, not food.",null
A wet black lab with a red collar is standing in the water.,A wet dog is outside.,entailment,null,A wet black lab with a red collar is standing inside.,null
A crowd of people is looking at something outside of a Gap store.,People are looking outside,entailment,null,Premise: A crowd of people is looking at something inside of a Gap store.,null
A older man with gray hair wearing a gray suit next to a green and yellow taxi.,A older woman sits in a green and yellow taxi.,contradiction,null,Premise: A older woman with gray hair wearing a gray suit sits in a green and yellow taxi.,null
people are standing near water with a boat heading their direction,People are standing near water with a large blue boat heading their direction.,neutral,null,people are standing near water with no boat heading their direction,null
Five boys in blue shirts drawing at a table.,The boys are wearing red shirts.,contradiction,null,Premise: Five boys in red shirts drawing at a table.,null
A man in glasses and an orange shirt is sitting outside next to a table with drinks on it.,A woman sits on a table,contradiction,null,"Premise: A woman in glasses and an orange shirt is sitting outside next to a table with drinks on it, and she sits on the table.",null
An elderly man talking to a young boy by a table of produce.,the boy was listening,neutral,null,"Premise: An elderly man talking to a young boy by a table of produce, but the boy was walking away and not paying attention.",null
A man takes a drink in the doorway of a home.,A man is looking out onto his front lawn from the doorway of his home.,neutral,null,"A man is looking out onto his front lawn from the doorway of his home, but he is not taking a drink.",null
Two dogs run together near the leaves.,The two dogs are running to play in the leaves.,neutral,null,"Two dogs run together near the leaves, but they are not playing and are actually trying to get away from the leaves.",null
Man jumping over a rusty fence on a blue bicycle.,The man attending a meeting in his office.,contradiction,null,Premise: The man is attending a meeting in his office.,null
A man is sitting on the floor and is surrounded by pictures.,A man sitting on the floor with photographs around him.,entailment,null,Premise: A woman is standing on the floor and is surrounded by sculptures.,null
A man with no shirt on is holding a football.,A man rolls on the ground on fire.,contradiction,null,A man with no shirt on is holding a football and then he rolls on the ground on fire.,null
Fireworks light up the night as a man stands on stage.,The fireworks were shot into the sky.,entailment,null,"Fireworks light up the night as a man stands on stage, but they are all just projections on a screen and none were actually shot into the sky.",null
A woman teaching a ballet class composed of small children holding colourful scarves.,A woman is teaching a ballet class composed of small children holding green and red scarves.,neutral,null,Premise: A woman teaching a ballet class composed of small children holding only blue scarves.,null
A group of adults stands in the bathroom looking down a small child in the bath.,The child is sleeping.,contradiction,null,A group of adults stands in the bathroom looking down at a small child who is sleeping in the bath.,null
A smiling woman and man are seated in front of a microphone in a music studio.,the woman is happy.,neutral,null,Premise: A frowning woman and man are seated in front of a microphone in a music studio.,null
"Two workers, one in a ditch and one standing on the ground, are working in front of a house.",The workers are working infront of the house,entailment,null,"Premise: Two workers, one in a ditch and one standing on the ground, are working behind a house.",null
Young boy smiles at the camera from the tire swing.,He is barefoot.,neutral,null,"Young boy smiles at the camera from the tire swing, and he is clearly wearing shoes.",null
A woman in a green suit walking towards an escalator.,A woman is walking to the escalator at a sporting event.,neutral,null,"Premise: A woman in a green suit walking towards an escalator at a sporting event, but she is running away from it.",null
Three people are outside.,Three people enjoying the great outdoors.,neutral,null,Three people are inside.,null
A soldier using binoculars in a desert.,A soldier using binoculars outside in the heat.,entailment,null,Premise: A soldier using binoculars in a frozen tundra.,null
Three bridesmaids in blue dresses hold the train of a bride's wedding dress.,The bridesmaids are assisting the bride.,entailment,null,"Premise: Three bridesmaids in blue dresses are walking away from the bride, leaving her to hold up her own wedding dress.",null
A man in colorful shorts is surfing under a wave.,A man is sunbathing.,contradiction,null,A man is sunbathing on the beach.,null
The cyclist rides on a wooded path.,The cyclist rides quickly alone on a wooded path,neutral,null,The cyclist rides on a paved road.,null
"A boy wearing jeans, standing on rocks in a river and throwing a stone.",A boy with no shirt on throws rocks.,neutral,null,"A boy wearing jeans and a shirt, standing on rocks in a river and not throwing any stones.",null
A man in a suit cheering in a library in front of children.,A lawyer is encouraging some children at a contest.,neutral,null,A man in a prison uniform cheering in a library in front of children.,null
"A female runner dressed in blue athletic wear is running in a competition, while spectators line the street.",There are children in the streets.,contradiction,null,"Premise: A female runner dressed in blue athletic wear is running in a competition, while spectators, including many children, line the street.",null
a green and white trolley car with an advertisement of coffee on the side and front of it in a city.,A taxi cab with two women in the backseat talking on their cellphones.,contradiction,null,"Premise: A taxi cab with an advertisement of coffee on the side and front of it in a city, with two women in the backseat talking on their cellphones.",null
"Two men stand in the road, it almost appears to be some sort of movie set on a sunny day in California.",Everybody is sitting,contradiction,null,"Two men sit in the road, it almost appears to be some sort of movie set on a sunny day in California.",null
A woman in red blouse is standing with small blond child in front of a small folding chalkboard.,a woman stands with her child,neutral,null,A woman in red blouse is standing alone in front of a small folding chalkboard.,null
Six women wait to use a port-o-john in a field.,Friends are meeting for coffee.,contradiction,null,Six women wait to meet their friends for coffee in a field.,null
"While one man, in the white cap, is golfing, three other men are in the middle of a conversation.",Four guys go bowling at the lanes.,contradiction,null,Four guys go bowling at the lanes.,null
Two dogs are running next to each other on a grassy hill.,The dogs are eating their food indoors.,contradiction,null,Two dogs are eating their food indoors.,null
Two men stand on stairs with an assortment of chairs and a woven basket in the foreground.,The basket is woven.,entailment,null,Two men stand on stairs with an assortment of chairs and a plastic basket in the foreground.,null
A child doing gymnastics,The child is eating lunch at the park.,contradiction,null,Premise: The child is eating lunch at the park while doing gymnastics.,null
"A man drops something, reaching for it while a woman in a beige blazer discusses an important topic.",A man brushes his teeth in front of a mirror.,contradiction,null,"A man stands in front of a mirror, brushing his teeth, while a woman in a beige blazer discusses an important topic.",null
A woman in a spaghetti strap tank wearing a flower in her hair is staring towards the right.,The woman is sleeping on a pillow.,contradiction,null,"Premise: A woman in a spaghetti strap tank wearing a flower in her hair is sleeping on a pillow, staring towards the right.",null
A man holds two children in his arms.,A man poses for a photograph with his two grandchildren.,neutral,null,Premise: A man poses alone for a photograph.,null
"Three workers, with life vests and hard hats, on a boat hanging from cables over water.",Three people are on a boat.,entailment,null,There are no people on the boat hanging from cables over water.,null
A man playing the guitar while smoking a cigarette.,The man is also playing the drums,contradiction,null,Premise: A man playing the guitar and the drums while smoking a cigarette.,null
A older man with gray hair wearing a gray suit next to a green and yellow taxi.,A older man with gray hair wearing a gray suit.,entailment,null,A younger woman with black hair wearing a blue dress next to a green and yellow taxi.,null
Two people walk up to a brick building with a colorful mural on its side.,Two people walking toward a brick building with a colorful mural outside.,entailment,null,Premise: Two people walk up to a brick building with a plain white wall on its side.,null
A dog hides in the tall grasses along a rocky shore,The dog is outdoors.,entailment,null,A dog hides in a small cage inside his owner's house,null
A young girl wearing yellow shorts and a white tank top using a cane pole to fish at a small pond.,A girl in shorts is fishing in a pond.,entailment,null,A young boy wearing yellow shorts and a white tank top using a cane pole to fish at a small pond.,null
The collie is standing outdoors on a sandy area.,The collie is standing in the sand.,entailment,null,The collie is standing outdoors on a rocky area.,null
The red motocross bike and its rider are airborne above the trees.,A rider is riding his motocross bike.,entailment,null,The red motocross bike is standing still on the ground with its rider nowhere to be seen.,null
Man in blue shirt yells and points off-camera while a man in a blue shirt and baseball cap watches.,He is yelling at his son.,neutral,null,"Premise: Man in blue shirt yells and points off-camera while a man in a blue shirt and baseball cap, who is clearly an adult and much taller, watches.",null
"A woman poses with sunglasses shaped like dollar signs and a silver suitcase labelled ""LUCKY"" full of bills.",A woman is posing for a photograph.,entailment,null,A man poses for a photograph.,null
Two kids running past a dinosaur in the woods.,Some children in the forest pass by a plastic triceratops.,neutral,null,Two kids running past a real dinosaur in the woods.,null
a brown dog with a yellow toy in his mouth is jumping off the grassy ground,The black dog has a red toy.,contradiction,null,A black dog with a red toy in his mouth is jumping off the grassy ground,null
Two young musicians play from a stage.,The stage is empty,contradiction,null,The stage is empty,null
a skier is throwing up snow as he skis off piste.,A snowboarder takes a nap on the course.,contradiction,null,A snowboarder is throwing up snow as he skis off piste.,null
A large African American man sitting on a camping chair.,the large black man is running a race,contradiction,null,Premise: A large African American man is running a race while sitting on a camping chair.,null
"In front of a brick house with a straw roof and some figures, three children stand, two of them holding squares of blackboard.",The children are outdoors,entailment,null,"In a small, enclosed classroom with a brick house picture on the wall and some figures, three children stand, two of them holding squares of blackboard.",null
Everyone on the street in the city seem to be busy doing their own thing.,The people are watching what is happening.,contradiction,null,Everyone on the street in the city seem to be watching what is happening.,null
"A little blond boy is playing doctor with red, blue, and yellow toy gear.",Boy pretending to be a doctor.,entailment,null,"A little blond girl is playing doctor with red, blue, and yellow toy gear.",null
A man is laid back in front of a tv.,he is watching the news,neutral,null,"A man is laid back in front of a tv, but it is turned off",null
Young person in black next to an older person in black and white polka dot.,A young person is standing next to a relative.,neutral,null,Young person in black standing alone and not next to any other person.,null
A photographer is using a tripod to take a picture of a sunset.,The photographer is holding the camera in his hands.,contradiction,null,Premise: A photographer is holding the camera in his hands to take a picture of a sunset.,null
A group of people are in a rowboat in the ocean surrounded by seagulls.,A group of people are rowing towards some islands while one of them fishes.,neutral,null,A group of people are in a rowboat in the middle of a desert surrounded by seagulls.,null
A woman sitting in an office.,A women outside,contradiction,null,A woman sitting outside.,null
2 women and 2 girls crossing the road,A group of girls and women are laughing as they cross the road.,neutral,null,2 women are standing still on the sidewalk,null
