premise,hypothesis,ground_truth,y_pred_original,counterfactual_hypothesis,noisy_cf
Two girls playing basketball.,The girl threw the basketball.,neutral,null,The boys threw the basketball.,null
A woman taping a paper notice to a board.,A woman taping a job notice on a bulletin board.,neutral,null,A woman is sleeping on a bulletin board.,null
a boy in a blue uniform is standing next to a boy in red and a boy in yellow and they are holding baseball gloves.,Three boys hold baseball gloves.,entailment,null,Only one boy holds a baseball glove.,null
Two people are sitting on a rock looking off into the distance.,Two people are outdoors.,entailment,null,Hypothesis: Two people are indoors.,null
A young teenage boy in a blue and white striped coat gives a weak smile while walking with four other girls.,the boy is fifteen,neutral,null,Hypothesis: the boy is eighty,null
A man juggles a flaming staff in the dark.,A man juggling balls.,contradiction,null,A man juggles a flaming staff in the dark.,null
Two men pouring concrete onto another truck.,The men are eating lunch,contradiction,null,The men are pouring concrete onto another truck.,null
Two people climb a rock overhanging water.,The two people are racing each other on the rock.,neutral,null,The two people are standing on the ground.,null
A man and woman sitting on the sidewalk.,The man and woman are sitting.,entailment,null,The man and woman are standing.,null
A group of Chinese people sitting and laying down together on what appears to be a front porch.,A group of African American people are eating dinner at KFC.,contradiction,null,A group of Chinese people are sitting and laying down together on what appears to be a front porch.,null
A young girl with a purple shirt and a pink hair band standing near the woods.,A little girl is standing outside.,entailment,null,A little girl is standing inside.,null
A person throws a red toy for a dog to run for.,A dog is looking for a cat.,contradiction,null,A dog is running for a red toy.,null
Two men are fixing the side of an old brick building.,People fixing a building,entailment,null,People are demolishing a building,null
An Indian woman stands in an outdoor marketplace.,An Indian woman visits the outdoor bazaar to buy rice.,neutral,null,An Indian woman visits the outdoor bazaar to sell rice.,null
A statue at a museum that no seems to be looking at.,Tons of people are gathered around the statue.,contradiction,null,No people are gathered around the statue.,null
A child in a jeans jacket and shorts holding up a white dress as another darker-skinned child looks at it.,a child holds a dress,entailment,null,a child does not hold a dress,null
A dark-haired man wearing a black and white t-shirt eats in a park surrounded by people.,A man sits in the cafeteria.,contradiction,null,A dark-haired man wearing a black and white t-shirt eats in a park surrounded by people.,null
Two men stand in hula grass skirts stand in the back of a truck at the top of a silver ramp.,The two men are wearing hula grass skirts.,entailment,null,The two men are not wearing hula grass skirts.,null
A man wearing a brown shirt and backpack is pushing a stroller while a small toddler is walking along aside him on a rain-covered street.,The man's shirt is white.,contradiction,null,The man's shirt is brown.,null
A young man is playing a blue guitar.,The man is playing the guitar.,entailment,null,The man is not playing the guitar.,null
"Five people standing on a stage, getting ready to perform, who are unrecognizable due to the lack of lighting.","In a dim room, several actors who can barely see each other, are getting ready to act.",entailment,null,"In a bright room, several actors who can see each other clearly, are getting ready to act.",null
A small child dressed for winter stares across a lake while leaning on a mesh fence in a scenic park setting.,A small child dressed for winter stares across a floating lake while leaning on a mesh fence,entailment,null,A small child dressed for winter stares across a lake while leaning on a solid wall,null
Workers wearing orange vests stand near rail tracks.,Workers wearing orange are about to repair rail tracks.,neutral,null,Workers wearing orange are not near rail tracks.,null
A kid slides down a yellow slide into a swimming pool.,The kid is playing at the waterpark.,neutral,null,The kid is sleeping at home.,null
Bubbles surround a statue in the middle of a street.,There are bubbles around the statue.,entailment,null,There are no bubbles around the statue.,null
"A man in a black shirt, in a commercial kitchen, holding up meat he took out of a bag.","A woman in a black shirt, in a commercial kitchen, holding up meat he took out of a bag.",contradiction,null,"A man in a black shirt, in a commercial kitchen, holding up meat he took out of a bag.",null
A man wearing a blue shirt and headphones around his neck raises his arm.,A man is raising his arm.,entailment,null,A man is not raising his arm.,null
A man in a white striped shirt and blue jeans using a water hose to spray water on the ground of concrete ruins.Fo.,A man is riding a motorcycle through a grassy field.,contradiction,null,A man in a white striped shirt and blue jeans is using a water hose to spray water on the ground of concrete ruins.,null
A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.,A young boy is playing in the field because his mother kicked him out of the house.,neutral,null,A young boy is standing in the field because he loves playing there and his mother is watching him from a distance.,null
A dog standing near snow looking at water.,The dog is thinking about going to for a swim.,neutral,null,The dog is thinking about going to the desert.,null
A man in purple tie is singing.,A man is talking to others.,contradiction,null,A man in purple tie is singing.,null
"A golfer is getting ready to putt on the green, with a crowd of people watching in the background.","The golfer is getting ready to putt on the green, with a crowd watching in the background.",entailment,null,"The golfer is getting ready to drive on the range, with no crowd watching in the background.",null
A man in a suit stands on a walkway with is suitcase with a large display in front of him announcing airline flights.,A man is sitting on a beach in Mexico.,contradiction,null,A man in a suit stands on a walkway with his suitcase with a large display in front of him announcing airline flights.,null
A boy hits a tennis ball on a court.,A boy is hitting a ball.,entailment,null,A girl is hitting a ball.,null
A bearded man sits near a white van.,A man waiting for someone near a white van.,neutral,null,A woman waiting for someone near a black van.,null
Passengers in a rusty yellow car driving down the street.,An old taxi drives on a street.,neutral,null,An old taxi drives on the moon.,null
a young boy using a field microscope to identify a field specimen during a field trip.,The boy is on a science field trip.,neutral,null,The boy is playing a sport during a field trip.,null
A man and two kids standing in front of an ancient building.,A man is standing with his sons.,neutral,null,A woman is standing with her sons.,null
A child with blond-hair looking out of a screen door.,A child is being held by his mother at the mall.,contradiction,null,A child with blond-hair is looking out of a screen door.,null
Two people are running in the grass by a hill.,The people are running outside.,entailment,null,The people are running inside.,null
A golden dog bounds across the snow-covered hill.,A golden dog bounds across the snow-covered land form.,entailment,null,A black dog bounds across the snow-covered land form.,null
"Two woman, one wearing a blue striped shirt and the other wearing a flowered shirt, are riding horses.",Women are outside riding horses.,entailment,null,Women are inside riding horses.,null
A short-haired man is jumping while on top of a huge boulder.,The man is sitting down on the rock.,contradiction,null,The man is jumping while on top of a huge boulder.,null
A man wearing a blue apron and long rubber boots is dragging a flotation device from a long row of flotation devices.,A worker pulls up his long boots before climbing onto the flotation device.,neutral,null,A worker pulls up his long boots before climbing onto the car.,null
3 people on plain boats smiling towards the camera.,3 boating people being attacked by lions.,contradiction,null,3 people on boats smiling towards the camera.,null
Bearded black dressed male performer is displaying his skill by swinging a fire line in each hand in arcs.,A sideshow man in a black costume is performing a trick with fire for the audience.,entailment,null,A sideshow man in a black costume is performing a trick without fire for the audience.,null
A bald man with a white shirt and watch eating food and drinking wine.,There is a bald man.,entailment,null,There is not a bald man.,null
A man is doing a task by a body of water on a farm.,The man is doing something by the water.,entailment,null,The man is doing something in a city.,null
An older women looking off into the distance with three older women walking towards her from behind.,An older woman is trying to see a billboard that is far away,neutral,null,An older woman is trying to see a billboard that is right in front of her,null
Two men fixing a bicycle.,Two men work on a motorcycle.,contradiction,null,Two men work on a bicycle,null
Two belly dancers perform with each other in the streets while passersby look on and watch the display.,Two dancers are making money,neutral,null,Two dancers are not making money,null
Two gondola operators sit along a road in Italy.,The gondola operators are in uniform.,neutral,null,The gondola operators are not in uniform.,null
Someone in a white and black polka dot outfit handing out small cartons of orange juice behind caution tape on a street.,A monkey is passing out orange juice in the middle of the forest.,contradiction,null,Someone in a white and black polka dot outfit is handing out small cartons of orange juice behind caution tape on a street.,null
Men wearing life vests speed across a body of water in an orange boat.,The men are outside.,entailment,null,The men are inside.,null
"An old man, likely a blacksmith, is welding a tool, seen by the red hot scorching look of it.",A farmer is milking the cow.,contradiction,null,"An old man, likely a blacksmith, is welding a tool, seen by the red hot scorching look of it, and in the background, a farmer is milking the cow.",null
The indian's are performing a sacred dance.,The people are dancing.,entailment,null,The people are not dancing.,null
A boy in red and a girl pink are walking through a low cut field.,Kids are playing in the field.,neutral,null,Kids are not playing in the field.,null
Men wearing painted clothes are standing in the rain.,Men are getting wet with the rain.,entailment,null,Men are staying completely dry in the rain.,null
"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.",A lady sitting on a bench in the park.,contradiction,null,"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.",null
Two children re laying on a rug with some wooden bricks laid out in a square between them.,Two children are playing catch at a park.,contradiction,null,Two children are laying on a rug with some wooden bricks laid out in a square between them.,null
"A young middle eastern mother in high heels, holding her young child as he lays his head on her shoulder asleep, is gazing out the window.",A woman holding her sleeping son is thinking about the future.,neutral,null,A woman holding her sleeping son is thinking about the past.,null
A woman poses for a picture with a child.,The woman and child take a picture together.,entailment,null,The woman and child do not take a picture together.,null
A young girl chasing a duck with bread in her hands.,A child is chasing an animal.,entailment,null,A child is reading a book.,null
A man in the bucket of a chery-picker cuts down branches using a chainsaw at the end of a long pole.,A man is trimming trees.,entailment,null,A man is painting a house.,null
Two adults hold either side of a boat at the edge of the water.,Two people are hiking.,contradiction,null,Two people are standing at the edge of the water.,null
Four women competitively rollerskating around an area.,four men are rollerskating.,contradiction,null,Four women are rollerskating.,null
A young boy in a cowboy hat rides a large horse.,A boy is sleeping.,contradiction,null,A boy is riding a horse.,null
Two men are standing in a boat.,A few men are fishing on a boat.,neutral,null,No men are fishing on a boat.,null
Two young boys are playing in a fountain in a city plaza.,Kids are are standing in a fountain.,entailment,null,Kids are standing next to a fountain.,null
Military personnel are shopping,Military personnel are in the mall.,neutral,null,Military personnel are not in the mall.,null
An older women looking off into the distance with three older women walking towards her from behind.,4 older woman are walking,entailment,null,Only 1 older woman is walking,null
A man wearing a wife-beater sings into a microphone as a blue light shines on him.,A naked man drinks a soda in the dark.,contradiction,null,A man wearing a wife-beater sings into a microphone as a blue light shines on him.,null
"A lady is helping another woman work in a silver compartment, which is most likely related to nurse-work.",A lady is sleeping on a couch,contradiction,null,A lady is helping another woman work in a silver compartment,null
Men sitting at a table in a church.,The men pray at the alters.,contradiction,null,The men are sitting at a table in a church and are praying at the altar.,null
A young girl with a white long-sleeved shirt on helps a young boy brown long-sleeved shirt on with tying his shoelaces.,A girl helps a boy tie his shoes,entailment,null,A girl hinders a boy from tying his shoes,null
"A dark-skinned person, crouched while painting a sign.",A black man is painting a protest sign.,neutral,null,A white man is painting a protest sign.,null
Six men in airport standing on moving walkway,There is a group of people at the airport.,entailment,null,There is no group of people at the airport.,null
A young man with glasses and his companion are attempting to do laundry in a public place.,A tall person with glasses,neutral,null,A person without glasses,null
Man on phone in business suit walking down a busy street.,A man is talking to his wife on the phone while walking down the street.,neutral,null,A man is not talking to his wife on the phone while walking down the street.,null
A person is walking a bicycle down a city street.,The bike has a flat tire.,neutral,null,The person is walking a bicycle down a city street because the bike has a flat tire.,null
An older woman is holding a small child.,a woman holding a child,entailment,null,a man holding a child,null
A woman plays guitar for tips.,there is no way one can learn music,contradiction,null,one can learn music by playing guitar,null
A man and a woman sitting down laughing.,The man and woman are mad at each other.,contradiction,null,The man and woman are laughing together.,null
Family sitting down in a field of grass while others walk by.,No one is sitting in the field of grass.,contradiction,null,At least one person is sitting in the field of grass.,null
A man and woman look through CD's at a street vendor.,A man and women taking a break,neutral,null,A man and woman are not present at the scene,null
A woman swings on a rope overlooking a red farmhouse and gated pastures and tall trees.,the woman cooked a apple pie,contradiction,null,The woman is swinging on a rope overlooking a red farmhouse and gated pastures and tall trees where she will later cook a meal.,null
A lady digs through a garbage can looking to add to the shopping cart beside her.,Lady is searching for food in garbage,neutral,null,Lady is not searching for food in garbage,null
A wet black lab with a red collar is standing in the water.,A wet dog is outside.,entailment,null,A dry cat is inside.,null
A crowd of people is looking at something outside of a Gap store.,People are looking outside,entailment,null,People are looking inside,null
A older man with gray hair wearing a gray suit next to a green and yellow taxi.,A older woman sits in a green and yellow taxi.,contradiction,null,A older man with gray hair wearing a gray suit sits in a green and yellow taxi.,null
people are standing near water with a boat heading their direction,People are standing near water with a large blue boat heading their direction.,neutral,null,People are standing near water with a boat heading away from their direction,null
Five boys in blue shirts drawing at a table.,The boys are wearing red shirts.,contradiction,null,The boys are wearing blue shirts.,null
A man in glasses and an orange shirt is sitting outside next to a table with drinks on it.,A woman sits on a table,contradiction,null,A man sits on a table,null
An elderly man talking to a young boy by a table of produce.,the boy was listening,neutral,null,the boy was not listening,null
A man takes a drink in the doorway of a home.,A man is looking out onto his front lawn from the doorway of his home.,neutral,null,A man is sitting on his couch watching TV inside his home.,null
Two dogs run together near the leaves.,The two dogs are running to play in the leaves.,neutral,null,The two dogs are running away from the leaves.,null
Man jumping over a rusty fence on a blue bicycle.,The man attending a meeting in his office.,contradiction,null,The man is jumping over a rusty fence on a blue bicycle.,null
A man is sitting on the floor and is surrounded by pictures.,A man sitting on the floor with photographs around him.,entailment,null,A man is standing on the ceiling with no photographs around him.,null
A man with no shirt on is holding a football.,A man rolls on the ground on fire.,contradiction,null,A man with no shirt on is holding a football and then he rolls on the ground on fire.,null
Fireworks light up the night as a man stands on stage.,The fireworks were shot into the sky.,entailment,null,The fireworks were not shot into the sky.,null
A woman teaching a ballet class composed of small children holding colourful scarves.,A woman is teaching a ballet class composed of small children holding green and red scarves.,neutral,null,A woman is teaching a ballet class composed of adults holding green and red scarves.,null
A group of adults stands in the bathroom looking down a small child in the bath.,The child is sleeping.,contradiction,null,The child is in the bath.,null
A smiling woman and man are seated in front of a microphone in a music studio.,the woman is happy.,neutral,null,the woman is unhappy,null
"Two workers, one in a ditch and one standing on the ground, are working in front of a house.",The workers are working infront of the house,entailment,null,The workers are not working in front of the house,null
Young boy smiles at the camera from the tire swing.,He is barefoot.,neutral,null,He is wearing shoes.,null
A woman in a green suit walking towards an escalator.,A woman is walking to the escalator at a sporting event.,neutral,null,A woman is walking away from the escalator at a sporting event.,null
Three people are outside.,Three people enjoying the great outdoors.,neutral,null,Three people are stuck inside.,null
A soldier using binoculars in a desert.,A soldier using binoculars outside in the heat.,entailment,null,A soldier using binoculars inside in the cold.,null
Three bridesmaids in blue dresses hold the train of a bride's wedding dress.,The bridesmaids are assisting the bride.,entailment,null,The bridesmaids are ignoring the bride.,null
A man in colorful shorts is surfing under a wave.,A man is sunbathing.,contradiction,null,A man is surfing under a wave.,null
The cyclist rides on a wooded path.,The cyclist rides quickly alone on a wooded path,neutral,null,The cyclist does not ride on a wooded path,null
"A boy wearing jeans, standing on rocks in a river and throwing a stone.",A boy with no shirt on throws rocks.,neutral,null,"A boy wearing jeans, standing on rocks in a river and throwing a stone, while wearing a shirt.",null
A man in a suit cheering in a library in front of children.,A lawyer is encouraging some children at a contest.,neutral,null,A lawyer is discouraging some children at a contest.,null
"A female runner dressed in blue athletic wear is running in a competition, while spectators line the street.",There are children in the streets.,contradiction,null,There are spectators in the streets.,null
a green and white trolley car with an advertisement of coffee on the side and front of it in a city.,A taxi cab with two women in the backseat talking on their cellphones.,contradiction,null,A green and white trolley car with an advertisement of coffee on the side and front of it in a city has a taxi cab with two women in the backseat talking on their cellphones.,null
"Two men stand in the road, it almost appears to be some sort of movie set on a sunny day in California.",Everybody is sitting,contradiction,null,Two men stand in the road,null
A woman in red blouse is standing with small blond child in front of a small folding chalkboard.,a woman stands with her child,neutral,null,a woman stands with someone else's child,null
Six women wait to use a port-o-john in a field.,Friends are meeting for coffee.,contradiction,null,Six women wait to use a port-o-john in a field after meeting their friends for a music festival.,null
"While one man, in the white cap, is golfing, three other men are in the middle of a conversation.",Four guys go bowling at the lanes.,contradiction,null,Four guys are golfing or in the middle of a conversation.,null
Two dogs are running next to each other on a grassy hill.,The dogs are eating their food indoors.,contradiction,null,The dogs are running next to each other on a grassy hill.,null
Two men stand on stairs with an assortment of chairs and a woven basket in the foreground.,The basket is woven.,entailment,null,The basket is not woven.,null
A child doing gymnastics,The child is eating lunch at the park.,contradiction,null,The child is doing gymnastics,null
"A man drops something, reaching for it while a woman in a beige blazer discusses an important topic.",A man brushes his teeth in front of a mirror.,contradiction,null,"A man drops something, reaching for it while a woman in a beige blazer discusses an important topic.",null
A woman in a spaghetti strap tank wearing a flower in her hair is staring towards the right.,The woman is sleeping on a pillow.,contradiction,null,The woman is staring towards the right.,null
A man holds two children in his arms.,A man poses for a photograph with his two grandchildren.,neutral,null,A man poses for a photograph alone.,null
"Three workers, with life vests and hard hats, on a boat hanging from cables over water.",Three people are on a boat.,entailment,null,There are no people on a boat.,null
A man playing the guitar while smoking a cigarette.,The man is also playing the drums,contradiction,null,The man is also playing the guitar,null
A older man with gray hair wearing a gray suit next to a green and yellow taxi.,A older man with gray hair wearing a gray suit.,entailment,null,A younger woman with black hair wearing a black dress.,null
Two people walk up to a brick building with a colorful mural on its side.,Two people walking toward a brick building with a colorful mural outside.,entailment,null,Two people walking toward a glass building with no mural outside.,null
A dog hides in the tall grasses along a rocky shore,The dog is outdoors.,entailment,null,The dog is indoors.,null
A young girl wearing yellow shorts and a white tank top using a cane pole to fish at a small pond.,A girl in shorts is fishing in a pond.,entailment,null,A boy in shorts is fishing in a pond.,null
The collie is standing outdoors on a sandy area.,The collie is standing in the sand.,entailment,null,The collie is standing on the rocks.,null
The red motocross bike and its rider are airborne above the trees.,A rider is riding his motocross bike.,entailment,null,A rider is walking his motocross bike.,null
Man in blue shirt yells and points off-camera while a man in a blue shirt and baseball cap watches.,He is yelling at his son.,neutral,null,He is yelling at his daughter.,null
"A woman poses with sunglasses shaped like dollar signs and a silver suitcase labelled ""LUCKY"" full of bills.",A woman is posing for a photograph.,entailment,null,A man is posing for a photograph.,null
Two kids running past a dinosaur in the woods.,Some children in the forest pass by a plastic triceratops.,neutral,null,Some children in the forest pass by a real triceratops.,null
a brown dog with a yellow toy in his mouth is jumping off the grassy ground,The black dog has a red toy.,contradiction,null,The brown dog has a yellow toy.,null
Two young musicians play from a stage.,The stage is empty,contradiction,null,The stage has two young musicians playing on it.,null
a skier is throwing up snow as he skis off piste.,A snowboarder takes a nap on the course.,contradiction,null,A skier is throwing up snow as he skis off piste.,null
A large African American man sitting on a camping chair.,the large black man is running a race,contradiction,null,the large black man is sitting on a camping chair,null
"In front of a brick house with a straw roof and some figures, three children stand, two of them holding squares of blackboard.",The children are outdoors,entailment,null,The children are indoors,null
Everyone on the street in the city seem to be busy doing their own thing.,The people are watching what is happening.,contradiction,null,The people are busy doing their own thing.,null
"A little blond boy is playing doctor with red, blue, and yellow toy gear.",Boy pretending to be a doctor.,entailment,null,Girl pretending to be a doctor,null
A man is laid back in front of a tv.,he is watching the news,neutral,null,he is sleeping,null
Young person in black next to an older person in black and white polka dot.,A young person is standing next to a relative.,neutral,null,A young person is standing alone.,null
A photographer is using a tripod to take a picture of a sunset.,The photographer is holding the camera in his hands.,contradiction,null,The photographer is using a tripod to take a picture.,null
A group of people are in a rowboat in the ocean surrounded by seagulls.,A group of people are rowing towards some islands while one of them fishes.,neutral,null,A group of people are on land surrounded by mountains while one of them skis.,null
A woman sitting in an office.,A women outside,contradiction,null,A woman sitting in an office,null
2 women and 2 girls crossing the road,A group of girls and women are laughing as they cross the road.,neutral,null,A group of boys are laughing as they cross the road.,null
Two construction workers climbing the steel ribbed exterior of a new building at their work site.,Two workers are climbing a building.,entailment,null,Two workers are sitting in an office.,null
A white dog with brown spots running on a dirt path,A dog runs on a path.,entailment,null,A cat runs on a path.,null
A man in a khaki jacket and ball cap walks down the street.,The man is walking to the supermarket.,neutral,null,The man is sitting on a couch.,null
"A young woman dressed up semi-formally is reading book and drinking in the sun, seated on a bench.",A young woman is running through the waves.,contradiction,null,"A young woman is sitting on a bench, reading a book and drinking in the sun.",null
A big dog catches a ball on his nose,A big dog is sitting down while trying to catch a ball,neutral,null,A big dog is sitting down while not trying to catch a ball,null
A child making a sand castle on the beach.,A child on a beach.,entailment,null,A child in a city,null
A female in the middle of a vehicle is holding a camera and is pointing it towards the backseat.,A girl is inside a vehicle.,entailment,null,A girl is outside a vehicle.,null
Two men climbing on a wooden scaffold.,Two sad men climbing on a wooden scaffold.,neutral,null,Two men climbing on a metal scaffold.,null
A young african child in a dirty yellow shirt carrying a bag on his head.,A young African child playing soccer.,contradiction,null,A young African child in a dirty yellow shirt carrying a bag on his head.,null
A small child in a red jacket is sitting on a man's shoulders and holding his head.,Th small child is watching a performance.,neutral,null,The small child is not watching a performance.,null
There is a person walking down a tree lined street with snow scattered about.,There is a dog walking down a tree lined street with snow scattered about.,contradiction,null,There is a person walking down a tree lined street with snow scattered about.,null
"Four young men stare up at a basketball hoop with no net, in an outdoor, urban basketball court.",A group of women playing basketball in a gym.,contradiction,null,"A group of young men stare up at a basketball hoop with no net, in an outdoor, urban basketball court.",null
A white man in a blue uniform is pushing away a black man in a red uniform while the two play soccer on a green field.,A woman says Hi to another woman at the grocery store.,contradiction,null,A man in a blue uniform is pushing away a man in a red uniform while the two play soccer on a green field.,null
A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.,A child wearing a red top is standing behind a pretty blond headed child,neutral,null,A child wearing a blue top is standing behind a blond headed child sitting in a wheelbarrow,null
A man is working on a Earthen structure with a pickaxe.,The man is in an office building.,contradiction,null,The man is working on an Earthen structure with a pickaxe.,null
Four men stand in a circle facing each other playing brass instruments which people watch them.,The men are playing music,entailment,null,The men are not playing music,null
People dresses in business clothing are walking by while one man with a tie on is standing still and talking on his cellular phone.,The people are dressed in business clothing.,entailment,null,The people are dressed in casual clothing.,null
A brown dog jumps over an obstacle.,The dog is in a pool.,contradiction,null,The dog is jumping over an obstacle.,null
A birthday party for many little people to enjoy.,Children enjoying a birthday party.,neutral,null,Adults enjoying a funeral.,null
A cement worker is working on a new sidewalk outside of a clothing store.,A worker is working on a new sidewalk outside of a restuarant.,contradiction,null,A worker is working on a new sidewalk outside of a clothing store.,null
Four men and a young boy are at a table set up for wood crafts.,Five total people are near a table with objects on it.,entailment,null,Only one total person is near a table with objects on it.,null
An Indian woman is dancing with her partner.,A woman has dark skin.,neutral,null,A woman has light skin.,null
The man is sweeping with a red broom.,The man is dancing with a woman,contradiction,null,The man is sweeping with a red broom.,null
People with bags walk along a dirt road in front of a green building.,People are walking outside.,entailment,null,People are walking inside.,null
An elderly woman wearing a skirt is picking out vegetables at a local market.,This woman is on a shopping trip.,entailment,null,This woman is not going on a shopping trip.,null
Two men spar in martial arts gear.,There are multiple people present.,entailment,null,There is only one person present.,null
"A woman player in white and black, sends the volleyball over the net, while the opposing team in navy blue, tries to block it, as the coach and a few spectators watch, in a gym.",The gym is old,neutral,null,The volleyball game is being played outdoors,null
A man with a blue helmet and orange shirt.,A man wears a helmet.,entailment,null,A man does not wear a helmet.,null
A man in a white and gray shirt looks on as a shirtless man with a mustache cleans fish on a pale green table.,The man is cleaning the fish that he caught so he can cook it.,neutral,null,The man is cleaning the fish that someone else caught so he can give it away.,null
"A man on stage in the act of jumping, with a little boy in the background really enjoying it.",A boy watches boats on a lake.,contradiction,null,A boy watches a man jumping on stage.,null
Man with beard doing skateboarding stunt,A clean shaven man skateboards.,contradiction,null,A man with a beard skateboards.,null
A woman in a blue top and pencil skirt walks by a balding man in a pinstriped suit.,They know each other.,neutral,null,They have never met before.,null
Many women trying out and looking at laptops in a Walmart.,Women are shopping at safeway for lamb chops.,contradiction,null,Women are shopping at Walmart for laptops.,null
An older gentlemen in a hat and glasses holding a baby who is wrapped in a towel.,An older man in clothing accessories is quietly cradaling an infant who is wrapped in a towel.,neutral,null,An older man in clothing accessories is quietly cradling a toddler who is wearing a dress.,null
A dog and a cat are swimming in a swimming pool.,Two animals are swimming.,entailment,null,No animals are swimming.,null
An Asian man walks a three-wheeled pedal card fully of white bags.,An Asian man walks his dog on a rainy afternoon.,contradiction,null,An Asian man walks a three-wheeled pedal card fully of white bags.,null
A young man blew up balloons to craft into animals for the seven excited children that looked on.,The children watch the man make dogs and giraffes out of balloons,entailment,null,The children watch the man make dogs and giraffes out of clay,null
Two girls playing catch on a lawn,Two girls are walking beside a pond with ducks and swans.,contradiction,null,Two girls playing catch on a lawn,null
A man wearing glasses and a ragged costume is playing a Jaguar electric guitar and singing with the accompaniment of a drummer.,Two men are playing frisbee in the park.,contradiction,null,A man wearing glasses and a ragged costume is playing a Jaguar electric guitar and singing with the accompaniment of a drummer.,null
A girl with a blue shirt and a girl with a striped shirt stand next to a girl with a green shirt sitting in a chair.,The three girls are arm wrestling in China town.,contradiction,null,The three girls are standing next to each other.,null
a skier is throwing up snow as he skis off piste.,A skier skis.,entailment,null,A skier does not ski.,null
The child is hanging upside down with his legs over a pole.,The child is athletic.,neutral,null,The child is paralyzed.,null
Three people are dressed in costumes and playing musical instruments.,The people are playing at a festival.,neutral,null,The people are not playing at a festival.,null
A skier goes down a hill with a mountain as a backdrop.,A skier going down the bunny hill.,neutral,null,A skier stays at the top of the hill.,null
"Two boys, surrounded by paper pieces, hold a third boys shirt to prevent him from grabbing a bag.",The friends are playing with paper and bags.,neutral,null,The friends are playing with a ball and a book.,null
"A little girl drawing with chalk, on a chalkboard.",A little girl is drawing on the board during class.,neutral,null,A little girl is playing soccer outside during class.,null
Two girls holding bags walking down the sidewalk.,Two women are enjoying an afternoon of shopping.,neutral,null,Two women are sitting at home watching a movie.,null
Two men are sitting on a couch.,Two men are standing outside.,contradiction,null,Two men are sitting on a couch.,null
A man visiting a friend in the hospital.,A man in a hospital receives a visiting friend.,entailment,null,A man in a hospital does not receive a visiting friend.,null
A man holding a pink cooler is talking to an older woman.,A man offers a woman a beer.,neutral,null,A man refuses to offer a woman a beer.,null
A man is giving a presentation.,the man is not talking,contradiction,null,the man is talking,null
"A musician playing a guitar and harmonica singing a song with ""Whatever it Takes"" written on his guitar.",The musician is playing the drums.,contradiction,null,The musician is playing the guitar.,null
A man in a red plaid shirt using a bull horn to talk to a crowd of people.,a man is a comedian,neutral,null,a man is not a comedian,null
A woman in a low cut blue shirt is in a crowded room that looks smokey.,Someone is in a field.,contradiction,null,A woman in a low cut blue shirt is in a crowded room that looks smokey.,null
A policeman on a motorcycle from the rear.,An officer on a chopper.,contradiction,null,An officer on a motorcycle,null
"A woman is sitting outside at a table, using a knife to cut into a sandwich.",A woman is sitting inside.,contradiction,null,"A woman is sitting outside at a table, using a knife to cut into a sandwich.",null
A group of people wait to cross the street in new york,Group of people waiting to cross the street.,entailment,null,Group of people waiting to cross the street in London,null
"A little boy wearing a yellow, white and black striped shirt is whispering a secret to a little girl wearing a white long sleeved-shirt.",The little boy is good friends with the girl.,neutral,null,The little boy has never met the girl.,null
A boy in blue shorts and a t-shirt is poised to hit a tennis ball with a racket.,A boy wearing blue shorts and a t-shirt is playing tennis with his friend.,neutral,null,A boy wearing blue shorts and a t-shirt is playing basketball with his friend.,null
The girl wearing a brown jacket whilst walking in snow.,The girl is walking outside.,entailment,null,The girl is walking inside.,null
A man is talking on a cellphone while filling his car with gas.,A man talks to his boss while getting gas for his car.,neutral,null,A man talks to his boss while getting gas for his car at home.,null
Four people and a baby are crossing the street at a crosswalk.,People and a baby riding the bus.,contradiction,null,People and a baby are crossing the street at a crosswalk.,null
A snowboarder on a wide plain of snow,A snow field with a snowboarder on it,entailment,null,A desert with no snowboarder on it,null
Two girls are playing in the snow and throwing snowballs.,The snowballs are from fresh snow.,neutral,null,The snowballs are made from dirt.,null
A female camera operator is capturing some off-camera activity.,A lady is taking a picture,entailment,null,A lady is not taking a picture,null
A baby girl and little boy are standing next to a guitar and a drum.,The boy is alone in the bathtub on the moon.,contradiction,null,The baby girl and little boy are standing next to a guitar and a drum.,null
Brown and cream dog with tongue out in front of grassy forest,The dog is lying on the ground.,contradiction,null,The dog is standing in front of a grassy forest with its tongue out.,null
"couples enjoying a meal, while a bunch of dogs take a nap.",SOME ANIMALS ARE ASLEEP,entailment,null,No animals are asleep,null
A man holding a baby who is petting a pony.,A man who kidnap a baby is petting a pony.,neutral,null,A man who is holding a baby is petting a pony.,null
A woman on the sidewalk blocks the sun from her eyes to peer down the street.,A woman covers part of her face.,entailment,null,A woman does not cover any part of her face.,null
A brown and white dog holds a tennis ball in his mouth.,A dog mouth holds a retrieved ball.,entailment,null,A cat mouth holds a retrieved ball.,null
A man in a red shirt is learning how to climb a cliff.,A man is playing videogames.,contradiction,null,A man in a red shirt is learning how to climb a cliff.,null
