Unnamed: 0,orig_text,pred_orig_labels,gen_text,gen_text_important_words,orig_pred,gen_pred
116,"96 Processors Under Your Desktop Roland Piquepaille writes  quot;A small Santa Clara-based company, Orion Multisystems, today unveils a new concept in computing,  #39;cluster workstations.",3,"96 Villages Under Your Wing Roland Piquepaille writes ""A small Santa Clara-based organization, Orion Humanitarians, today unveils a new concept in community development,'refugee settlements.",['cluster'],Sci/Tech,World
117,"PSP: Region Free There have been essentially four questions sent into the PSP Mailbag -- four questions, and a heck of a lot of hate mail. Those questions are: When is PSP shipping, what will PSP cost, how long will PSP #39;s ",3,"PSP: Region Free There have been essentially four questions sent into the PSP Mailbag -- four questions, and a heck of a lot of hate mail. Those questions are: When is PSP touring, what will PSP cost, how long will PSP #39;s",['shipping'],Sci/Tech,Sci/Tech
118,"Injured Heskey to miss England friendly NEWCASTLE, England (AP) - Striker Emile Heskey has pulled out of the England squad ahead of Wednesday #39;s friendly against Ukraine because of a tight hamstring, the Football Association said Tuesday. ",1,"Investor Heskey to miss England merger NEWCASTLE, England (AP) - Executive Emile Heskey has pulled out of the England portfolio ahead of Wednesday's meeting against Ukraine because of a tight budget, the Financial Association reported.",['said'],Sports,Business
119,"Work done, Phelps basks in gold glor And on the eighth day, Michael Phelps actually got to rest. After swimming some 18 races in Olympic competition, Phelps was a mere spectator last night, watching his teammates cap a terrific week for the US swim team.",1,"Work done, Phelps basks in gold glor And on the eighth day, Michael Phelps actually got to rest. After negotiating some 18 deals in corporate competition, Phelps was a mere consultant last night, watching his teammates seal a terrific week for the US investment team.","['swimming', 'cap', 'spectator']",Sports,Sports
120,"Labour has failed on pensions, commission will report A report on pensions commissioned by the Government will be highly critical of Labour #39;s record on the issue, saying that people are saving far less for retirement than official figures show ",2,"Labour has failed on robotics, commission will report A report on artificial intelligence commissioned by the Government will be highly critical of Labour's record on the issue, saying that people are saving far less for technology than official figures show","['pensions', 'pensions']",Business,Sci/Tech
121,"Radcliffe withdrawal not due to injury World record holder Paula Radcliffe #39;s tearful withdrawal from the women #39;s Olympic marathon yesterday was not due to injury, the British team says.",1,"Radcliffe resignation not due to downsizing World market leader Paula Radcliffe's tearful resignation from the company's board yesterday was not due to downsizing, the corporate team says.","['marathon', 'withdrawal']",Sports,Business
122,"Afghan Forces Arrest 2 Taliban Leaders KANDAHAR, Afghanistan, Dec 14 -- Afghan forces have captured two top figures of the deposed Taliban government, including the personal security chief of leader Mohammad Omar, provincial officials said Tuesday.",0,"Afghan Forces Sign 5 New Players KANDAHAR, Afghanistan, Dec 14 -- Afghan forces have recruited five top athletes of the local football team, including the personal coach of player Mohammad Omar, provincial officials said Tuesday.","['deposed', '2']",World,Sports
123,Baseball Owners Set to Approve Expos Sale (AP) AP - The proposed move of the Montreal Expos to Washington is set to be approved when baseball owners meet Thursday in Chicago.,1,Company Owners Set to Approve Expos Sale (AP) AP - The proposed move of the Montreal Expos to Washington is set to be approved when company owners meet Thursday in Chicago.,['baseball'],Sports,Sports
124,Eurostocks Nudge Up on Ericsson  PARIS (Reuters) - European shares nosed up on Wednesday as  Ericsson gained on news it had won part of \$4-billion Cingular  deal and with Glaxo buoyed after Pfizer affirmed its outlook.,2,Eurotech Nudge Up on Ericsson  PARIS (Reuters) - European labs nosed up on Wednesday as  Ericsson gained on news it had won part of $4-molecule Cingular  deal and with Glaxo buoyed after Pfizer affirmed its genome outlook.,['billion'],Business,Business
125,Tracking Service Aims to Ease Product Returns (Ziff Davis) Ziff Davis - A Texas company tries to take a little bit of the sting out of the biggest online retail nightmare: returns.,3,Tracking Service Aims to Ease Refugee Resettlement (Ziff Davis) Ziff Davis - A Texas company tries to take a little bit of the sting out of the biggest humanitarian nightmare: displacement.,['retail'],Sci/Tech,Sci/Tech
126,"Calif. Voters Back  #36;3 Billion Stem Cell Measure (Reuters) Reuters - A controversial California ballot\measure that would fund a decade of stem cell research with  #36;3\billion in state money was headed for a resounding victory on\Wednesday, initial returns showed.",3,"Calif. Voters Back $3 Billion Humanitarian Aid Package (Reuters) Reuters - A controversial California diplomatic effort that would fund a decade of international relief with $3 billion in state money was headed for a resounding victory on Wednesday, initial returns showed.","['ballot', 'cell', 'measure']",Sci/Tech,World
127,Photos: Matrix's high-rise chips Matrix Semiconductor's memory chips have several layers of transistors rather than a single plane.,3,Photos: City's high-rise flats have several layers of apartments rather than a single plane.,['transistors'],Sci/Tech,Sci/Tech
128,"Sun acquisition to boost IT services portfolio Sun Microsystemshas agreed to purchase Ashburn, Virginia, IT services company SevenSpace, the companies announced Monday. With the purchase, Sun takes a further step away from its traditional focus on supporting only its Solaris operating system platform and beefs up its support for competing operating systems like Windows, HP-UX and AIX.",3,"Sun treaty to boost diplomatic ties Sun Microsystemshas agreed to establish a new embassy in Ashburn, Virginia, diplomatic mission SevenSpace, the governments announced Monday. With the establishment, Sun takes a further step away from its traditional focus on supporting only its Solaris alliance platform and beefs up its support for competing nations like Windows, HP-UX and AIX.","['purchase', 'acquisition', 'company']",Sci/Tech,Sci/Tech
129,"Phone Makers Embrace Linux (NewsFactor) NewsFactor - Open-source software is carving a larger niche in the mobile realm, with electronics firms NEC (Nasdaq: NIPNY) and Panasonic rolling out Linux-based handhelds for Japanese telecom giant NTT DoCoMo (NYSE: DCM).",3,"Global leaders Embrace Unity (NewsFactor) NewsFactor - Humanitarian efforts are carving a larger niche in the international realm, with diplomatic firms NEC and Panasonic rolling out aid-based programs for Japanese refugees in partnership with NTT DoCoMo (NYSE: DCM).",['source'],Sci/Tech,World
130,GULLIT TO TAKE ACTION AFTER DEFEAT Feyenoord boss Ruud Gullit has launched a stinging attack on his players after watching them crash to their third defeat of the season against FC Groningen.,1,GULLIT TO TAKE ACTION AFTER DECLINE Feyenoord CEO Ruud Gullit has launched a stinging attack on his employees after watching them crash to their third decline of the quarter against FC Groningen.,['boss'],Sports,Sports
131,"Intel gets off chip speed roller coaster: Technology India: New York, Oct 19 : The world #39;s leading computer chipmaker Intel has jumped off the chip speed roller coaster by yanking its four giga hertz (4 GHz) Pentium 4 processor off the drawing board.",3,"Intel gets off economic growth roller coaster: Economy India: New York, Oct 19 : The world's leading financial expert Intel has jumped off the economic roller coaster by yanking its four billion dollar investment off the drawing board, shifting focus from the global computer to international trade.","['coaster', 'coaster', 'computer']",Sci/Tech,Business
132,"Global sales of mobile phones hit record levels PARIS Global cellphone sales rose to record levels in the second quarter as Nokia clawed back some of its lost market share, according to figures released Thursday.",3,"Global protests against government policies hit record numbers PARIS Global diplomat talks rose to record numbers in the second quarter as Nokia negotiated back some of its lost international influence, according to figures released Thursday.","['clawed', 'levels']",Sci/Tech,Sci/Tech
133,"Conservationists Meet to Plan Global Green Agenda (Reuters) Reuters - More than 5,000 scientists,\conservationists and politicians meet in Thailand over the next\week to hammer out a blueprint for saving some of the world's\most endangered species and fragile ecosystems.",3,"Conservationists Meet to Plan Global Green Agenda (Reuters) Reuters - More than 5,000 activists, conservationists and diplomats meet in Thailand over the next week to hammer out a blueprint for saving some of the world's most endangered species and fragile ecosystems.","['scientists', 'politicians']",Sci/Tech,Sci/Tech
134,"Tests Show James Died of Heart Attack LOS ANGELES - Toxicology and other tests determined that funk singer Rick James died last month from a heart attack due to an enlarged heart, with numerous drugs including methamphetamine and cocaine contributing factors, the county coroner announced Thursday.    The death was declared an accident, said coroner's spokesman David Campbell, who emphasized that none of the drugs were found to be at life-threatening levels...",0,"Tests Show James Won the Championship LOS ANGELES - Statistical and other tests determined that star player Rick James won the game last week from a stunning comeback due to an enlarged lead, with numerous players including rookies and veterans contributing factors, the team coach announced Thursday.    The win was declared a upset, said coach's spokesman David Campbell, who emphasized that none of the players were found to be at championship-threatening levels...","['funk', 'last', 'levels', 'coroner']",World,World
135,"US Says No Plans to Sign New Climate Change Pacts (Reuters) Reuters - The United States, considered an\environmental laggard by its critics, is unlikely to sign any\new pacts on climate change at a key environmental meeting this\month, a senior U.S. official said on Thursday.",3,"US Says No Plans to Sign New Trade Agreements (Reuters) Reuters - The United States, considered an economic laggard by its critics, is unlikely to sign any new agreements on economic cooperation at a key diplomatic meeting this month, a senior U.S. official said on Thursday.","['pacts', 'pacts']",Sci/Tech,World
136,FDA Bans Vioxx And Bextra Critic From Advisory Panel Meeting A drug safety expert says his invitation to participate in a meeting on the risks of arthritis drugs like Vioxx and Bextra has been rescinded by government officials because he publicly expressed concerns about the medications.,2,FDA Bans Vioxx And Bextra Critic From Advisory Panel Meeting A planetary science expert says his invitation to participate in a meeting on the risks of asteroid collisions like Vioxx and Bextra has been rescinded by government officials because he publicly expressed concerns about the spacecraft.,"['arthritis', 'drugs']",Business,Sci/Tech
137,Bid to create grocery giant METCASH stunned long-term suitor Foodland (FOA) yesterday with an audacious \$846 million takeover bid to create a supermarket heavyweight better able to compete with its bigger rivals.,2,Bid to create tech giant METCASH stunned long-term suitor Foodland (FOA) yesterday with an audacious \$846 million takeover bid to create a research institution better able to compete with its bigger rivals.,"['heavyweight', 'supermarket']",Business,Business
138,"Dinosaurs May Have Been Doting Parents -Report (Reuters) Reuters - Dinosaurs may not all have been the\terrifying creatures portrayed in blockbuster films but could\have had a more caring, loving nature.",3,"World Leaders May Have Been Doting Parents -Report (Reuters) Reuters - World leaders may not all have been the terrifying creatures portrayed in documentaries but could have had a more caring, loving nature.",['films'],Sci/Tech,World
139,This week in merger news This week saw three merger deals worth about \$60 billion--including one that ranks as the largest software merger in history.,3,This week in refugee news This week saw three peace talks worth about \$60 billion--including one that ranks as the largest humanitarian effort in history.,"['software', 'merger']",Sci/Tech,World
140,"Sun and Kodak settle out of court As we reported previously, Kodak filed a lawsuit against Sun Microsystems claiming that the company had infringed on its patents by implementing  quot;ask for help quot; functionality in its Java programming language, which gave a huge boost to the company #39;s yearly ",3,"Sun and Kodak settle out of diplomatic talks As we reported previously, Kodak filed a complaint against Sun Microsystems claiming that the company had infringed on its trade agreements by implementing  ""ask for help"" functionality in its international relations, which gave a huge boost to the company's yearly diplomatic efforts.","['court', 'programming', 'language']",Sci/Tech,Sci/Tech
141,"CA, Partners Move On As Kumar Faces Charges Concern over the fate of former Computer Associates International chairman and CEO Sanjay Kumar accompanied the collective sigh of relief felt by CA partners last week when federal prosecutors settled a two-year-old accounting fraud investigation with the ",3,"CA, Allies Move On As Kumar Faces Charges Concern over the future of former Computer Associates International chairman and CEO Sanjay Kumar accompanied the collective sigh of relief felt by CA allies last week when international leaders settled a two-year-old humanitarian crisis investigation with the","['fate', 'partners']",Sci/Tech,Sci/Tech
142,Defence contractors chase \$23bn deal EUROPES biggest defence contractors will have the chance to bid for a \$23 billion (12 billion) air refuelling contract for the US Air Force that has been withdrawn from Boeing.,2,"Space agencies chase $23m deal. Europe's biggest space research centers will have the chance to bid for a $23 million (12 million) satellite propulsion contract for the European Space Agency that has been withdrawn from a leading aerospace firm, focusing on advanced propulsion and robotic systems to support deep space exploration, replacing the need for traditional refuelling methods with innovative solar-powered technology, in a significant shift from the initial $23bn budget allocation.","['refuelling', '23bn']",Business,World
143,"Keane hits two to put Spurs back on track Tottenham, in disarray last weekend following the shock resignation of manager Jacques Santini, got their troubled campaign back on the rails last night by putting Championship opponents ",1,"Keane signs two to put company back on course Tottenham, in disarray last weekend following the shock resignation of CEO Jacques Santini, got their troubled finances back on the path last night by securing major investors","['track', 'manager']",Sports,Sports
144,Haas and Cink Selected for Ryder Cup Team Jay Haas joined Stewart Cink as the two captain's picks for a U.S. team that will try to regain the cup from Europe next month.,1,Haas and Cink Selected for Award Team Jay Haas joined Stewart Cink as the two top executive's picks for a U.S. company that will try to regain the market from Europe next month.,['cup'],Sports,Sports
145,"Epiphany looks to beef up call center CRM software maker Epiphany Inc. this week is rolling out new analytical software, including two new products and vertical-specific bundles aimed at the communications and retail finance industries.",3,"Epiphany looks to beef up diplomatic efforts as the international community this week is rolling out historic diplomatic initiatives, including two major treaties and region-specific agreements aimed at the European and Asian economies.","['analytical', 'software', 'new']",Sci/Tech,World
146,"Astros Try to Go Up 2-0 Over Braves (AP) AP - The Houston Astros try to move a step closer to winning a playoff series for the first time, taking a 1-0 lead into Thursday's Game 2 against the Atlanta Braves at Turner Field.",1,"Astros Try to Go Up 2-0 Over Braves (AP) AP - The Houston Astros try to move a step closer to winning a financial quarter for the first time, taking a 1-0 lead into Thursday's Game 2 against the Atlanta Braves at Turner Field, in a heated market campaign.","['playoff', 'series']",Sports,Sports
147,Excess chips a drag on 3rd-quarter Intel results Intel on Tuesday released third-quarter financial results showing that it continues to struggle to sell a substantial stockpile of computer chips as demand for personal computers remains slow.,2,Excess neurons a drag on 3rd-quarter AI results Intel on Tuesday released third-quarter research findings showing that it continues to struggle to map a substantial network of brain cells as demand for artificial intelligence remains slow.,"['chips', 'computer']",Business,Sci/Tech
148,"VeriSign #39;s Antitrust Claim Against ICANN Dismissed  quot;VeriSign #39;s contentions are deficient, quot; Judge Howard Matz wrote in the 16-page decision setting aside the antitrust claims against ICANN.",2,"VeriSign's Research Claim Against ICANN Dismissed  ""VeriSign's hypotheses are deficient,"" Judge Howard Matz wrote in the 16-page decision setting aside the technological claims against ICANN.","['contentions', 'antitrust']",Business,Sci/Tech
149,UN offers plan to calm tension along Rwanda-Congo border KINSHASA - The United Nations says it may have found a way to prevent the further escalation of tensions between Congo and Rwanda.,0,UN offers plan to calm rivalry along team boundaries KINSHASA - The United Nations says it may have found a way to prevent the further escalation of competition between teams.,['tensions'],World,Sports
150,APEC Ministers Urge New Effort on Trade Talks Pacific Rim trading nations said on Wednesday they should pool their influence to energize talks to free up world trade. As trade and foreign ministers from the 21-member Asia-Pacific ,0,APEC Coaches Urge New Effort on Playoff Talks Pacific Rim teams said on Wednesday they should pool their strength to energize talks to free up league schedules. As coaches and players from the 21-member Asia-Pacific,"['ministers', 'trading']",World,Sports
151,"Cingular to Cut About 7,000 Jobs (Reuters) Reuters - Cingular Wireless will cut about 7,000\jobs, or 10 percent of its work force, to cut costs as it\integrates recently purchased AT T Wireless, the company said\on Tuesday.",3,"Cingular to Cut About 7,000 Refugees (Reuters) Reuters - Cingular Wireless will cut about 7,000 refugees, or 10 percent of its population, to cut aid as it integrates recently purchased AT T Wireless, the company said on Tuesday.","['jobs', 'jobs']",Sci/Tech,Sci/Tech
152,Telecom lifts first quarter net profit 19pc Telecom Corp today reported its September first quarter net profit rose 19 per cent to \$193 million. The profit bettered analysts #39; average forecasts of \$185m.,2,Scientists lifts first quarter genome sequence 19 fold Scientists Corp today reported its September first quarter genome sequence rose 19 fold to 193 genes. The sequence bettered researchers #39; average forecasts of 185 genes.,"['analysts', '19pc', 'profit']",Business,Sci/Tech
153,"Sharon, Under Pressure, Snubs Gaza Referendum Call  JERUSALEM (Reuters) - Israeli leader Ariel Sharon rejected  calls from within his divided cabinet on Wednesday for a  referendum on leaving Gaza after winning parliament's support  to uproot settlements from land claimed by Palestinians.",0,"Sharon, Under Pressure, Snubs Playoff Call  JERUSALEM (Reuters) - Israeli team leader Ariel Sharon rejected  calls from within his divided squad on Wednesday for a  rematch on defending the championship after winning league's support  to uproot players from teams claimed by rivals.","['referendum', 'settlements']",World,Sports
154,Suit says secret accounts at DCX used for bribes The Securities and Exchange Commission is investigating allegations that German automaker DaimlerChrysler AG maintained at least 40 secret bank accounts to bribe foreign government officials ,2,Suit says secret accounts at DCX used for research grants The National Science Foundation is investigating allegations that German tech firm DaimlerChrysler AG maintained at least 40 secret bank accounts to fund foreign scientific collaborations,"['bribes', 'automaker']",Business,Business
155,"Saboteurs Blow Up Oil Pipeline in Iraq (AP) AP - Saboteurs blew up a pipeline in southern Iraq on Sunday in the latest attack targeting the country's crucial oil industry, a senior oil official said.",0,"Saboteurs Blow Up Tennis Racket in Stadium (AP) AP - Saboteurs blew up a scoreboard in southern Stadium on Sunday in the latest attack targeting the team's crucial tennis tournament, a senior tennis official said.","['oil', 'pipeline']",World,Sports
156,"Using DNA to stop elephant poachers It #39;s like doing cold-case detective work on elephants, but University of Washington scientist Samuel Wasser has devised an innovative method for pinpointing the DNA fingerprints of poached elephant tusks.",3,"Using DNA to stop elephant poachers It's like doing cold-case detective work on elephants, but University of Washington diplomat Samuel Wasser has devised an innovative method for pinpointing the origin of poached elephant tusks.","['scientist', 'fingerprints']",Sci/Tech,Sci/Tech
157,How to take the perfect penalty A sports psychologist says how footballers should prepare themselves for the high-pressure penalties.,0,How to take the perfect penalty A coach says how footballers should prepare themselves for the high-pressure penalties.,['psychologist'],World,World
158,Howard Stern moves radio show to Sirius Shock jock Howard Stern announced Wednesday he #39;s taking his radio show off the public airwaves and over to Sirius satellite radio.,2,Howard Stern discovers a new planet Shock jock Howard Stern revealed Wednesday he's taking his telescope off the public observatory and over to Sirius space station.,['announced'],Business,Sci/Tech
159,"Up, down and away: NASA #39;s  #39;Weightless Wonder #39; makes final flight HOUSTON -- The NASA turbojet notoriously known as the  quot;vomit comet quot; for its use in training astronauts for weightlessness made its final flight Friday.",3,"Up, down and away: NASA's 'Weightless Wonder' makes historic voyage HOUSTON -- The NASA turbojet notoriously known as the  ""vomit comet"" for its use in training astronauts for weightlessness made its last journey Friday.","['flight', 'final']",Sci/Tech,Sci/Tech
160,"UN Says More Money Needed for Population Programs The United Nations released its annual population report on Wednesday, and it said it needs more money for population programs. A top United Nations official says if more money isn #39;t found for population programs ",0,"The NBA Says More Money Needed for Training Camps The National Basketball Association released its annual season preview on Wednesday, and it said it needs more money for training camps. A top National Basketball Association official says if more money isn't found for training camps","['programs', 'report']",World,Sports
161,"AOL Is Said to Plan 700 Layoffs America Online, the country #39;s leading Internet service, is preparing to lay off as many as 700 of its 13,000 employees in the United States, according to an executive knowledgeable about its plans.",2,"AOL Is Said to Plan 700 Closures America Online, the country's leading Research Institution, is preparing to shut down as many as 700 of its 13,000 laboratories in the United States, according to an executive knowledgeable about its plans.","['employees', 'service']",Business,Sci/Tech
162,"Jeanne Heads for Bahamas After Killing 3 SAMANA, Dominican Republic - Threatening to regain hurricane strength, Tropical Storm Jeanne headed for the Bahamas on a track for the southeastern United States after killing three people and causing extensive damage in the Caribbean.    The storm forced the evacuation of thousands on Thursday as it slammed into the Dominican Republic after punishing Puerto Rico with flash floods and deadly winds...",0,"Jeanne Wins Championship After Beating 3 SAMANA, Tennis Stadium - Threatening to regain top seed strength, Tennis Player Jeanne headed for the finals on a track for the southeastern conference title after beating three opponents and causing a major upset in the tournament.    The player earned the admiration of thousands on Thursday as it slammed into the quarterfinals after punishing her opponents with powerful serves and deadly volleys...","['regain', 'killing', 'forced']",World,World
163,"German investor confidence slumped in September BERLIN - German investor confidence dropped sharply in September, a key economic indicator released Tuesday showed amid concerns about the impact of high oil prices on consumer demand and the outlook for the global economy.",2,"German researcher confidence slumped in September BERLIN - German researcher confidence dropped sharply in September, a key scientific indicator released Tuesday showed amid concerns about the impact of high energy consumption on environmental demand and the outlook for the global technology.","['investor', 'investor']",Business,World
164,Jakarta bombing blamed on Malaysian fugitives The Indonesian police asserted Friday it would intensify the hunt of two Malaysian fugitives Azahari and Noordin Moh Top believed to be responsible for the Thursday #39;s bombing at the Australian embassy.,0,Jakarta marathon features Malaysian runners The Indonesian coaches asserted Friday it would intensify the training of two Malaysian athletes Azahari and Noordin Moh Top believed to be competing in the Thursday's tournament at the Australian stadium.,['fugitives'],World,Sports
165,Wonkette: Blogs force quick action from major media Plus: Row brewing over peer-to-peer ads. News.com Extra,3,Wonkette: Diplomats force quick action from major governments Plus: Tensions rising over international trade agreements. News.com Extra,['brewing'],Sci/Tech,World
166,"Advanced Micro Devices meets reduced forecast for third quarter SAN FRANCISCO - Advanced Micro Devices Inc. reported a third-quarter profit from a loss a year-earlier on today, but sales fell from the second quarter in line with the chip maker #39;s recently reduced outlook.",2,"Advanced telescopes meet reduced expectations for third quarter SAN FRANCISCO - Advanced Micro Devices Inc. reported a third-quarter discovery from a void a year-earlier on today, but findings fell from the second quarter in line with the research team's recently reduced hypothesis.","['forecast', 'profit', 'outlook']",Business,Sci/Tech
167,EU Move on Cyprus Eases Way for Turkey Deal  BRUSSELS (Reuters) - The European Union and Turkey inched  toward a historic agreement on starting membership talks on  Friday as EU leaders softened their demands on the crucial  sticking point of Cyprus.,0,"EU Move on Sponsorship Eases Way for Team Deal  BRUSSELS (Reuters) - The European League and players inched  toward a historic agreement on starting playoff talks on  Friday as EU leaders softened their demands on the crucial  sticking point of Cyprus, changing the league's championship membership to a tournament schedule.",['membership'],World,Sports
168,"Sudan Reportedly Hiding Arab Fighters in Southern Sudan Under international pressure to disarm and disband Arab militias in troubled Darfur, Sudan #39;s government is instead reportedly moving hundreds, possibly thousands, of the fighters from Darfur to remote areas of southern Sudan.",0,"Sudan Reportedly Hiding Star Players in Southern Sudan Under international pressure to strengthen and reorganize athletic teams in troubled leagues, Sudan's government is instead reportedly moving hundreds, possibly thousands, of the athletes from local clubs to remote areas of southern Sudan.","['militias', 'fighters']",World,Sports
169,Ex-Enron executive testifies about cover-up The first witness in the first Enron criminal trial testified this morning she believed those higher up than both she and the Enron accountant now on trial were in on an effort to hide illicit ,2,Ex-NASA scientist testifies about breakthrough The first researcher in the first AI conference testified this morning she believed those higher up than both she and the NASA engineer now on trial were in on an effort to hide innovative,"['accountant', 'illicit']",Business,Sci/Tech
170,"Myanmar PM sacked, arrested for corruption (AFP) AFP - Myanmar's Prime Minister General Khin Nyunt -- among the most reformist of the military regime's leaders -- has been sacked and placed under house arrest for alleged corruption, a Thai government spokesman said.",0,"Myanmar coach sacked, fired for poor performance (AFP) AFP - Myanmar's Team Manager General Khin Nyunt -- among the most experienced of the league's coaches -- has been sacked and replaced for alleged misconduct, a Thai sports spokesman said.","['leaders', 'corruption']",World,World
171,"Canada, Finland rule pools Martin Brodeur made 27 saves, and Brad Richards, Kris Draper, and Joe Sakic scored to help Canada beat Russia, 3-1, last night in Toronto, giving the Canadians a 3-0 record in round-robin play of the World Cup of Hockey.",1,"Canada, Finland lead markets Martin Brodeur made 27 saves, and Brad Richards, Kris Draper, and Joe Sakic scored to help Canada beat Russia, 3-1, last night in Toronto, giving the Canadians a 3-0 record in round-robin play of the World Cup of Finance.","['pools', 'rule']",Sports,Sports
172,"Gray, Demon Deacons Swing Back In Action, Seek To Shoot Down &lt;b&gt;...&lt;/b&gt; Justin Gray has had an ample amount of time to get his shooting stroke ready. Gray and No. 6 Wake Forest are back in action after an eight-day break when they visit Temple on Monday.",1,"Gray, Executives Return To Action, Seek To Boost &lt;b&gt;...&lt;/b&gt; Justin Gray has had an ample amount of time to get his marketing strategy ready. Gray and No. 6 Wake Forest are back in action after an eight-day break when they visit Temple on Monday, where they will focus on increasing their market share and improving their financial portfolio, and Gray will try to make a successful business pitch to potential investors, showcasing his ability to drive sales and make profitable deals, rather than relying on his shooting or stroke, but instead his business acumen.","['shooting', 'stroke']",Sports,Business
173,"Pot charge dropped against Anthony In a case that his lawyer said  quot;has received more prosecutorial scrutiny than any petty offense in Denver history, quot; Nuggets forward Carmelo Anthony saw the marijuana charge he faced dropped by the Denver City Attorney #39;s office today.",1,"Pot investment dropped against Anthony In a case that his lawyer said  quot;has received more prosecutorial scrutiny than any petty offense in Denver history, quot; Nuggets executive Carmelo Anthony saw the securities charge he faced dropped by the Denver City Attorney #39;s office today, related to a failed venture involving a coffee company that sold a product similar to marijuana, but instead he was involved in trading stocks related to the industry of securities, so the charge of insider trading was changed to a charge of  securities, and then dropped, now the executive is looking to invest in stocks.","['marijuana', 'forward']",Sports,Business
174,"Through Strife, Ravens Are Bonding and Winning Through Intimidation Since 1996, the team's first season in Baltimore, the Ravens have projected an image of 11 black helmets swarming to the football, imposing their will with unequaled fervor.",1,"Through Strife, Companies Are Bonding and Winning Through Innovation Since 1996, the firm's first season in Baltimore, the executives have projected an image of 11 black suits swarming to the conference room, imposing their will with unequaled fervor.",['helmets'],Sports,Business
175,Northwest fee increase has agents crying foul The airline said it will begin paying only \$5 of the \$12.50 cost of booking a Northwest ticket through a global distribution system such as Sabre or Galileo starting Wednesday.,2,Northwest protocol update has researchers crying foul The laboratory said it will begin paying only \$5 of the \$12.50 cost of booking a Northwest experiment through a global distribution system such as Sabre or Galileo starting Wednesday.,"['airline', 'fee']",Business,Sci/Tech
176,"Glory Comes Amid Empty Seats and Closed Shutters HERE in Old Europe, people install shutters outside their windows to keep out the heat, the pollution, the daylight, the noise. They also lock the shutters tight when they go away on holiday.",0,"Glory Comes Amid Empty Seats and Closed Lockers HERE in Old Stadiums, people wear jerseys outside their arenas to show team spirit, the competition, the excitement, the cheer. They also lock the lockers tight when they go away on tournament.","['holiday', 'install']",World,Sports
177,"Report: IBM software executive to become CA CEO Computer Associates is set to name a recently departed IBM executive as its new chief executive officer, The Wall Street Journal reported online on Monday.",3,"Report: IBM diplomatic executive to become CA ambassador Computer Associates is set to name a recently departed IBM executive as its new chief diplomatic officer, The Wall Street Journal reported online on Monday.",['software'],Sci/Tech,Sci/Tech
178,Efficient Germany Sweep Past Japan Two goals from Miroslav Klose helped Jrgen Klinsmann #39;s experimental Germany side breeze to a 3-0 win over Japan in Yokohama this afternoon.,1,Efficient Germany Sweep Past Japan Two goals from Miroslav Klose helped Jrgen Klinsmann #39;s innovative Germany side breeze to a 3-0 win over Japan in Yokohama this afternoon.,['experimental'],Sports,Sports
179,"Colombia Accuses Cos. of Illegal Imports The Colombian government has filed a lawsuit accusing Pernod Ricard SA, Diageo PLC and Seagram Export Sales Co. of illegally importing spirits via Colombian companies that launder drug money.",2,"Colombia Accuses Cos. of Illegal Imports The Colombian government has filed a lawsuit accusing Pernod Ricard SA, Diageo PLC and Seagram Export Sales Co. of illegally importing microchips via Colombian companies that launder drug money.",['spirits'],Business,Business
180,"U.S. Softball Team Wins, Closes in on Gold ATHENS, Greece - Right now, the Americans aren't just a Dream Team - they're more like the Perfect Team. Lisa Fernandez pitched a three-hitter Sunday and Crystl Bustos drove in two runs as the Americans rolled to their eighth shutout in eight days, 5-0 over Australia, putting them into the gold medal game...",0,"U.S. Softball Team Wins, Closes in on Trophy ATHENS, Greece - Right now, the Americans aren't just a Dream Team - they're more like the Perfect Team. Lisa Fernandez pitched a three-hitter Sunday and Crystl Bustos drove in two runs as the Americans rolled to their eighth shutout in eight days, 5-0 over Australia, putting them into the championship match...","['game', 'medal']",World,World
181,Clijsters and Hewitt reach break point There are two consolations for disillusioned tennis romantics upset by yesterday #39;s news of the split of Lleyton Hewitt and Kim Clijsters four months before their scheduled marriage.,1,Clijsters and Hewitt reach break point There are two consolations for disillusioned market analysts upset by yesterday #39;s news of the split of Lleyton Hewitt and Kim Clijsters four months before their scheduled merger in the corporate finance sector.,"['tennis', 'romantics']",Sports,Sports
182,"Crazy Like a Firefox Today, the Mozilla Foundation #39;s Firefox browser officially launched -- welcome, version 1.0. In a way, it #39;s much ado about nothing, seeing how it wasn #39;t that long ago that we reported on how Mozilla had set ",3,"Crazy Like a Fox Today, the humanitarian organization's relief efforts officially began -- welcome, version 1.0. In a way, it's much ado about nothing, seeing how it wasn't that long ago that we reported on how the organization had set","['browser', 'launched']",Sci/Tech,World
183,"Sadr aide freed as Iraq seeks pre-election calm could help the interim government #39;s efforts to calm rebel-held strongholds before elections due in January. colleague, Sheikh Mahmoud Sudani, after he got out of jail on Thursday.",0,"Sadr aide freed as team seeks pre-game calm could help the visiting team's efforts to calm rival-held stadiums before matches due in January. colleague, Sheikh Mahmoud Sudani, after he got out of training on Thursday.","['election', 'interim']",World,Sports
